nuts,February Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.6891372516913923
DE60,0.7139266016979343
DE71,0.8960237443921422
DE72,0.7547260204005249
DE73,0.6740736234025044
DE80,0.7630971381275502
DE91,0.7667168983223198
BG41,2.4312404387257507
BG42,3.316125877352012
CH01,0.693670222177136
AT32,0.3913776361292832
AT33,0.490883463198215
AT34,0.6557420922573963
BE10,1.174268551784668
BE23,1.2390860315430505
BE24,1.170021556479193
BE25,1.254600667431326
BE31,1.2082982598338359
BE32,1.1911173118692224
BE33,0.8878878079589017
BE34,0.7412829355674799
BE35,0.8930884572775846
BG31,3.629359842678613
BG32,3.286579938899117
BG33,3.1038148127932352
BG34,2.998871180096616
DE92,0.8203308715487062
DE93,0.6876070208553394
DE94,0.7972182080737242
CZ07,1.0044684922701288
CZ08,1.054697368010856
AL01,1.5474574942459138
AL02,2.3436689235558306
AL03,2.2790845402888817
AT11,2.167264353026805
AT12,1.6016689147711385
AT13,2.3510264607631437
AT21,1.2454964776879032
AT22,1.3387412219918637
AT31,0.8419799476149318
DK05,0.7300900098974223
BE21,1.069613116157634
BE22,1.027507979118223
ES43,8.194325394244387
ES51,7.415204171755323
ES52,14.208802034261796
ES53,7.852105673801561
ES61,10.912837695928753
ES62,15.782594081649489
ES63,0.0
ES64,0.0
CH02,0.7606851015326145
CH03,0.7383800960534109
CH04,0.8190741707084527
CH05,0.640982175836666
CH06,0.5712673173406636
CH07,1.2848211168694803
CY00,8.65895722917255
CZ01,1.4755622075859414
CZ02,1.3602734839120443
CZ03,1.2025976177872086
CZ04,1.1419329919849526
CZ05,1.038597620113471
CZ06,1.3768667694005376
DE40,0.7431287094993331
EL53,2.3987163308700747
EL54,1.9003606545868479
EL61,2.471196177371188
EL62,0.0
EL63,2.2945615272495257
ES70,0.0
ITC1,2.8655409367309383
ITC2,1.1523106682183841
DE11,1.019721035364213
DE12,1.028567227982974
DE13,0.9304793470717962
DE14,1.0933501018344125
DE21,0.9474592516801148
DE22,0.9686880668334568
DE23,0.8912558129556051
DE24,0.7208118882860325
DE25,0.9523838409686866
DE26,0.7852136629930084
DE27,1.1978470801746817
DE30,0.7234622480001016
EL42,4.88391791017929
LV00,0.20095760652213668
ME00,1.6170978463886576
MK00,2.457603655316048
MT00,0.0
NL11,1.0108240926447152
NL12,0.9227116421205834
EL64,2.910025616899879
EL65,3.615736656249601
ES11,2.0637967539011237
ES12,1.9424147598890324
ES13,2.125850359021531
ES21,2.4490183774549643
ES22,4.197114106356764
ES23,3.9929855766760634
ES24,9.465037460309356
ES30,6.3625128472744095
IE05,0.8855213850963117
IE06,1.001198108412403
IS00,0.23407856578406497
ITC3,3.605366340124463
FI19,0.14039436845543185
FI1B,0.1330004514548025
FI1C,0.12145914970303963
DEA1,0.8221837697045349
DEA2,0.8082381430365055
DEA3,0.7065166230964962
DEA4,0.7160798642697955
DEA5,0.6860516386237638
DEB1,0.8467365291920802
DEB2,0.7400189315381916
DEB3,0.9854799600339215
DEC0,0.8920532513533999
DED2,0.9673382742419281
DED4,1.0425133244442766
DED5,1.4383953526782878
DEE0,1.0727840484087756
