nuts,January Fire Weather Index (-) (1981 - 2010)
DE50,0.33096821812633614
DE60,0.38209427297445536
DE71,0.2538277015520921
DE72,0.21317560560186913
DE73,0.24153491160312124
DE80,0.4664014929303284
DE91,0.34210410877957637
BG41,0.8935611345240212
BG42,1.221027632059335
CH01,0.21598578557951217
AT32,0.14847964394026986
AT33,0.1571450113290322
AT34,0.23019540008465492
BE10,0.5150783367951053
BE23,0.5376220253381729
BE24,0.49812327852416693
BE25,0.6323571587245511
BE31,0.47895688561315203
BE32,0.44170229481496
BE33,0.37437719930600133
BE34,0.27091027880898383
BE35,0.359059966622003
BG31,1.6116711295190447
BG32,1.3952406732957268
BG33,1.5848864555947557
BG34,1.4346340626019438
DE92,0.35817705940996525
DE93,0.3627709015035342
DE94,0.47968777156655124
CZ07,0.32074399829789163
CZ08,0.40866142129867017
AL01,1.0757199328347762
AL02,1.3656426760820062
AL03,1.2921228188695124
AT11,1.0198371650022908
AT12,0.8677898883732412
AT13,1.3818328326595826
AT21,0.29616435898559906
AT22,0.4089537510334443
AT31,0.2653177702223162
DK05,0.7337818068280767
BE21,0.49709421384507363
BE22,0.4687475434304943
ES43,4.092471395861981
ES51,4.803774651517835
ES52,8.716941778130106
ES53,6.4597957795666625
ES61,6.1318550344208695
ES62,10.469098411107982
ES63,4.967473258699103
ES64,7.981552687374092
CH02,0.24201751712801878
CH03,0.25724380350232123
CH04,0.27156039076704275
CH05,0.2364989598854606
CH06,0.19134894467455574
CH07,0.6938342940809581
CY00,5.932822312342365
CZ01,0.7949602549997041
CZ02,0.6059746975202914
CZ03,0.4179492894391603
CZ04,0.3880066956985598
CZ05,0.3121280624867674
CZ06,0.60924094505235
DE40,0.3849461094237379
EL53,0.8598071713801724
EL54,1.0814466300820136
EL61,1.6192454952981765
EL62,2.2710239326650767
EL63,1.536162645166388
ES70,18.382579104885007
ITC1,1.1232815895370638
ITC2,0.43926183256930174
DE11,0.2842954998731868
DE12,0.2766454875274563
DE13,0.2663381723903084
DE14,0.33170553010969706
DE21,0.3417876232241219
DE22,0.3210591135291438
DE23,0.2522802018329438
DE24,0.2111306543832504
DE25,0.2726986814311589
DE26,0.23482414605899996
DE27,0.3920672950578112
DE30,0.3664101376478033
EL42,5.878387272186271
LV00,0.23775535130699385
ME00,0.7521666361563143
MK00,0.889412316534333
MT00,5.889574263611546
NL11,0.6041824015226743
NL12,0.8779406107488319
EL64,2.2241272779376056
EL65,3.2532806882993968
ES11,1.1804970403718202
ES12,1.037970708962087
ES13,1.263432007156598
ES21,1.413704301601386
ES22,2.0476516639928715
ES23,2.0036192406541704
ES24,5.193631141526769
ES30,2.909676140440624
IE05,0.6768600901669175
IE06,0.5903780598092099
IS00,0.32356138345995544
ITC3,2.653348995080052
FI19,0.21169280795458878
FI1B,0.22977595178440177
FI1C,0.24327784427593124
DEA1,0.39202258100929116
DEA2,0.35617843954065453
DEA3,0.35331466579460574
DEA4,0.31456934687408195
DEA5,0.2902909930167193
DEB1,0.25553007884284834
DEB2,0.2257021360397595
DEB3,0.3051648006262039
DEC0,0.25116586685357584
DED2,0.39338364410977705
DED4,0.3710404317670057
DED5,0.5198654853441936
DEE0,0.4423256567243254
DEF0,0.47628113276850553
DEG0,0.35631715456259466
DK01,0.729565970471119
DK02,0.7235143346265692
DK03,0.5138736094618833
DK04,0.5977788809466488
ES41,1.8822418582035323
ES42,4.672923593791668
HU23,0.8052122130988888
HU31,0.793796290126356
HU32,0.7425542385283415
HU33,0.8045962242029481
IE04,0.5655135586321407
EE00,0.2888048100371581
EL30,4.273468179879708
EL41,4.278334412616797
EL43,4.980113050085079
EL51,1.73118128944923
EL52,1.6881188483184209
FI20,0.8466858088796334
FR10,0.5188476157325257
FRB0,0.606533016947423
FRC1,0.4009950194232996
FRC2,0.38401202499812104
FRD1,0.7341808574840655
FRD2,0.6111911887394545
FRE1,0.6196346719542312
FRE2,0.5124213954994011
FRF1,0.28808479796672637
NL13,0.5038811872612219
NL21,0.45364126065308696
NL22,0.44118203794836747
NL23,0.5414616174659816
NL31,0.5045752155719039
NL32,0.8577169350974223
ITG2,4.089300199188968
ITH1,0.3570300681577535
ITH2,0.7272444343959802
FRI3,0.8041581897515192
FRJ1,2.8470607718937684
FRJ2,0.9857975416632623
FRK1,0.6514813677506902
FRK2,0.7605729003299146
FRL0,3.310341022628103
FRM0,3.534571869183312
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.2476841192903083
TR32,2.345529315326454
TR33,1.7024914556492634
HR03,1.6026702804863995
HR02,0.6019689910583977
HU11,0.9110698112550781
HU12,0.9500725094584885
HU21,0.8787901074207592
HU22,0.9555463922746105
PT16,3.0239957270404227
PT17,4.2834948718415005
FRF2,0.3565203165445149
FRF3,0.304624784984451
FRG0,0.7789302590625209
FRH0,0.9897679701274308
FRI1,0.9069661537625717
FRI2,0.6999524429044134
ITC4,1.0308666364092745
ITF1,1.2320922557204501
ITF2,1.4801997379147553
ITF3,1.2774961500875237
ITF4,3.0499307079855975
ITF5,2.2636772698433045
ITF6,2.0223300227240073
ITG1,3.624412792384028
LT01,0.16932850963646723
LT02,0.21383982603844878
LU00,0.23671136869329693
PL22,0.48153216500270307
PL41,0.37931629567872305
PL42,0.3704337561425938
PT18,5.000049568724063
PT20,0.0
PT30,5.983323360570399
RO11,0.2870925266227494
RO12,0.3729237737238287
RO21,1.0760426486526575
RO22,1.6704988400851049
RO31,1.3807388320431706
RO32,1.3326259435074614
ITH3,1.1770773922668858
