nuts,November Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
DE50,1.058617725776028
DE60,1.0158795282681512
DE71,1.448159354337258
DE72,1.2305001643178024
DE73,1.394106582809292
DE80,1.2081004489919198
DE91,1.4625184359082308
BG41,4.780923069302004
BG42,5.402604807232346
CH01,1.0939114559784608
AT32,1.8108917860353424
AT33,1.7045462746311895
AT34,1.1615923496638718
BE10,1.560145235303596
BE23,1.5250953170909372
BE24,1.5256024578450473
BE25,1.697076450133421
BE31,1.491195531491166
BE32,1.371638235910425
BE33,1.132497897112399
BE34,0.8727068787783254
BE35,1.087925644501465
BG31,4.99743361411623
BG32,5.085734620607069
BG33,5.611309807371707
BG34,5.497493904779311
DE92,1.3965079843218051
DE93,1.2691733454922816
DE94,1.295343981433324
CZ07,1.80621985617158
CZ08,2.051246071604928
AL01,3.535357535362536
AL02,4.8364450567817805
AL03,5.257031089465689
AT11,2.684942023625716
AT12,2.3454342813446725
AT13,3.1476826800261857
AT21,1.304322140500553
AT22,1.4102613690167354
AT31,1.5240942020672619
DK05,1.22211200434283
BE21,1.437980778846987
BE22,1.4811420734414624
ES43,10.368272741319721
ES51,7.864921886135337
ES52,15.855737294582944
ES53,11.429571266390244
ES61,15.00781538384433
ES62,18.334246183777285
ES63,0.0
ES64,0.0
CH02,0.9249636400671315
CH03,0.8414650749808918
CH04,0.9627819073719135
CH05,1.6032550004518278
CH06,0.8384993918608242
CH07,1.1700295072549478
CY00,22.113718234351694
CZ01,2.2716215636940036
CZ02,2.1425904832719884
CZ03,1.6956152464446812
CZ04,1.6016514950917062
CZ05,1.6793413236837487
CZ06,2.242913056803326
DE40,1.6337967468976016
EL53,5.708010140935238
EL54,5.356902384432469
EL61,5.09905042236539
EL62,0.0
EL63,6.341661530587256
ES70,0.0
ITC1,2.4616391539061273
ITC2,1.4691141429462784
DE11,1.2908591157699563
DE12,1.4122442857259756
DE13,1.1844549568163167
DE14,1.2406869343625377
DE21,1.3929707038512453
DE22,1.4743675805646514
DE23,1.273220962194031
DE24,1.4326417569166152
DE25,1.3189018240362842
DE26,1.5199705734328632
DE27,1.333825765382569
DE30,1.6999162665530863
EL42,14.974585612639896
LV00,0.7019461301401406
ME00,2.6466023199358997
MK00,5.846707190008823
MT00,0.0
NL11,1.5070570432346517
NL12,1.5802873163551934
EL64,6.773548330177163
EL65,9.027054105858916
ES11,4.07798681321585
ES12,2.6528632871154536
ES13,3.0752083287143317
ES21,3.592430137297231
ES22,6.345204808493389
ES23,6.626166943209084
ES24,12.474934765412094
ES30,9.550447329551673
IE05,1.1650270872820647
IE06,1.12301068370341
IS00,0.2498930119713866
ITC3,2.546323294963828
FI19,0.15348326069077245
FI1B,0.24573833478968965
FI1C,0.17452210016621425
DEA1,1.218563035051146
DEA2,1.2597337115188534
DEA3,1.143034957070007
DEA4,1.2302569177252234
DEA5,1.3329786644493093
DEB1,1.1775890728800207
DEB2,1.0198050772930087
DEB3,1.393210473722202
DEC0,1.0387781898978385
DED2,1.6143822192748296
DED4,1.3423185731558311
DED5,2.005780532186089
DEE0,1.692282497821524
DEF0,1.107010999457947
DEG0,1.873897886271541
DK01,1.4546910580829138
DK02,1.5542620417317174
DK03,1.3918614156465354
DK04,1.207641771078446
ES41,7.078870687672539
ES42,13.800875737043086
HU23,3.4762790286973027
HU31,3.7701883622207126
HU32,4.469054366584562
HU33,4.175315043063729
IE04,0.6804182336766129
EE00,0.6897275451453603
EL30,12.464744642061744
EL41,11.607108591344339
EL43,16.02605775975568
EL51,7.612560828379388
EL52,5.323963840441328
FI20,1.2367328667982247
FR10,2.024904789967845
FRB0,2.1701440546909394
FRC1,1.740889238797359
FRC2,1.5587586891860448
FRD1,1.3173228953338862
FRD2,1.6489750456262986
FRE1,1.5874056549909836
FRE2,1.7019598092479096
FRF1,1.149170061158506
NL13,1.666739836817383
NL21,1.8636274003689464
NL22,1.5995556899281533
NL23,1.5717845517067839
NL31,1.4247168853449175
NL32,1.6875682174936373
ITG2,9.16382111485803
ITH1,1.8554092266924214
ITH2,1.7524031584280968
FRI3,2.7257243621544163
FRJ1,5.2291833805571635
FRJ2,3.397984599952788
FRK1,2.2283204961473597
FRK2,2.3819389894031726
FRL0,5.592198027362052
FRM0,3.8616765067983074
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,12.05843578531423
TR32,14.6389143287728
TR33,12.352578700727593
HR03,1.8707743599429563
HR02,2.7456205479923983
HU11,3.6298650795633622
HU12,3.7890938032319723
HU21,3.6840195438185654
HU22,3.1520694061526644
PT16,7.475548420941095
PT17,9.620286972119711
FRF2,1.506534511594004
FRF3,1.232928739240679
FRG0,2.2916497304689156
FRH0,2.23316138067786
FRI1,2.9935043643052666
FRI2,2.369809187163389
ITC4,2.1883749408102835
ITF1,3.1222158111371274
ITF2,4.848028676749255
ITF3,3.4301776383880664
ITF4,8.023369013823036
ITF5,7.0770353856212616
ITF6,4.808293418787139
ITG1,10.167753728132665
LT01,0.6175133369650846
LT02,0.630711650075025
LU00,0.965677471323324
PL22,2.190315381063481
PL41,1.8723886760349289
PL42,1.414600411542135
PT18,10.890988506044573
PT20,0.0
PT30,0.0
RO11,2.541020752349655
RO12,3.10300262430131
RO21,5.183347109912738
RO22,7.550812507847293
RO31,5.145183281340973
RO32,4.707374161267916
ITH3,2.1421071642851754
ITH4,1.532117520444928
ITH5,2.554390701597049
ITI1,1.9950323143476063
ITI2,2.398583009357571
ITI3,2.949843218637221
ITI4,2.269224595750826
