nuts,Summer Fire Weather Index (-) (1981 - 2010)
DE50,7.617802627370435
DE60,8.561794319082479
DE71,10.208043583113898
DE72,7.99402886080739
DE73,7.573631790514863
DE80,9.474519816677505
DE91,8.773242948926047
BG41,12.415860934044776
BG42,18.092447809505984
CH01,3.221511466143432
AT32,2.2524924764254846
AT33,2.048699314186299
AT34,2.494316167150953
BE10,8.570038637241717
BE23,8.550572155661577
BE24,8.505200310066344
BE25,8.38438490277143
BE31,8.187442164913922
BE32,8.267105820350748
BE33,6.934493506771535
BE34,7.202490712637586
BE35,7.06668647234354
BG31,16.941456541359138
BG32,15.876863366311822
BG33,16.185274338597043
BG34,17.483979415121382
DE92,8.896814722246358
DE93,9.312525806375447
DE94,7.654793179991819
CZ07,8.359704412353793
CZ08,7.040564255894898
AL01,13.872616961526607
AL02,20.37935709061422
AL03,21.659348176098923
AT11,12.730692695888084
AT12,9.986379001756552
AT13,14.106415627812895
AT21,3.183490492265192
AT22,4.415351936759342
AT31,4.677437826222292
DK05,8.188489011290248
BE21,8.971602190516615
BE22,8.454892774095951
ES43,39.016919930352714
ES51,20.86099005847204
ES52,30.984136769008785
ES53,21.877065852121703
ES61,38.30123608721092
ES62,38.57058634251279
ES63,25.769119501960194
ES64,34.54412594765774
CH02,4.254669657274232
CH03,5.833821153908779
CH04,5.384516227172777
CH05,3.3233914968983527
CH06,3.16678813834903
CH07,5.031110188796995
CY00,31.659996888111344
CZ01,10.047825474330322
CZ02,9.618433398530001
CZ03,7.0104531322757575
CZ04,8.602562417155399
CZ05,8.379481478901267
CZ06,10.56055950376829
DE40,11.555687139722442
EL53,23.02457979951855
EL54,21.620203147681313
EL61,23.877359110361258
EL62,17.035175829912667
EL63,26.850146682890934
ES70,28.04554350187955
ITC1,10.089166193967266
ITC2,5.333048939244315
DE11,8.08218834419511
DE12,8.859440202204832
DE13,6.721515369265392
DE14,4.854345999450059
DE21,4.941496357621399
DE22,6.447263376907688
DE23,7.326391056435346
DE24,7.85212984711087
DE25,8.459438739349892
DE26,9.03128754573856
DE27,5.040355189482561
DE30,12.186945387722547
EL42,30.326209527260453
LV00,8.016834130589404
ME00,10.979077488464661
MK00,20.245341986049304
MT00,19.81968913464091
NL11,6.27804392040665
NL12,5.322813971636939
EL64,31.14769548578018
EL65,31.696522364281346
ES11,13.410690028480287
ES12,5.570060542473205
ES13,7.575833348662166
ES21,8.991665106128057
ES22,19.961494523090117
ES23,20.53208387138834
ES24,29.25800635757067
ES30,37.71009697872416
IE05,4.7061333260650295
IE06,4.84511502198948
IS00,2.693731533383774
ITC3,9.504553933402988
FI19,7.610868596489507
FI1B,9.051718826726276
FI1C,8.21263884056436
DEA1,8.615656283367867
DEA2,7.7364437981937915
DEA3,9.133569721941024
DEA4,8.486146253079012
DEA5,7.449793186173844
DEB1,8.98021084924685
DEB2,8.704586410775343
DEB3,11.000078822603173
DEC0,9.623784018951513
DED2,9.073824839303239
DED4,7.300100913349948
DED5,10.55187179907599
DEE0,10.614596125343288
DEF0,8.141290794771482
DEG0,8.155262114930867
DK01,8.251029144737105
DK02,8.375346354423373
DK03,8.190733688503412
DK04,8.165820920602082
ES41,27.644991414937248
ES42,40.140049815285394
HU23,14.889013186537186
HU31,15.34014712546809
HU32,16.313663841187772
HU33,16.911502419688965
IE04,3.604514977747266
EE00,7.913609185057852
EL30,36.50026772964034
EL41,33.29551852202072
EL43,36.31289548699929
EL51,23.828494696148955
EL52,22.19994197303463
FI20,5.438716039063094
FR10,12.038752535726696
FRB0,13.090136622873024
FRC1,10.554162466436276
FRC2,8.635810554592592
FRD1,8.801058330077916
FRD2,9.44440293842658
FRE1,8.500006116384212
FRE2,9.518214518357007
FRF1,9.190114980907358
NL13,7.471594546314803
NL21,8.464275412886696
NL22,8.699355664653947
NL23,7.934321758375887
NL31,8.63468201381508
NL32,6.140192811594079
ITG2,30.309781891637353
ITH1,3.184377048052449
ITH2,3.871732507462294
FRI3,13.970863492175662
FRJ1,21.20341899063063
FRJ2,11.602699437574849
FRK1,9.770337361969489
FRK2,11.201491111958385
FRL0,22.126755814258733
FRM0,18.900582161722117
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,41.0361562487414
TR32,38.81337755726645
TR33,36.20239890177231
HR03,14.593043209944572
HR02,13.23524266835839
HU11,17.00614835772674
HU12,16.719724614964658
HU21,15.7179081487056
HU22,14.602948813713645
PT16,29.01910859171756
PT17,26.97674384277725
FRF2,9.893229816345462
FRF3,9.59621218027173
FRG0,12.9538550913114
FRH0,9.025340892344435
FRI1,11.818412203624835
FRI2,9.515295015454377
ITC4,11.423764150552602
ITF1,16.55180862143024
ITF2,21.225234118184655
ITF3,20.984994775594522
ITF4,28.759131650829964
ITF5,28.987592934900782
ITF6,21.887828052814413
ITG1,27.987865898283232
LT01,8.14582957133627
LT02,8.378790897154907
LU00,8.27855870372687
PL22,8.06866608392461
PL41,12.223157531429587
PL42,9.659872648900187
PT18,37.31319403844798
PT20,0.0
PT30,19.099566410796236
RO11,8.375979481866986
RO12,5.630202528418554
RO21,10.36497354392682
RO22,17.588373298635045
RO31,14.611773339836615
RO32,14.635462928244603
ITH3,9.850206720173208
ITH4,7.527553481278413
ITH5,16.44844894114855
ITI1,18.14814969824712
ITI2,22.603958205832075
ITI3,18.411508159597517
ITI4,20.75658266720114
LI00,2.1624561658671437
FI1D,6.0242999247231035
TR82,20.63194579134811
TR83,22.333238781425266
TR90,7.874312397189958
TRA1,19.804324181945745
TRA2,17.409656122492997
