nuts,March Fire Weather Index (-) ensemble median - RCP4.5 - (2071 - 2100)
DE50,1.0381991782241602
DE60,1.0981947961619576
DE71,1.3671735300100658
DE72,1.0242522347523297
DE73,1.0638401409302587
DE80,1.3979500865167656
DE91,1.2097070095170366
BG41,4.037691827460529
BG42,5.483202177030376
CH01,1.1806232619566965
AT32,1.5436991534718634
AT33,1.2112777282644966
AT34,0.9935544204732057
BE10,1.9744009325750917
BE23,1.9674989680071295
BE24,1.8545685709137942
BE25,1.9818757517502117
BE31,1.761277365052891
BE32,1.7925660531360124
BE33,1.1660571641594637
BE34,1.0377023194115877
BE35,1.2351936114486148
BG31,7.261091276114386
BG32,6.528522979020519
BG33,6.120681326987918
BG34,5.978082081234687
DE92,1.1432648366815046
DE93,1.1556126947663088
DE94,1.2777904814129213
CZ07,2.326855603260136
CZ08,2.2205313131550546
AL01,2.7295101107450916
AL02,3.594759688635512
AL03,3.604420645948928
AT11,4.569794661357077
AT12,3.4869962622803437
AT13,4.682041644544215
AT21,2.170956438535248
AT22,3.0246666074188977
AT31,1.717490871262233
DK05,1.422107487071889
BE21,1.7313367535994268
BE22,1.5561756257767667
ES43,15.712352269431497
ES51,10.625623445694663
ES52,16.882132451312607
ES53,11.937474374862257
ES61,15.666021508336902
ES62,19.537430018227308
ES63,0.0
ES64,0.0
CH02,1.3833063142047999
CH03,1.3778843126307612
CH04,1.2972473845729773
CH05,0.9811705504310615
CH06,1.0564455341519519
CH07,2.1430033767262424
CY00,13.786361465143438
CZ01,2.424661824602513
CZ02,2.0674111699556517
CZ03,2.1474136623848956
CZ04,1.8373190725460924
CZ05,1.4610834415797123
CZ06,3.15856934856615
DE40,1.824965779660651
EL53,5.827536906814815
EL54,3.0959923783196164
EL61,5.52753889417086
EL62,0.0
EL63,3.971504448112754
ES70,0.0
ITC1,4.596641199375698
ITC2,1.6487066861970148
DE11,1.3794493359669557
DE12,1.395999868518277
DE13,1.421134932140648
DE14,1.4664249368625117
DE21,1.9843181884483005
DE22,1.9686153203119363
DE23,1.645117350083742
DE24,1.2810120945425216
DE25,1.5329377706895873
DE26,1.2831133195217668
DE27,1.6731246867204062
DE30,1.8376583480627557
EL42,7.656975957086518
LV00,1.6519612683048988
ME00,2.255497245900202
MK00,5.4565747732427115
MT00,0.0
NL11,1.518769804580426
NL12,1.3681015912938037
EL64,6.902091150941907
EL65,6.552508516571762
ES11,4.866470258516341
ES12,3.2417129429683107
ES13,3.1490999878384804
ES21,3.7567114463884317
ES22,8.277666838762078
ES23,7.115535622459158
ES24,14.327109430319068
ES30,12.619129634760835
IE05,1.5641271390956424
IE06,1.535429911501911
IS00,0.3646825965115114
ITC3,4.542193280709766
FI19,1.1620136629981679
FI1B,1.9315094364330927
FI1C,1.9279119275373249
DEA1,1.250189288748488
DEA2,1.227645452094853
DEA3,1.3154734990337638
DEA4,1.0084855032931264
DEA5,0.9624387456117713
DEB1,1.2538276572436713
DEB2,1.0590255190139637
DEB3,1.441286277742989
DEC0,1.2035904378682196
DED2,1.5736117700978776
DED4,1.4795422888249854
DED5,2.0257252818465807
DEE0,1.8237598328866165
DEF0,1.1372942159158044
DEG0,1.50788035019732
DK01,1.6110733701020505
DK02,1.5696031969104174
