nuts,Winter Fire Weather Index (-) (1981 - 2010)
DE50,0.4362107716480039
DE60,0.4489048392851469
DE71,0.40147217809995545
DE72,0.3215903705649562
DE73,0.34466127236942545
DE80,0.5215785029857184
DE91,0.43862417694121647
BG41,1.2735972159408218
BG42,1.6290298682090245
CH01,0.3182119830644931
AT32,0.21803473307932697
AT33,0.24246626169344948
AT34,0.32743759655329174
BE10,0.7506389177921353
BE23,0.7447507017989895
BE24,0.7216610202493601
BE25,0.8260606533959194
BE31,0.7162111640198262
BE32,0.6803571983955149
BE33,0.5277205432019769
BE34,0.3993943520890356
BE35,0.5355410691796123
BG31,1.9740678070659723
BG32,1.7887882621097446
BG33,2.0128711356138713
BG34,1.8390270540114668
DE92,0.46522683499353473
DE93,0.4529842856680194
DE94,0.5606061399063053
CZ07,0.45333534887572147
CZ08,0.5319316248078502
AL01,1.198874562713009
AL02,1.665909838517857
AL03,1.563622941006038
AT11,1.3500262839404942
AT12,0.993540426384107
AT13,1.518920798759569
AT21,0.42768575590887814
AT22,0.590958754329815
AT31,0.365693716120559
DK05,0.8171148487370317
BE21,0.6943092650332486
BE22,0.6521227915262684
ES43,4.347509707010249
ES51,5.390201646217132
ES52,9.264147975474508
ES53,6.8540128210505875
ES61,6.285767798264314
ES62,10.807684040379007
ES63,4.61552492101637
ES64,8.800165593193293
CH02,0.35958579494058557
CH03,0.3959689322396943
CH04,0.40834107516295803
CH05,0.3219920581502326
CH06,0.2826982500148751
CH07,0.8308331041780209
CY00,7.227089495868215
CZ01,0.9128969871798106
CZ02,0.7484246528462586
CZ03,0.5548440258247114
CZ04,0.5480945069114488
CZ05,0.4494095391785019
CZ06,0.7623568682673728
DE40,0.5222586207501627
EL53,1.1272247853379778
EL54,1.2678594181788698
EL61,1.7527711377345525
EL62,2.4223192864116854
EL63,1.6855903207329412
ES70,17.98821074103113
ITC1,1.3760394587376765
ITC2,0.5027810466631707
DE11,0.4594015895100048
DE12,0.4595874663250031
DE13,0.4309505167134778
DE14,0.48069054012491225
DE21,0.4724299530727185
DE22,0.4466314030905996
DE23,0.3871844907058859
DE24,0.33720597034603506
DE25,0.44429863225593497
DE26,0.38711088596297943
DE27,0.5371707380353756
DE30,0.5182245526760481
EL42,6.22873817366605
LV00,0.24326436561099873
ME00,0.8691612063664338
MK00,1.347906674784539
MT00,6.251674338747691
NL11,0.6821735287076748
NL12,0.9122636668247094
EL64,2.4456533252744657
EL65,3.371230420769527
ES11,1.588675326743412
ES12,1.2368626177294004
ES13,1.5004788521782415
ES21,1.6989773738479037
ES22,2.804910458179225
ES23,2.742958933287745
ES24,6.272873798838879
ES30,3.573051942939966
IE05,0.8056154797418232
IE06,0.7094548072499584
IS00,0.31669243906465133
ITC3,2.8626512637784858
FI19,0.22925902890343502
FI1B,0.24900539429480517
FI1C,0.2586375163579493
DEA1,0.5281462508025594
DEA2,0.4715997276311066
DEA3,0.4736408862022662
DEA4,0.4153242176684505
DEA5,0.37645567586624906
DEB1,0.37535380627224074
DEB2,0.35344686203081105
DEB3,0.47106907408481596
DEC0,0.40980373230072414
DED2,0.5492677945472794
DED4,0.52658661765196
DED5,0.7299517980769126
DEE0,0.6011185170058138
DEF0,0.5267513241676147
DEG0,0.49186817997756066
DK01,0.7417687711066591
DK02,0.7419194059429366
DK03,0.5782437855870085
DK04,0.6637396939591661
ES41,2.6315025616934693
ES42,5.262317564771671
HU23,1.2185323567673485
HU31,0.993340867165526
HU32,1.0045635820119376
HU33,1.206786091635364
IE04,0.714320222785497
EE00,0.2981359973475055
EL30,4.689164262010944
EL41,4.600731109187547
EL43,5.572236129175404
EL51,2.1321185257014443
EL52,2.0342420753811967
FI20,0.8667031081641615
FR10,0.7853905796551799
FRB0,0.8803867303711764
FRC1,0.6354643376658436
FRC2,0.6168588717685308
FRD1,0.9076912651915661
FRD2,0.826276204354113
FRE1,0.8227723273061861
FRE2,0.745732809559829
FRF1,0.4756761695211889
NL13,0.617812814064521
NL21,0.5702525231740003
NL22,0.5910478612000296
NL23,0.6672924934271536
NL31,0.6691112227950166
NL32,0.9306692878505347
ITG2,4.451635209162139
ITH1,0.4415018270424642
ITH2,0.8702236290619733
FRI3,1.2527091953271694
FRJ1,3.314807639630414
FRJ2,1.4829490801328458
FRK1,1.0008248634881496
FRK2,1.0249483124172656
FRL0,3.7681884376776713
FRM0,3.664908156728946
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.7515405468153338
TR32,3.0758277973141133
TR33,2.533844250578889
HR03,1.8184083814822614
HR02,0.9853240955194257
HU11,1.212086550120421
HU12,1.2189503348004576
HU21,1.2373062558268666
HU22,1.389937243101327
PT16,3.2613520580656825
PT17,4.3386531193749365
FRF2,0.5710530318373214
FRF3,0.4934449207271743
FRG0,1.0754386024181908
FRH0,1.2400897338660493
FRI1,1.4500159571275804
FRI2,1.1831846295503614
ITC4,1.4488722411157864
ITF1,1.4247402596300685
ITF2,1.798562462952532
ITF3,1.560244664242559
ITF4,3.543046931386737
ITF5,2.7742981181043
ITF6,2.4092046502893036
ITG1,3.9578482135441706
LT01,0.18140959758119513
LT02,0.22681194754968462
LU00,0.36610264025792594
PL22,0.6562837394165958
PL41,0.5575545770301988
PL42,0.43475752761765857
PT18,5.169619023108904
PT20,0.0
PT30,6.009461333381286
RO11,0.5150280355104363
RO12,0.6450243182565667
RO21,1.3273192570032077
RO22,2.2582634976340556
RO31,1.7685562923834965
RO32,1.630101618153504
ITH3,1.5213047442833023
ITH4,1.2218406980054557
