nuts,May Fire Weather Index (-) ensemble median - RCP8.5 - (2071 - 2100)
DE50,7.125620998184913
DE60,7.527550719568598
DE71,8.37024921030411
DE72,7.026153447874471
DE73,6.416465818599485
DE80,7.8640524325715155
DE91,7.639578084607328
BG41,10.6699331286335
BG42,16.394977728498134
CH01,3.527596549825285
AT32,4.2871084921627185
AT33,3.7548210300857914
AT34,4.56918469087687
BE10,8.10530292323925
BE23,8.104372327808512
BE24,7.749106480046343
BE25,8.007153590454998
BE31,8.083374368712978
BE32,7.376104192114326
BE33,6.4073861280389695
BE34,6.748267918403157
BE35,7.948815332797949
BG31,16.51957988051537
BG32,16.993936104272098
BG33,16.589351610861314
BG34,17.3687936742224
DE92,7.754246525841885
DE93,8.296556453304511
DE94,8.157164181791838
CZ07,8.122924564990129
CZ08,5.992100155216816
AL01,10.501689294444715
AL02,16.577256521829902
AL03,18.333762140442573
AT11,10.289207925064279
AT12,8.385664267559191
AT13,11.68340166913998
AT21,4.338256074705168
AT22,4.382461368035611
AT31,4.949903543368106
DK05,7.107918622337359
BE21,8.110887248971588
BE22,7.7424960136285135
ES43,29.953803056298455
ES51,20.451538008619682
ES52,26.056711038890885
ES53,19.971154445233456
ES61,30.25688556995857
ES62,30.10750992634638
ES63,0.0
ES64,0.0
CH02,3.7514145083173465
CH03,5.092231585121118
CH04,4.538169472739043
CH05,3.7501576054327166
CH06,3.3470354921158347
CH07,4.281781404981891
CY00,36.40836433110989
CZ01,9.081575680583114
CZ02,8.918405780214353
CZ03,6.370804955402216
CZ04,8.185163163140764
CZ05,7.671525469962914
CZ06,9.478878794277463
DE40,10.047841352094016
EL53,19.094632174449274
EL54,17.95860306459492
EL61,23.618956897477798
EL62,0.0
EL63,26.659286274800287
ES70,0.0
ITC1,8.800868081875933
ITC2,3.4156782852633576
DE11,7.089577723303784
DE12,7.74114631259419
DE13,6.515337157600733
DE14,4.712169985237731
DE21,4.895685205350034
DE22,6.669310231755991
DE23,6.698357982674119
DE24,7.070520613605128
DE25,6.737433394958726
DE26,7.140133796660065
DE27,4.946554883958369
DE30,10.226379219908743
EL42,32.34839995455552
LV00,7.282740789229769
ME00,8.088372678255023
MK00,16.92905166160148
MT00,0.0
NL11,7.610009297749657
NL12,7.144524422751043
EL64,28.140345739449923
EL65,30.580966690953616
ES11,10.574752587400575
ES12,5.129599767866222
ES13,6.234426955600118
ES21,8.176299739417992
ES22,18.774513986310488
ES23,18.7480073420786
ES24,28.254785383056568
ES30,27.685224542125084
IE05,4.824990809714811
IE06,4.52171865566876
IS00,4.048624532820042
ITC3,9.253140009063232
FI19,7.194120582335735
FI1B,8.142694497578939
FI1C,7.363562545866476
DEA1,7.873530819861677
DEA2,6.525634913558727
DEA3,7.823794738190553
DEA4,7.11395132677369
DEA5,6.40866908183896
DEB1,7.10682103498445
DEB2,6.916483499239813
DEB3,8.794254250288628
DEC0,8.902221789777672
DED2,7.35002425349769
DED4,6.047859221322869
DED5,8.313028103488158
DEE0,8.616799756513354
DEF0,7.3638724855516795
DEG0,6.597196317222749
DK01,8.579746295268935
DK02,7.034214979634686
DK03,6.781402412066108
DK04,6.470755940361529
ES41,23.26091222688326
ES42,31.139308131011504
HU23,13.831233611299192
HU31,15.188701635123824
HU32,16.24835308050412
HU33,15.784976306292354
IE04,4.193531733486833
EE00,6.833161096788469
EL30,36.80551764600256
EL41,32.500621549517184
EL43,38.296619992933024
EL51,20.78405996810842
EL52,20.701113659539224
FI20,5.643869195019324
FR10,9.679740451194402
FRB0,10.822213523345772
FRC1,8.67752992660362
FRC2,7.277981439883677
FRD1,7.51360220484014
FRD2,7.3737215231207465
FRE1,7.398340793048789
FRE2,8.429039201391614
FRF1,7.8753700630631185
NL13,7.905546966021832
NL21,7.847999081858716
NL22,8.504653592616755
NL23,7.858546451536785
NL31,8.654891669234116
NL32,7.700497639953556
ITG2,27.00215686368339
ITH1,3.6910040803346544
ITH2,4.942197381503048
FRI3,11.981835288024095
