nuts,June Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,6.877602334802547
DE60,7.81584812413028
DE71,8.385370060797113
DE72,7.0124525673071725
DE73,6.323522975438502
DE80,8.785688657231983
DE91,7.216785027763829
BG41,10.201797713390356
BG42,13.87332774396933
CH01,2.8800336231773387
AT32,2.66351169457744
AT33,2.3324296802993105
AT34,2.4500979600772124
BE10,7.677068526610559
BE23,7.841941651375944
BE24,7.515138456400791
BE25,7.60680604678995
BE31,7.123773267073871
BE32,7.322863639859777
BE33,5.920054066437106
BE34,5.743056855348278
BE35,6.048526025702587
BG31,14.858770253791576
BG32,13.593348671383966
BG33,13.980640898797263
BG34,13.425964341810321
DE92,6.948341709844139
DE93,8.33216835301953
DE94,7.542603123407147
CZ07,7.713514293506755
CZ08,6.194545573830538
AL01,12.31618736913797
AL02,18.592177819680238
AL03,20.200329395559336
AT11,11.305711842108401
AT12,9.551474002139532
AT13,13.312394337128612
AT21,3.4165718431996037
AT22,4.761591112640696
AT31,4.3138210103461425
DK05,8.827011305413201
BE21,8.288692247578254
BE22,7.766165369497361
ES43,33.06515465894432
ES51,20.672870434440316
ES52,30.301368278446468
ES53,23.661369600059153
ES61,34.389089461736496
ES62,37.547209196618546
ES63,0.0
ES64,0.0
CH02,3.709123239902205
CH03,4.879781817412493
CH04,5.086233893045799
CH05,3.0105996240414177
CH06,3.121926785022447
CH07,4.357564353672698
CY00,42.26613128030787
CZ01,8.47899022065859
CZ02,8.645988969625815
CZ03,6.7250924110538275
CZ04,8.448211956549663
CZ05,7.382284902111821
CZ06,9.500860769777338
DE40,10.7003200566108
EL53,21.071314276440088
EL54,18.97970089943235
EL61,24.230541865530487
EL62,0.0
EL63,26.047003973343895
ES70,0.0
ITC1,9.103622567167273
ITC2,3.4324231840314376
DE11,6.179495495128123
DE12,7.0005181265901975
DE13,5.559393260220334
DE14,4.385402640907402
DE21,4.347770786377421
DE22,5.784118603848838
DE23,6.780019602770875
DE24,7.395701840230322
DE25,7.045990743050883
DE26,7.567979229598363
DE27,4.761143246048884
DE30,11.58663416966875
EL42,34.022417196796745
LV00,7.548662857903212
ME00,9.042671127308948
MK00,18.51015589684803
MT00,0.0
NL11,6.883778101017769
NL12,6.462505615683569
EL64,29.27427862735733
EL65,32.375231177772456
ES11,10.022499783123163
ES12,6.022275662158463
ES13,5.691374282824098
ES21,8.16214071701761
ES22,19.15520189997655
ES23,17.216801016226157
ES24,27.29348465850174
ES30,30.194848528257953
IE05,4.599150569620663
IE06,5.023561081334724
IS00,3.2690847079144745
ITC3,8.139051958148995
FI19,7.619898004190175
FI1B,9.944706498932927
FI1C,9.085879101713562
DEA1,8.090045239004409
DEA2,6.6786461822088095
DEA3,7.8711026080892585
DEA4,6.516574247765938
DEA5,6.136577080539782
DEB1,7.340357708403845
DEB2,6.690605868054448
DEB3,8.985396223340553
DEC0,7.908006430020273
DED2,8.273569724493955
DED4,6.7077259498202055
DED5,9.947939139358205
DEE0,9.483776625026225
DEF0,7.9000425820745015
DEG0,7.385784776649254
DK01,10.153351271884938
DK02,8.90071288472681
DK03,8.335528046829355
DK04,8.622287460381346
ES41,22.05483446990788
ES42,33.42541266963718
HU23,13.411402656808225
HU31,13.771161172055765
HU32,14.871607115111175
HU33,15.127257168538236
IE04,4.293937063856212
EE00,8.30278289662816
EL30,43.577469532700526
EL41,32.04512016529815
EL43,42.14723718395363
EL51,17.943847869867295
EL52,20.197232873210982
FI20,8.348808196818608
FR10,9.902048401692724
FRB0,11.74262789612758
FRC1,9.143460984734416
FRC2,7.4006384324854935
FRD1,8.314284698114758
FRD2,7.93856244522908
