nuts,May Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
DE50,7.044931376398151
DE60,8.281504264473794
DE71,8.202061636424583
DE72,7.082477622539978
DE73,6.071384177477866
DE80,8.429944772429492
DE91,7.3674365813125755
BG41,8.026308128702427
BG42,12.159293456477702
CH01,1.913710648704442
AT32,2.40783632561165
AT33,2.0129082290747253
AT34,2.1773243521688537
BE10,7.938215129081447
BE23,7.341071960600146
BE24,7.52920400473683
BE25,7.11698656119811
BE31,7.090543972721348
BE32,6.8217074820413375
BE33,5.641127166758352
BE34,5.718849620615844
BE35,5.910661662936761
BG31,11.98548899572871
BG32,12.633253487268528
BG33,11.950055909040936
BG34,12.428366439629134
DE92,7.4680294924914215
DE93,8.691709013198398
DE94,7.952528467520549
CZ07,6.991345898064982
CZ08,5.672871907270017
AL01,7.063139404866847
AL02,11.104509030468478
AL03,12.420367555743177
AT11,8.97044839912915
AT12,7.441009853404219
AT13,10.381071870259834
AT21,2.7208024259429577
AT22,3.555526234992823
AT31,4.212074122957395
DK05,6.902486021509263
BE21,8.057818316019118
BE22,7.328194797874948
ES43,23.96939908094412
ES51,16.901460653427037
ES52,23.433550423476465
ES53,17.247076419307124
ES61,26.584443785207597
ES62,28.433139018512442
ES63,0.0
ES64,0.0
CH02,2.7521266917113096
CH03,3.969972274634752
CH04,3.9218960631284263
CH05,2.1604582267216985
CH06,2.243836635893475
CH07,2.558506841806801
CY00,32.38403376927316
CZ01,8.174508602310144
CZ02,8.017012567264073
CZ03,5.870254717574956
CZ04,7.557687877651596
CZ05,6.833706372772966
CZ06,8.462999964421622
DE40,9.361039324727098
EL53,13.709655510413269
EL54,12.324652981931605
EL61,15.968832114291999
EL62,0.0
EL63,18.436892048052616
ES70,0.0
ITC1,6.003903577982591
ITC2,1.7298907374364938
DE11,6.33726305667257
DE12,7.278516241815189
DE13,5.102222644528711
DE14,4.240869573842619
DE21,4.32486437559091
DE22,5.718812208257958
DE23,6.222750213231341
DE24,6.660865598944747
