nuts,December Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.26035534915549474
DE60,0.22970310680043815
DE71,0.30403184479394485
DE72,0.18328633500933433
DE73,0.22795059966587505
DE80,0.37993830041100823
DE91,0.33596722136982654
BG41,2.429434692054762
BG42,2.116964122017401
CH01,0.38960713190372087
AT32,0.45065382124980624
AT33,0.503989716326845
AT34,0.40103634116207265
BE10,0.5258178355240903
BE23,0.5120507790168435
BE24,0.5191392579146389
BE25,0.5455812671880554
BE31,0.4866885571127536
BE32,0.4796225777093243
BE33,0.3923693531926148
BE34,0.24916036206636596
BE35,0.3724629339683734
BG31,1.7556731631448632
BG32,2.106148236001742
BG33,2.4062192382610843
BG34,1.8559842486664915
DE92,0.35114429954498416
DE93,0.25396267571656644
DE94,0.3267791439748743
CZ07,0.36964309673881773
CZ08,0.542983483385894
AL01,1.5072586105541
AL02,2.0385596484227015
AL03,1.8807552399804295
AT11,1.1689819155526358
AT12,0.874522147435303
AT13,1.3573532686666692
AT21,0.5922818246796803
AT22,0.6895466239928191
AT31,0.3676543275114147
DK05,0.626944036288046
BE21,0.4538975713959223
BE22,0.45635353035279574
ES43,6.212329470161255
ES51,6.952284974832927
ES52,11.776229173897494
ES53,7.626314196399045
ES61,8.531586212388257
ES62,12.084776470349782
ES63,0.0
ES64,0.0
CH02,0.3655380643766488
CH03,0.3493562618007311
CH04,0.3734884455276341
CH05,0.5085247289121765
CH06,0.3155242044305001
CH07,0.7949700916411172
CY00,10.10996760859602
CZ01,0.5900389192266213
CZ02,0.49742925176968017
CZ03,0.370677243874903
CZ04,0.3722115063269921
CZ05,0.30892880517423454
CZ06,0.5592849641171699
DE40,0.4165697317195615
EL53,1.8672594547603705
EL54,2.060079752693498
EL61,1.8937678720331856
EL62,0.0
EL63,1.6475761798628905
ES70,0.0
ITC1,1.3897402727239307
ITC2,0.6190221538280342
DE11,0.39116401839955894
DE12,0.431698957508249
DE13,0.49088257271740465
DE14,0.5748804856971259
DE21,0.45140622888233056
DE22,0.30767457440334
DE23,0.24008385728023862
DE24,0.25902050075526073
DE25,0.32320759201363986
DE26,0.30686671936528165
DE27,0.5760950192749638
DE30,0.36261035038664835
EL42,6.832628410173847
LV00,0.11861642373393542
ME00,0.9654834158257638
MK00,2.782698782985669
MT00,0.0
NL11,0.38280328397277646
NL12,0.4840647464758387
EL64,2.3145445470620327
EL65,2.874695677005689
ES11,1.3459062890455908
ES12,1.1041294028413393
ES13,1.200300948448082
ES21,1.438363231542972
ES22,2.94445903226195
ES23,2.923359552554899
ES24,7.99934557815688
ES30,4.947136287307197
IE05,0.49256576536888885
IE06,0.3511420691721996
IS00,0.1947368238873898
ITC3,1.8586378210993528
FI19,0.08818034625445952
FI1B,0.0890145745495873
FI1C,0.07164590076541627
DEA1,0.3557130929457116
DEA2,0.3623933996444535
DEA3,0.3382894620123061
DEA4,0.3295668045277543
DEA5,0.3047236815194001
DEB1,0.2554680406408347
DEB2,0.18942357054997794
DEB3,0.40530532534172253
DEC0,0.27348557553979796
DED2,0.5771997626718647
DED4,0.45815664594914707
DED5,0.7214496606557276
DEE0,0.5082795003818047
DEF0,0.24707477980578987
DEG0,0.41341735160304455
DK01,0.4973540703665055
DK02,0.5324493209868928
DK03,0.287802316866408
DK04,0.32356147233744165
ES41,3.1139198078475694
ES42,7.4365769433530176
HU23,1.004862598455439
HU31,0.9345371611952852
HU32,0.9879383393772292
HU33,1.0109405410242813
IE04,0.3009332179053048
EE00,0.13542629011992702
EL30,4.365640761070874
EL41,4.850977891110929
EL43,7.136575820376887
EL51,3.3381146485791247
EL52,2.5482615208311405
FI20,0.7244215125312347
FR10,0.5595996181448455
FRB0,0.7042790938537554
FRC1,0.4422335879386546
FRC2,0.4884124795259949
FRD1,0.5847444783515465
FRD2,0.536490651417188
FRE1,0.5550644179222899
FRE2,0.5058933922052006
FRF1,0.44423989817935455
NL13,0.3534235084378823
NL21,0.3304756743440659
NL22,0.36126767800144605
NL23,0.36511465375451113
NL31,0.37037489398587653
NL32,0.5280306572856049
ITG2,3.8952196443095746
ITH1,1.1943823612258837
ITH2,1.3539384954845044
FRI3,0.9451045830274504
FRJ1,3.211240951576727
FRJ2,1.3346563794369213
FRK1,0.7351623160843005
FRK2,0.9045996786188898
FRL0,3.178634141684196
FRM0,2.308589015355145
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,4.23890496658392
TR32,5.504784669796676
TR33,4.85599349728288
HR03,1.0125579395815956
HR02,0.8619475558204943
HU11,1.0338575906152863
HU12,1.0932166643714925
HU21,1.0301785890451278
HU22,1.1983452883265022
PT16,4.051029188687385
PT17,6.526960509779738
FRF2,0.435033649421267
FRF3,0.4264778265092165
FRG0,0.7389682161607373
FRH0,0.896833317045299
FRI1,1.2009749403382084
FRI2,0.8829450314583286
ITC4,1.3171827662048108
ITF1,1.3783456455717504
ITF2,1.7744037224827915
ITF3,1.3376793685097494
ITF4,3.2590107703472113
ITF5,2.583145407958537
ITF6,2.02989568564919
ITG1,4.193747352991928
LT01,0.1045648906835574
LT02,0.1266267116057991
LU00,0.1892468756409132
PL22,0.6074606426665354
PL41,0.5431814168308214
PL42,0.29238276962790427
PT18,7.375374455545033
PT20,0.0
PT30,0.0
RO11,0.7589289006618606
RO12,1.0697771386931387
RO21,1.5840208543639713
RO22,2.5776207061739282
RO31,1.835158795001848
RO32,1.5471208568355999
ITH3,1.6525233801813846
ITH4,1.045853345463716
ITH5,1.6953036748668344
