nuts,March Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
DE50,1.4994836434589651
DE60,1.5639113567333194
DE71,1.8090427224501955
DE72,1.4600451883227172
DE73,1.536171614537724
DE80,1.654556528265366
DE91,1.7170851472118294
BG41,4.378528774959965
BG42,4.836773881681724
CH01,1.2352540242887575
AT32,1.633046659314976
AT33,1.3940075761943487
AT34,1.5708147666036383
BE10,2.263211407718827
BE23,2.001070926827903
BE24,2.096304714030279
BE25,2.064167961955316
BE31,2.1105425518603527
BE32,2.002200813029474
BE33,1.7251076230255173
BE34,1.435286557023863
BE35,1.7521037600190332
BG31,7.1778874909129975
BG32,6.5215785718370025
BG33,5.711082327027188
BG34,5.079188818965436
DE92,1.700575712639766
DE93,1.6897173540183572
DE94,1.7386188486060021
CZ07,2.4562025795491373
CZ08,2.4374363321170067
AL01,2.6948544429828565
AL02,3.892731508192979
AL03,4.329602994269966
AT11,4.859412729903732
AT12,3.4552531000621265
AT13,4.576255405894148
AT21,2.435740419785081
AT22,2.8521663868372764
AT31,2.105748187738915
DK05,1.666673329211847
BE21,1.979549203390306
BE22,1.8777555016566987
ES43,13.409149962523058
ES51,10.340396952018336
ES52,19.215705182579693
ES53,12.092416262923562
ES61,15.890826182988523
ES62,21.474648206629134
ES63,0.0
ES64,0.0
CH02,1.6476820309600817
CH03,1.7407060307865394
CH04,1.7963206729845353
CH05,1.1342598907911141
CH06,1.3481564012382008
CH07,1.7496009550908007
CY00,15.746023592031122
CZ01,2.9604147511180456
CZ02,2.6653917387929424
CZ03,2.4586072581954705
CZ04,2.162199458451515
CZ05,1.9929985664988195
CZ06,3.066044428249418
DE40,1.9918638191328075
EL53,5.847680046434762
EL54,3.9299949780785637
EL61,5.887983345722506
EL62,0.0
EL63,5.1117497325893195
ES70,0.0
ITC1,3.7266326348612178
ITC2,1.3002279391282916
DE11,1.8569566867783254
DE12,1.8197630626332337
DE13,1.7385221665095663
DE14,1.9012236499401909
DE21,2.1503410579477418
DE22,2.436109191559108
DE23,1.896098673852087
DE24,1.7929106882876218
DE25,1.9080208357373516
DE26,1.7714129393223748
DE27,2.070812555995142
DE30,2.050958230195458
EL42,8.775835752805731
LV00,2.608900631375015
ME00,2.4275297166359793
MK00,5.266505102881722
MT00,0.0
NL11,1.9703560073636368
NL12,1.6326764971434538
EL64,6.9921844205827215
EL65,7.177608668409879
ES11,4.601779402137332
ES12,3.2420604660448515
ES13,3.6939122293217745
ES21,4.1153802370483525
ES22,7.7826405012112625
ES23,7.631353321825364
ES24,14.506233748525052
ES30,10.960827202751766
IE05,1.4435198817972523
IE06,1.381841701557026
IS00,0.32726834239020636
ITC3,3.8759524693648695
FI19,1.3686865197931974
FI1B,2.269600552189207
FI1C,1.7714265933262416
DEA1,1.7033211239180797
DEA2,1.5773136584723741
DEA3,1.7573499908358867
DEA4,1.5757435778403555
DEA5,1.5093509676052799
DEB1,1.585542503692762
DEB2,1.5154054384685043
DEB3,2.0206995807783827
DEC0,1.6936554805551571
DED2,2.175374649452737
DED4,1.9004415644195336
DED5,2.485101599308805
DEE0,2.1312817028841953
DEF0,1.512472824184871
DEG0,2.017289081918845
DK01,1.8856589562946622
DK02,1.799228469946291
DK03,1.6289934220071633
DK04,1.7386265972479404
ES41,9.025487236126674
ES42,14.965320845321916
HU23,5.063180568395422
HU31,5.69944191107048
HU32,5.339852476676836
HU33,5.392387001181737
IE04,0.9501240397745179
EE00,2.7642606635429168
EL30,13.07661189903955
EL41,6.398150320194333
EL43,11.892794953230466
EL51,5.2384459043022895
EL52,5.474351465622886
FI20,1.9999189409307585
FR10,2.53850616527872
FRB0,3.058921833162275
FRC1,2.388501721465285
FRC2,2.5544246441370877
FRD1,2.204023570067983
FRD2,2.1496547875988776
FRE1,2.1460584595333163
FRE2,2.1388491806037995
FRF1,1.893062748624316
NL13,1.9049097564426751
NL21,1.7243308330576672
NL22,1.7327619147627327
NL23,1.7032945587891024
NL31,1.7227068819024627
NL32,1.6598484360375296
ITG2,9.510796148535814
ITH1,1.2376549860526722
ITH2,2.322724474156283
FRI3,3.7229737709038475
FRJ1,6.942352274512464
FRJ2,4.156827871331576
FRK1,3.4951273751831518
FRK2,3.4449993347702588
FRL0,6.931331895845717
FRM0,5.224983901585218
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,5.824341368149674
TR32,7.455486600440716
TR33,6.808881644986924
HR03,3.5650171408372633
HR02,4.294751835025599
HU11,5.827044935623406
HU12,5.7330625131769875
HU21,5.437143553698651
HU22,5.436779474777329
PT16,10.359678429467683
PT17,12.204878209296254
FRF2,2.0340419441822717
FRF3,1.7928879448529902
FRG0,3.1867395018229705
FRH0,2.672737041214616
FRI1,4.389094318348053
FRI2,3.600186432120897
ITC4,4.099567513060026
ITF1,3.8857021527474402
ITF2,4.930250360711992
ITF3,4.122680272956177
ITF4,8.651491752329802
ITF5,7.061276913961768
ITF6,5.245379927787245
ITG1,10.173862506609462
LT01,1.5244048879749679
LT02,1.7434419036417843
LU00,1.4567776577921059
PL22,2.7314220012817176
PL41,2.6275753166610754
PL42,1.8884773742697094
PT18,14.699646797474605
PT20,0.0
PT30,0.0
RO11,2.946427104004971
RO12,3.1372269049003845
RO21,4.603205519459597
RO22,6.698895764329662
RO31,6.365626397153617
RO32,6.365585874990461
ITH3,3.404703202890301
ITH4,2.652865919460363
ITH5,5.201594903860194
ITI1,4.656910403567358
ITI2,4.682217667237523
ITI3,4.579348159494688
ITI4,4.0220061973610965
LI00,1.5969093603804454
FI1D,0.26454558353481017
