nuts,July Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,8.553230698455303
DE60,10.095893562383951
DE71,11.14002496771724
DE72,9.006030026464197
DE73,8.543501617012785
DE80,10.79940186162596
DE91,10.127093867115237
BG41,16.406609768072904
BG42,20.7731440679585
CH01,4.60968497719433
AT32,3.442150285062231
AT33,2.8751726896363743
AT34,3.368713103866541
BE10,9.611544622444796
BE23,9.33244181732452
BE24,9.609244222773418
BE25,9.028379746556764
BE31,9.296023202611119
BE32,9.282835822394793
BE33,8.045017148750711
BE34,7.686700679815161
BE35,8.104018867014211
BG31,22.23593731753271
BG32,19.17186172203634
BG33,19.57213948164284
BG34,20.926766004650162
DE92,10.182864972677434
DE93,10.57916371683801
DE94,9.397833062991918
CZ07,8.610267587529941
CZ08,7.221519953218569
AL01,19.34997630046725
AL02,26.242087549231204
AL03,28.99633986148604
AT11,12.629379954472173
AT12,10.274751482250691
AT13,14.662060806324211
AT21,4.206321995890663
AT22,4.860964454354537
AT31,5.620431550156456
DK05,8.781099417807315
BE21,10.338322818805041
BE22,10.278119057726405
ES43,44.76572431634554
ES51,26.184091735284138
ES52,38.66670773651237
ES53,27.965248425506886
ES61,44.946423389430755
ES62,45.26963915136162
ES63,0.0
ES64,0.0
CH02,5.37813001809677
CH03,6.708882003676191
CH04,6.5363971969386006
CH05,4.214256898578723
CH06,4.102402628359161
CH07,4.98502142832244
CY00,42.78596422761769
CZ01,9.887643683027084
CZ02,9.535440121265296
CZ03,7.260086322742528
CZ04,9.255318805762524
CZ05,8.539960825719604
CZ06,10.8271659359387
DE40,12.719028871761703
EL53,29.55806888437533
EL54,29.003374371663085
EL61,30.713307829251512
EL62,0.0
EL63,35.17859895752648
ES70,0.0
ITC1,13.007007112254218
ITC2,5.981574692118084
DE11,8.948846337432085
DE12,9.824349267470284
DE13,7.449860319343792
DE14,5.814306140703395
DE21,5.385008161973213
DE22,6.564229826451293
DE23,7.920336632332756
DE24,9.019352447333343
DE25,9.390489845942762
DE26,10.010145167749256
DE27,6.315441921921091
DE30,13.466076638971447
EL42,33.15117251758856
LV00,7.895491885759286
ME00,15.418330045005922
MK00,26.438333577127047
MT00,0.0
NL11,8.033309958788513
NL12,7.783856152029267
EL64,36.263526408069716
EL65,40.09500082021325
ES11,15.669498078320956
ES12,6.558671088235539
ES13,7.223664213311013
ES21,11.051126783691283
ES22,23.487986573313254
ES23,23.777836101378192
ES24,34.719903290668974
ES30,44.774614231414866
IE05,5.921956257446535
IE06,6.402444019278861
IS00,4.16369866802075
ITC3,13.180191696287633
FI19,7.6113942892887385
FI1B,10.536412397785474
FI1C,9.158293366990698
DEA1,10.525879038040907
DEA2,9.276617074054618
DEA3,10.912572439869294
DEA4,9.786992083024089
DEA5,8.917721787319477
DEB1,9.93096572597782
DEB2,9.43444971354315
DEB3,11.857482235793336
DEC0,10.50679264896489
DED2,10.626379801563111
DED4,8.367665635342597
DED5,12.665695084881055
DEE0,12.364485455534892
DEF0,9.877596413364946
DEG0,9.759866582301285
DK01,11.088082982210425
DK02,10.156909290457433
DK03,9.097001211697341
DK04,8.798283858211114
ES41,32.11433352327971
ES42,47.68056726535053
HU23,17.202444752508153
HU31,16.80038746531058
HU32,18.72230160572592
HU33,19.628698067190047
IE04,4.594101222542185
EE00,7.917471743126747
EL30,50.42202130280746
EL41,44.77265277761057
EL43,48.14535323096053
EL51,26.707296126974473
EL52,27.509703225807822
FI20,9.562623170504153
FR10,14.103269615040354
FRB0,15.407518975019013
FRC1,12.21860159353882
FRC2,10.098326987502213
FRD1,10.08237359017642
FRD2,10.282121469693458
FRE1,9.504337902002986
FRE2,10.936965573293685
FRF1,10.183848089517133
NL13,8.853228530653299
NL21,9.766679444694224
NL22,10.151975621704937
NL23,9.3239521966552
NL31,9.80181425291921
NL32,8.58783431280662
ITG2,39.85364079683616
ITH1,4.483434735560965
ITH2,5.156775566406417
FRI3,15.394007466228983
FRJ1,25.86450527296317
FRJ2,15.102758859204105
FRK1,11.973061216816351
FRK2,13.725114986550885
FRL0,26.96620332943213
FRM0,23.823294696038356
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,49.827609447188564
TR32,45.68798620500034
TR33,43.169314024946296
HR03,18.380834286544054
HR02,16.056846855126185
HU11,18.912833516578132
HU12,18.58945124161767
HU21,17.026571539107188
HU22,15.121025551058052
PT16,34.949025498146476
PT17,36.10006815649585
FRF2,11.458281268546791
FRF3,10.657834632907468
FRG0,14.846710032264617
FRH0,11.008394245013415
FRI1,13.994373629303727
FRI2,11.298191734393567
ITC4,13.155155816863683
ITF1,22.948490925973434
ITF2,29.28238823729952
