nuts,July Fire Weather Index (-) ensemble median - RCP8.5 - (2011 - 2040)
DE50,7.802622763196113
DE60,9.526852237278199
DE71,10.809857922170078
DE72,8.201433481774655
DE73,7.736134471476174
DE80,9.750693776677421
DE91,9.583627974432805
BG41,15.996232068909086
BG42,21.81020150870125
CH01,4.798437967550554
AT32,3.6509406517994485
AT33,3.024196108840461
AT34,3.4709793541786533
BE10,9.382606792374576
BE23,9.232023671622823
BE24,9.02403532877947
BE25,9.099417632785725
BE31,8.587025986519349
BE32,9.007644868844364
BE33,6.937143295058337
BE34,7.395658884916414
BE35,7.338282048135778
BG31,22.527385029271848
BG32,19.831490119028256
BG33,20.70718133125135
BG34,22.579210776020027
DE92,8.837958853998778
DE93,9.517691924530089
DE94,8.141071527480939
CZ07,9.681350409959721
CZ08,7.836454456052363
AL01,18.611078464319284
AL02,26.216383877007853
AL03,27.985524866602844
AT11,14.695629084802693
AT12,11.687288671583913
AT13,16.856027259836097
AT21,4.41964421590621
AT22,5.623430689456777
AT31,5.807712295929117
DK05,9.036913134455219
BE21,9.088958135047916
BE22,8.566813992347477
ES43,45.826743882713934
ES51,26.028482445706562
ES52,38.65935304374359
ES53,28.72065685523522
ES61,45.643483026639586
ES62,45.361991684190976
ES63,0.0
ES64,0.0
CH02,5.688458464664501
CH03,7.509557583227796
CH04,6.93340424082419
CH05,4.454247620917836
CH06,4.103894466035514
CH07,5.636782969469581
CY00,43.87585221317006
CZ01,10.161180525786314
CZ02,9.751214606694232
CZ03,7.55316721112259
CZ04,9.536589063825605
CZ05,8.509156481441385
CZ06,11.68549727715777
DE40,11.488788897058175
EL53,27.87299146861646
EL54,27.45478200938522
EL61,30.51791730878462
EL62,0.0
EL63,33.49546162560979
ES70,0.0
ITC1,14.349694036055139
ITC2,6.442176647280413
DE11,9.362910412520879
DE12,10.179028226640318
DE13,8.526289196265296
DE14,6.079924179546425
DE21,5.43609872251403
DE22,7.147578988228543
DE23,8.40565716946738
DE24,8.571870995544929
DE25,9.828953346636085
DE26,9.571823408316323
DE27,5.843420220603822
DE30,12.254653449549046
EL42,32.95662400659844
LV00,7.482722659606395
ME00,13.82475781415593
MK00,25.20553473209555
MT00,0.0
NL11,7.005515013506304
NL12,6.6429984950499135
EL64,35.74085093363191
EL65,38.64156697835626
ES11,16.40870182212349
ES12,6.3087066633918125
ES13,7.277583080335254
ES21,11.08639207763815
ES22,23.897919838440558
ES23,24.16307930849804
ES24,36.09318847394975
ES30,44.679206673285165
IE05,5.234502431947477
IE06,5.348352963805146
IS00,3.602828051479344
ITC3,14.141151085980983
FI19,7.545306423750434
FI1B,9.927985950029647
FI1C,8.829344710273523
DEA1,8.646419168456527
DEA2,8.068266062008325
DEA3,8.444335451784983
DEA4,8.096663116380054
DEA5,7.423310866873228
DEB1,9.392556219471766
DEB2,9.436794955019334
DEB3,12.216745169121356
DEC0,10.66531410499925
DED2,9.416997182828839
DED4,7.750845847215479
DED5,11.13670956007774
DEE0,11.492633499264146
DEF0,8.810770819792983
DEG0,8.75316805880806
DK01,10.39830152659595
DK02,10.099817437506967
DK03,8.881718733731956
DK04,8.821922494852558
ES41,32.35354308431021
ES42,48.57142316408997
HU23,18.082717532476906
HU31,18.635901095140603
HU32,20.10036331343901
HU33,21.217288180917166
IE04,3.9486591142259573
EE00,7.916763313802794
EL30,49.50089119661271
EL41,44.82844874790244
EL43,47.712252723842795
EL51,27.914381658635598
EL52,27.069395095682363
FI20,9.248502410176565
FR10,13.747997510558335
FRB0,14.966204581826675
FRC1,12.400697520057935
FRC2,11.322270397111348
FRD1,10.6620966653907
FRD2,11.584455207300717
FRE1,9.774035140607621
FRE2,11.2181330775201
FRF1,11.420486001910701
NL13,7.543799547439245
NL21,8.010917818390618
NL22,8.347689867816444
NL23,7.919013905914537
NL31,8.45727677333684
NL32,7.4662776431451485
ITG2,38.69889721618251
ITH1,5.04803904309901
ITH2,5.451518472310536
FRI3,15.351155035243675
FRJ1,26.037953684752807
FRJ2,14.03191563228809
FRK1,11.366813594554735
FRK2,13.998454530458485
FRL0,26.77445912800834
FRM0,24.476629507171594
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,49.54891800373148
TR32,46.395570077647676
TR33,42.182854077714275
HR03,18.68702124961632
HR02,15.947761004923867
HU11,20.651223216989433
HU12,21.049914513859054
HU21,19.556392080780256
HU22,17.893919088882996
PT16,35.5587724002824
PT17,37.19788701601886
FRF2,12.00457541843488
FRF3,11.177691340741132
FRG0,14.620611434885769
FRH0,10.460273366200921
FRI1,13.431605569689355
FRI2,10.006034587297906
ITC4,14.158402185683153
ITF1,21.559122346011943
ITF2,27.69344252833882
ITF3,29.70788682416411
ITF4,39.080174032072655
ITF5,35.04409291664361
ITF6,26.479151702659294
ITG1,38.51701517378359
LT01,7.513839114608154
LT02,7.619511250016133
LU00,8.951328593163444
PL22,8.459166994687392
PL41,11.315025024770815
PL42,10.165941619189788
PT18,43.042157127878525
PT20,0.0
PT30,0.0
RO11,10.945371343796468
RO12,8.650421069793168
RO21,12.675370323942772
RO22,20.96438975555488
RO31,18.236621949363936
RO32,17.180138305948383
ITH3,11.894842459689727
ITH4,9.04183415557565
ITH5,20.00587923201203
ITI1,23.211646027937505
ITI2,27.81182278015571
ITI3,24.3207959389478
ITI4,26.68935102921121
LI00,3.3599378847306083
FI1D,5.581231906109626
TR82,26.00265334996259
TR83,28.447464988146926
TR90,11.958437445416376
TRA1,25.491528336074072
TRA2,8.37081159960212
PL43,12.462447325313413
PL51,9.349868485830415
PL52,9.296016083721163
PL61,9.281063736839215
PL62,8.155430509145804
PL63,7.936962143523706
PL71,10.887928001107515
PL72,10.195026888791865
PL81,8.862168111181681
PL82,7.75251959002331
PL84,8.538512332936426
PL91,9.735998800302655
PL92,9.433085716870632
PT11,26.805521091263255
PT15,44.0358716818257
TRB1,48.169962183556414
TRB2,42.7346155239997
TRC1,57.24886204570895
RS12,21.167919168516764
RS21,16.650778661828472
RS22,20.308787106472867
SE11,9.483513712649415
SE12,9.750144370644222
NL33,8.073575152350276
NL34,9.0770337929346
NL41,8.82444411358733
NL42,8.766446685489898
PL21,6.943866586944533
UKM6,2.7513385649937234
TR22,42.13312087277615
TRC2,63.39920271203227
TRC3,62.951196856369336
UKC1,6.677452687221828
UKC2,5.923968445543746
UKD1,4.119821959180492
UKD3,6.312037673336032
UKD4,4.753063401007373
UKD6,7.249765009518319
UKD7,6.311598038309819
UKE1,8.512882768275304
UKE2,7.677560835625617
UKE3,9.323061621214835
RO41,19.678226056040216
RO42,14.124145782719697
RS11,19.9255459102796
TR41,35.74869991103645
TR42,21.13312238430109
TR51,41.34199548712591
TR52,46.64238433651109
TR61,38.73924098063221
TR62,37.03357917374062
TR63,47.88623185542618
TR71,46.52056396128642
TR72,41.19297197426181
TR81,17.752078055346107
UKK1,10.03488565509288
UKK2,9.094957388502383
UKK3,7.195392963410556
UKK4,7.462540953260811
UKL1,5.477467059146678
UKL2,6.722261586923987
UKM5,4.028337541729797
UKM7,4.237409909340789
UKM8,4.090890928495921
UKM9,4.517738820323338
UKN0,4.1856516553730705
SE21,10.008451897618286
SE22,9.373731205886441
SE23,8.572200369507167
SE31,7.108266419418181
SE32,5.393245154056541
SE33,5.17620561265818
SI03,10.398495094427982
SI04,9.35801220591868
SK01,18.292834858594567
SK02,16.395695336857518
SK03,9.152359380019536
SK04,9.390785827297059
TR10,29.915695442886975
TR21,35.343452312704976
UKE4,8.333571485070939
UKF1,9.72782916325557
UKF2,10.739687793169887
UKF3,10.29168760774549
UKG1,10.038074900860247
UKG2,8.995132308554487
UKG3,10.346828548226103
UKH1,10.25717578247699
UKH2,11.667957920179136
UKH3,11.08698917554744
UKI3,11.458058734927453
UKI4,11.40589707887014
UKI5,11.317691257537762
UKI6,10.917332658272787
UKI7,11.313579516992995
UKJ1,11.049325242244391
UKJ2,10.813791837500787
UKJ3,10.922607388076349
