nuts,Summer Fire Weather Index (-) ensemble median - RCP4.5 - (2071 - 2100)
DE50,8.607106051173542
DE60,9.933039251120931
DE71,13.259433232880566
DE72,10.843653678377509
DE73,9.798061728155266
DE80,9.899376677795464
DE91,9.877820248105603
BG41,16.83845772352955
BG42,22.64462723194272
CH01,5.663621877969267
AT32,3.5596500995753915
AT33,3.515651972788838
AT34,3.8076165907658233
BE10,9.647760198691804
BE23,9.575211212072782
BE24,9.648326614996227
BE25,10.002448198704888
BE31,9.325161996864061
BE32,9.702291270233372
BE33,8.802885723205119
BE34,9.581705165513943
BE35,9.313230122398727
BG31,22.005601688426232
BG32,20.484985736044184
BG33,22.23907672386559
BG34,23.204555930994896
DE92,9.758243893924321
DE93,9.97741589083726
DE94,9.323023574173556
CZ07,10.302004179201449
CZ08,8.28481763697243
AL01,19.69492451686244
AL02,26.73436068574388
AL03,27.862331285141185
AT11,13.829322266973168
AT12,11.523115956141885
AT13,16.135230034076656
AT21,4.824319848497652
AT22,5.468876307560511
AT31,5.841725884086071
DK05,7.957219719205215
BE21,10.368374887045169
BE22,10.616360673344808
ES43,43.756791298899905
ES51,26.47193484350891
ES52,37.04171469424418
ES53,28.391903337121196
ES61,42.73590645218084
ES62,43.01939339557794
ES63,0.0
ES64,0.0
CH02,6.624985367894571
CH03,8.378622065617128
CH04,7.997020005588486
CH05,5.449894161331249
CH06,5.010295154706861
CH07,6.695447852103394
CY00,43.95325471522718
CZ01,11.756488715674523
CZ02,11.38114044893299
CZ03,8.853603936834018
CZ04,10.686543002450712
CZ05,9.549613236647081
CZ06,11.853684533487714
DE40,11.871031767902048
EL53,29.036712549637745
EL54,27.548416586057325
EL61,30.820820490051915
EL62,0.0
EL63,34.40160611026968
ES70,0.0
ITC1,13.032610775259784
ITC2,7.05061715199192
DE11,11.358002565693521
DE12,12.427894442843256
DE13,8.954049841018415
DE14,7.07425276288979
DE21,6.331814815679487
DE22,8.28435002755791
DE23,10.051558527033132
DE24,11.048717300746983
DE25,11.502500026938257
DE26,11.810415911222119
DE27,7.147980320408601
DE30,12.843561014870918
EL42,34.50694756770246
LV00,7.920733130277546
ME00,15.244587964260216
MK00,26.213251547722983
MT00,0.0
NL11,7.76183335952563
NL12,7.555617488056944
EL64,36.574598451976954
EL65,40.25505723886205
ES11,19.97590648073223
ES12,9.88107131697901
ES13,10.320481507906113
ES21,13.98127787322526
ES22,24.942053154658694
ES23,26.35122249443257
ES24,35.16852635611662
ES30,43.22628870377984
IE05,6.164722580691391
IE06,5.475264569362231
IS00,4.392463654946184
ITC3,12.965024698586925
FI19,5.933717912090804
FI1B,8.344853157850547
FI1C,7.789706124102733
DEA1,10.659747027507677
DEA2,10.074197662856864
DEA3,10.409170066779417
DEA4,9.526707644767544
DEA5,9.278828299026399
DEB1,11.520173826693686
DEB2,10.938373262321065
DEB3,13.791766753720111
DEC0,12.424001710356027
DED2,10.613680204700506
DED4,9.196822190651003
DED5,12.122037222517967
DEE0,11.175371477292238
DEF0,8.792641020867702
DEG0,10.529059293154283
DK01,9.997567185722515
DK02,9.210809369758028
DK03,7.9863898319874576
DK04,7.45594799438924
ES41,33.508904995165366
ES42,46.265923943663935
HU23,17.512963583693974
HU31,17.714098933610767
HU32,18.88220105152188
HU33,19.356238675226297
IE04,4.112287344078794
EE00,7.40500000045575
EL30,51.072611041541286
EL41,43.22441260378643
EL43,47.96394316804502
EL51,28.807055674106444
EL52,26.93715571897907
FI20,8.25245527850313
FR10,14.908456120326257
FRB0,17.32613474991787
FRC1,14.326466173897568
FRC2,12.032340763904353
FRD1,12.203031838092537
FRD2,11.964247782778195
FRE1,10.378906594774644
FRE2,11.89050637562032
FRF1,12.607281149509888
NL13,8.979392640918428
NL21,10.275823609503597
NL22,10.366494023993157
NL23,9.524592521463987
NL31,10.102615692727841
NL32,8.912753007459589
ITG2,36.9811867511126
ITH1,5.640087636626738
ITH2,6.814710628391084
FRI3,17.68899756882175
FRJ1,26.666558916589576
FRJ2,17.06828709102784
FRK1,14.846198815190913
FRK2,15.345778498574175
FRL0,26.275353218094317
FRM0,22.744223280639165
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,49.301577677061005
TR32,47.67920312342415
TR33,43.17234450335336
HR03,19.149273216135207
HR02,15.550541457476589
HU11,19.01160713686606
HU12,19.066904600017665
