nuts,August Fire Weather Index (-) ensemble median - RCP8.5 - (2011 - 2040)
DE50,9.100728147896517
DE60,10.525168923196334
DE71,12.283197015373736
DE72,9.274078115261103
DE73,8.714865301459707
DE80,11.25022147817435
DE91,10.653382688476851
BG41,16.125087259791837
BG42,22.769131579858783
CH01,4.201881263272271
AT32,3.0171012304962543
AT33,2.7485674217406353
AT34,3.146538079862689
BE10,9.21993344942508
BE23,9.06854202856464
BE24,9.146484890926478
BE25,9.40022271909382
BE31,8.615630623063167
BE32,8.904278997633803
BE33,7.287947257321333
BE34,7.953366569985729
BE35,7.926047843909136
BG31,20.232184309277613
BG32,21.024032848017473
BG33,21.21412805089866
BG34,23.071974609360325
DE92,10.118217684355585
DE93,11.082580197774465
DE94,9.71358426383896
CZ07,10.460690908955952
CZ08,8.777785545579714
AL01,18.394674272745508
AL02,24.30288817228468
AL03,26.34648988878785
AT11,14.899981196244473
AT12,11.840909303137526
AT13,16.922033729464616
AT21,4.451727115106293
AT22,5.73526602125442
AT31,5.939472733031001
DK05,8.959812961452736
BE21,9.54109915587039
BE22,9.047268665300484
ES43,43.103259210255395
ES51,21.988838108518376
ES52,35.08748722177715
ES53,28.01359914835226
ES61,43.061100338559385
ES62,41.92595293992308
ES63,0.0
ES64,0.0
CH02,5.248342180979127
CH03,7.17084537408874
CH04,7.3353564306847705
CH05,4.394930830927197
CH06,3.8776355612325886
CH07,5.287815876721481
CY00,42.26950451580184
CZ01,12.252631632410136
CZ02,11.900562038419102
CZ03,8.910722432973646
CZ04,11.140113535234411
CZ05,10.182017373637917
CZ06,12.301196524076655
DE40,13.310107102784723
EL53,26.558515470637285
EL54,27.1287974713272
EL61,27.654538619825814
EL62,0.0
EL63,33.34606086964571
ES70,0.0
ITC1,12.980160466226547
ITC2,6.4735586781643555
DE11,9.908360658244286
DE12,10.606951285944834
DE13,8.250947385385276
DE14,6.4944234711916895
DE21,5.9892934886623515
DE22,7.949980227890801
DE23,9.402981002070197
DE24,9.661005903362472
DE25,10.286300273419961
DE26,10.76341045100498
DE27,6.396459068062275
DE30,14.126629414756852
EL42,31.028588217884916
LV00,7.517705273870016
ME00,15.413365473962411
MK00,24.289120047926005
MT00,0.0
NL11,8.407533099468314
NL12,7.483151715116109
EL64,34.17283417512976
EL65,38.02487631033301
ES11,18.180687494586014
ES12,7.786633400909977
ES13,9.287886930292931
ES21,12.889300979952296
ES22,22.52816919284866
ES23,24.609601099808074
ES24,31.882639433119692
ES30,42.95860400437237
IE05,5.19621435571555
IE06,4.945184980234224
IS00,2.9956647925201656
ITC3,12.623491772259456
FI19,5.696026543327632
FI1B,7.745385981304156
FI1C,7.089620609024617
DEA1,8.820498041775611
DEA2,8.227198103641497
DEA3,9.903607730417653
DEA4,9.510502127574284
DEA5,7.956146330194701
DEB1,9.880464861336996
DEB2,9.463031044942113
DEB3,12.509181970243201
DEC0,10.900123871902334
DED2,11.225451558008768
DED4,9.37038971555782
DED5,12.810229520896314
DEE0,12.365232193661775
DEF0,9.845327951226137
DEG0,10.122285065776223
DK01,10.63147721627574
DK02,10.471269791518422
DK03,8.742173013575997
DK04,8.812848317053751
ES41,31.664023069132273
ES42,45.120755825647045
HU23,18.244191446364294
HU31,17.059538288549934
HU32,18.835711815882107
HU33,19.766112994706628
IE04,3.6538540509373236
EE00,6.311486220184619
EL30,46.986249200708215
EL41,43.52591322544874
EL43,45.572165613780406
EL51,29.892404185021807
EL52,25.426570098938
FI20,7.667038284645399
FR10,14.239782183368941
FRB0,15.01468704292134
FRC1,12.036524107129654
FRC2,10.198912483082056
FRD1,10.315496870473503
FRD2,10.292315198075645
FRE1,9.79580831794765
FRE2,11.10970867379808
FRF1,11.034084622237081
NL13,8.5393995363063
NL21,9.366282860729347
NL22,9.586884143879072
NL23,9.094511872545796
NL31,8.910670547004353
NL32,7.848685693734458
ITG2,35.98029654821841
ITH1,4.598601682646254
ITH2,5.485807101319959
