nuts,Annual Fire Weather Index (-) ensemble median - RCP8.5 - (2071 - 2100)
DE50,5.381269254327259
DE60,6.982133486406827
DE71,10.142134964590705
DE72,8.364280556135792
DE73,7.343718521178318
DE80,7.538503478814799
DE91,7.462162636475997
BG41,12.699152829544389
BG42,15.776641355635613
CH01,5.418276797560598
AT32,4.2873730729783786
AT33,4.05577580535403
AT34,4.460611901338692
BE10,7.455442593907055
BE23,7.5973516209921685
BE24,7.509517023697192
BE25,8.062782601105518
BE31,7.44902676581951
BE32,7.897410084090647
BE33,7.239676026603442
BE34,8.230035666770922
BE35,7.47085648426683
BG31,15.415944086138193
BG32,14.756403820929933
BG33,15.419075388753924
BG34,15.273257608522346
DE92,6.906638378507752
DE93,7.052638686033408
DE94,6.347642395950494
CZ07,8.503452212804829
CZ08,7.4312395720565565
AL01,14.519882289709937
AL02,17.946702648851318
AL03,18.718448533422706
AT11,10.458749280600946
AT12,8.611618532656042
AT13,11.420033354162491
AT21,4.7071933994117785
AT22,5.541463446471352
AT31,5.708006786064856
DK05,5.3162996066613655
BE21,7.712536997093961
BE22,7.630013658148198
ES43,29.27025107983743
ES51,18.96997986210615
ES52,28.218568645323767
ES53,20.437775245278083
ES61,29.44483203472148
ES62,31.732408316413743
ES63,0.0
ES64,0.0
CH02,5.965446262992414
CH03,7.080548598726288
CH04,6.970651404959293
CH05,5.211591450712845
CH06,4.800224119557969
CH07,5.607185008530309
CY00,32.31514919985873
CZ01,8.718683978698284
CZ02,8.582037715120496
CZ03,7.1736477185709155
CZ04,8.338427122348122
CZ05,7.635200245011245
CZ06,9.446722616659594
DE40,8.282400244144773
EL53,19.431594396706814
EL54,19.176509478058033
EL61,20.652548779278572
EL62,0.0
EL63,23.251668126112346
ES70,0.0
ITC1,10.188109318427314
ITC2,6.283846427071194
DE11,8.320529011000465
DE12,8.85029048769337
DE13,7.612503451764622
DE14,6.58837809567369
DE21,5.934082796835832
DE22,7.155114384686054
DE23,8.142103016029468
DE24,8.490509083081538
DE25,8.613285121482695
DE26,9.195123798879308
DE27,6.440166756826502
DE30,8.908862077086052
EL42,25.397955666763607
LV00,5.3033654118094855
ME00,12.131444302710197
MK00,17.805318091399407
MT00,0.0
NL11,5.504379045636897
NL12,5.103632827514038
EL64,24.574637323062706
EL65,27.234989864366277
ES11,14.39739332743054
ES12,8.452794345627357
ES13,8.429364219791779
ES21,10.62262410259097
ES22,17.645047146439754
ES23,18.995359762858993
ES24,25.03074159449078
ES30,27.98758451297402
IE05,4.232767312252591
IE06,4.047030419395993
IS00,2.3369399554902346
ITC3,10.315768766791903
FI19,4.535778677279269
FI1B,6.083857078820612
FI1C,5.441021345932948
DEA1,7.463070638810401
DEA2,7.874091814682015
DEA3,7.369754696409406
DEA4,6.801986741219288
DEA5,7.1363328791981075
DEB1,9.272961696581813
DEB2,9.522535889163882
DEB3,10.826285555752703
DEC0,10.50355123126735
DED2,7.375550332959882
DED4,7.2825527368970695
DED5,8.786310011365606
DEE0,8.563476865098911
DEF0,6.4229487336440885
DEG0,8.473961766343448
DK01,6.977209173238095
DK02,6.79978272375107
DK03,5.679734844664721
DK04,5.3602059993288025
ES41,22.779051448986333
ES42,31.037314945455606
HU23,12.511998462342541
HU31,12.553805026691983
HU32,13.278885870968452
HU33,13.497851281894862
IE04,2.982016436484467
EE00,4.700321883007769
EL30,34.924703923411236
EL41,29.586885943163253
EL43,33.58826435475788
EL51,19.516589681418097
EL52,18.76790786890216
FI20,4.737582929469162
FR10,11.590062718270467
FRB0,12.593851293516517
FRC1,11.160861746595504
FRC2,10.366513491167158
FRD1,9.748502963427075
FRD2,9.46948858728525
FRE1,8.602995318322183
FRE2,9.560692249792876
FRF1,9.496048767516605
NL13,5.984545104254209
NL21,6.678843726112162
NL22,7.125881560025779
NL23,6.475138321258708
NL31,6.950074589854327
NL32,6.08850779395287
ITG2,24.58364402679201
ITH1,5.433960223729417
ITH2,5.916164286358433
FRI3,13.526297888007374
FRJ1,18.455754074504274
FRJ2,12.66913773199279
FRK1,10.839182062280432
FRK2,11.362440666707034
FRL0,18.67376888863101
FRM0,15.362319439950797
