nuts,April Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,4.878212497340842
DE60,5.347307989642464
DE71,5.373699639462515
DE72,4.780572289525575
DE73,4.447589308898179
DE80,5.387246265765426
DE91,4.911822257585898
BG41,5.303326768158685
BG42,6.3514737750580155
CH01,1.8461932848043587
AT32,2.7223386698289933
AT33,1.9333630325455915
AT34,2.2010995093120758
BE10,5.560134108017608
BE23,5.491324268274798
BE24,5.594153923380342
BE25,5.10736791097905
BE31,5.371821845123863
BE32,5.29763686869549
BE33,4.291876764063731
BE34,4.1031705112881065
BE35,4.515492523163632
BG31,7.785895659336549
BG32,8.317201939413899
BG33,7.901470034778014
BG34,6.497394081843297
DE92,4.993657773496795
DE93,5.455411611074774
DE94,5.51570896913494
CZ07,5.846546849780589
CZ08,5.251880636502029
AL01,3.3030768061621747
AL02,4.915790595967737
AL03,4.947161640629354
AT11,8.325120475154357
AT12,6.858029456219178
AT13,8.950917296683146
AT21,2.643528950455123
AT22,4.677123324763722
AT31,4.317374711052794
DK05,3.9857918183355947
BE21,6.110049692432481
BE22,5.537909758584214
ES43,15.826386512517592
ES51,13.322731958555334
ES52,21.26343696820676
ES53,14.205640664094979
ES61,17.269494356778253
ES62,24.778403873167306
ES63,0.0
ES64,0.0
CH02,2.6619467006749833
CH03,3.56362941616332
CH04,3.713186976351537
CH05,2.2888081953855823
CH06,2.201288549905672
CH07,3.3691786595879427
CY00,21.556672047454636
CZ01,7.279531462867398
CZ02,6.686673350252307
CZ03,5.136551094241817
CZ04,6.002093488395067
CZ05,5.015131360156018
CZ06,7.0651682305371155
DE40,6.734122042359363
EL53,7.749056179350026
EL54,4.765862932144211
EL61,9.481878913933945
EL62,0.0
EL63,7.998547135369561
ES70,0.0
ITC1,5.001992379829352
ITC2,1.8717955287667658
DE11,4.92353444122657
DE12,5.045731579849155
DE13,4.10544462575838
DE14,4.003292896619508
DE21,4.568804319575322
DE22,4.8794444602668605
DE23,4.775778251467236
DE24,4.805860303002465
DE25,5.232054683001736
DE26,5.276244032119465
DE27,3.883266383299018
DE30,7.23781222180301
EL42,12.188886217551339
LV00,4.5981371879449515
ME00,3.4267384348407384
MK00,7.382047430133516
MT00,0.0
NL11,5.413059036541479
NL12,5.06365992001474
EL64,10.775222172659731
EL65,10.843902537745755
ES11,5.659012263859834
ES12,3.483696569321979
ES13,3.6085618434122066
ES21,4.297603482162497
ES22,8.999991717263075
ES23,8.577440554978178
ES24,16.71646366145926
ES30,13.237725780619192
IE05,3.27579140572414
IE06,3.2302253470220936
IS00,0.5275298563498506
ITC3,4.285071206048953
FI19,3.353087475577176
FI1B,3.685515676840692
FI1C,3.3734836702631563
DEA1,5.605910952631093
DEA2,4.639415487177864
DEA3,5.678984512513052
DEA4,4.805294750226058
DEA5,4.486768247291992
DEB1,4.745038928262545
DEB2,4.371622109316655
DEB3,5.545810055973866
DEC0,4.918154756960469
DED2,5.493420817370642
DED4,4.6408338847649535
DED5,6.216767241486061
DEE0,6.1889140030290575
DEF0,4.94405356841165
DEG0,4.964077959073485
DK01,5.461159204775778
DK02,4.6674740650821365
DK03,4.479398072102535
DK04,4.2669105540090335
ES41,10.540777775254975
ES42,17.48013936688464
HU23,8.115457685381216
HU31,9.813578915461278
HU32,9.817750880153344
HU33,9.357038167895729
IE04,2.7900455814074254
EE00,3.760193496975052
EL30,18.47377710870286
EL41,9.152713386082622
EL43,19.63081822530288
EL51,7.254678782241038
EL52,8.296577906575301
FI20,2.7562470723430366
FR10,5.882099509511696
FRB0,6.111188310962226
FRC1,5.402230060269186
FRC2,4.813561849938343
FRD1,4.740129185263039
FRD2,4.765764075348727
FRE1,4.994624472220911
FRE2,5.206937038493566
FRF1,4.880847052697428
NL13,5.77958404512252
NL21,5.950690329006649
NL22,6.12281583845733
NL23,5.863156621440856
NL31,5.906484990894284
NL32,5.183462789578275
ITG2,11.468715371563992
ITH1,1.7648459558647434
ITH2,2.7839616429997527
FRI3,6.314666512540386
FRJ1,9.447840208214043
FRJ2,5.53180993451901
FRK1,5.29040751119311
FRK2,5.802857080133953
FRL0,8.633072540790762
FRM0,6.065222346486665
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,10.223788051352226
TR32,13.575899432981457
TR33,12.789382393280741
HR03,5.259288300296365
HR02,7.274443715246696
HU11,9.63492992320845
HU12,9.517988686495908
HU21,8.617451869255952
HU22,8.75569369752959
PT16,12.132064400076763
PT17,15.212341047739821
FRF2,5.288134197021568
FRF3,4.861320004729779
FRG0,5.720054020035596
FRH0,5.028819808857489
FRI1,6.117829900909909
FRI2,5.8526884261071315
ITC4,6.440571438100174
ITF1,4.881801156375809
ITF2,6.728160334751562
ITF3,5.244584707536054
ITF4,11.740857096476644
ITF5,9.578258511427508
ITF6,6.62896629390502
ITG1,14.653014810154968
LT01,4.452013312530341
LT02,4.933703993828402
LU00,4.342396791185523
PL22,6.043426181345878
PL41,6.937572518766914
PL42,5.461431461343262
PT18,17.111981401550416
PT20,0.0
PT30,0.0
RO11,5.606143835647265
RO12,4.174510756583026
RO21,6.895754116733482
RO22,9.115234806386756
