nuts,May Fire Weather Index (-) (1981 - 2010)
DE50,6.782111885129506
DE60,6.799722035154603
DE71,6.91913035012275
DE72,6.0904329458304645
DE73,5.914243796730271
DE80,7.388122577556969
DE91,7.13848746885374
BG41,5.907812033727502
BG42,8.707494117759524
CH01,1.7233308091024668
AT32,2.0703407123246405
AT33,1.5559764854922846
AT34,1.7312225896730007
BE10,6.615572145009626
BE23,6.666257239574816
BE24,6.57646492429649
BE25,6.310656587682413
BE31,6.102937064352938
BE32,6.015321829260684
BE33,5.200512928724635
BE34,4.862657098272908
BE35,5.12560042178052
BG31,10.146751089287365
BG32,10.996063460045386
BG33,10.029224795473944
BG34,8.977303064369584
DE92,7.241034797166054
DE93,7.8322718993105545
DE94,6.959295086814892
CZ07,6.860107852678291
CZ08,6.013361504127797
AL01,5.242423791075408
AL02,8.546125818250726
AL03,8.721540886689432
AT11,9.738601805781617
AT12,8.239662688662149
AT13,10.800082238969125
AT21,2.451705489751311
AT22,3.8653680975604505
AT31,4.633006365427936
DK05,6.160998175170594
BE21,7.400449048652677
BE22,6.74808503062402
ES43,19.496887053803125
ES51,12.896726842078515
ES52,19.337388638511474
ES53,12.522195861870529
ES61,20.9369481987071
ES62,25.831092044666654
ES63,13.870479107266453
ES64,23.877151343077607
CH02,2.496376295272239
CH03,3.420629310872909
CH04,3.474906398744574
CH05,1.9397812180913958
CH06,2.0732650385796307
CH07,2.754940857413483
CY00,21.83649755397494
CZ01,8.814191059217684
CZ02,8.446779275281655
CZ03,6.330696125680242
CZ04,7.58598878081355
CZ05,7.214562931917523
CZ06,8.983598407988973
DE40,9.594987002872708
EL53,9.4853982721278
EL54,8.032348611867874
EL61,11.28644328975464
EL62,7.503105865572324
EL63,11.569738005319168
ES70,22.513488931937832
ITC1,4.784396088806676
ITC2,1.9405800151189216
DE11,5.646433391710031
DE12,5.759838665606428
DE13,4.072512130508527
DE14,3.7370743253051746
DE21,4.571871488049695
DE22,6.037210329360735
DE23,6.353292449247576
DE24,6.6737860074098725
DE25,6.661329115575013
DE26,6.695238115991032
DE27,4.1013714578935225
DE30,10.158690946601158
EL42,14.499762447100775
LV00,8.177548026347441
ME00,4.507749420744891
MK00,9.066929164225778
MT00,13.276540387116622
NL11,6.3814171876288395
NL12,5.260263413707055
EL64,16.964404552852383
EL65,16.557964767334415
ES11,5.286638628980758
ES12,2.762096539467091
ES13,3.7124696582346557
ES21,4.256755486089989
ES22,10.5610356503909
ES23,9.544740372487817
ES24,17.472910343313977
ES30,16.471504926180145
IE05,4.034428710907245
IE06,4.153648461347784
IS00,1.233822520183564
ITC3,4.487476237142815
FI19,6.865661583846878
FI1B,7.926541554896625
FI1C,7.233092520118149
DEA1,7.314290645762958
DEA2,6.046505682885648
DEA3,7.894498190836302
DEA4,6.8541987011855205
DEA5,6.2412367604625265
DEB1,6.128529732581031
DEB2,5.493588615034052
DEB3,6.781954488716356
DEC0,5.8525620815343435
DED2,7.785129343557847
DED4,6.560441407399925
DED5,9.055660967467135
DEE0,8.937696584060673
DEF0,6.490614070774205
DEG0,6.757515007970487
DK01,6.193506276047094
DK02,5.90572975261344
DK03,6.615598686351314
DK04,6.280972145126549
ES41,12.467212501205543
ES42,19.690510129052157
HU23,11.28228380609959
HU31,12.411751270189448
HU32,12.891729975922363
HU33,13.106393089168066
IE04,3.6495766033750376
EE00,7.570337767253277
EL30,21.45713473314551
EL41,15.513557881493051
EL43,21.693520103916846
EL51,10.713419852618863
EL52,10.619251344012321
FI20,3.541095308630209
FR10,6.840042013847417
FRB0,7.107380263859783
FRC1,5.551683616143752
FRC2,4.579235706590179
FRD1,5.525260027425553
FRD2,5.776898878521907
FRE1,5.963849030054366
FRE2,6.025936633643627
FRF1,5.202325956959776
NL13,7.4849240264002805
NL21,7.98341720040197
NL22,7.997687338890925
NL23,7.522150488024102
NL31,7.869494934269195
NL32,5.764192167012475
ITG2,14.423455519215176
ITH1,1.3525204756128542
ITH2,2.121148360411004
FRI3,7.712495552106669
FRJ1,10.570384294319746
FRJ2,5.824619131048495
FRK1,4.9486379636205475
FRK2,5.196095498121138
FRL0,11.210569539468429
FRM0,8.499755614181817
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,18.47006558297358
TR32,18.518908321623208
TR33,17.532619471414016
HR03,6.4392429545995
HR02,9.040603439429903
HU11,12.786635810877486
HU12,12.73500742662924
HU21,11.720107369717585
HU22,11.13399630207293
PT16,13.61179879454525
PT17,14.236763421961333
FRF2,5.577876643763572
FRF3,5.419693087644377
FRG0,7.20931149724033
FRH0,5.534121777585166
FRI1,6.637979723935471
FRI2,5.132681554523777
ITC4,6.835313855962216
ITF1,6.842076120629011
ITF2,9.538865872377098
ITF3,8.288329483601744
ITF4,14.7913039485319
ITF5,13.939650095621493
ITF6,10.318406775122797
ITG1,16.48869736478998
LT01,7.809740027157808
LT02,8.131310376933211
LU00,5.2676134108319355
PL22,7.199647562889713
PL41,10.274292935294465
PL42,8.298915466866493
PT18,20.050091466789556
PT20,0.0
PT30,11.500777965089238
RO11,6.934632481084563
RO12,4.829842164345294
RO21,9.80321831146495
RO22,13.372101796199775
RO31,11.867298059193484
RO32,12.817164005056267
ITH3,5.948496296769095
ITH4,4.233557133677538
ITH5,9.238007085463996
ITI1,8.070956671226517
ITI2,9.366870492807076
ITI3,8.056202982594733
ITI4,8.181239496953589
LI00,1.576178212312271
FI1D,4.581958241086883
TR82,8.7217222499098
TR83,8.416440469182877
TR90,2.6107550399073376
TRA1,4.973931909536487
