nuts,Autumn Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,3.3635767095688256
DE60,3.9768954842099418
DE71,5.236074923008338
DE72,3.9303890149541667
DE73,3.4150515780115507
DE80,4.466071624784867
DE91,3.849386804716082
BG41,9.92517591389138
BG42,13.517815971314104
CH01,2.3313564247605005
AT32,1.830706297576712
AT33,2.0497615847166015
AT34,2.0221891127205005
BE10,5.117708839722155
BE23,4.967784652542265
BE24,4.98368541395519
BE25,4.968374344572524
BE31,4.71188103805354
BE32,4.855701525708613
BE33,3.6431400695975746
BE34,3.6654594243036587
BE35,3.869583922714669
BG31,13.199591954906031
BG32,12.398969781760117
BG33,12.729347427031652
BG34,13.474014455934569
DE92,3.8740160079283315
DE93,4.111230271011728
DE94,3.832893992002529
CZ07,4.885155584398732
CZ08,4.2161141910219335
AL01,8.268690665874939
AL02,10.920653205794613
AL03,12.545026118563964
AT11,6.8080801189441535
AT12,5.547943903367157
AT13,7.8684120193465015
AT21,2.3305927796309693
AT22,2.704585316985566
AT31,2.8923005088388987
DK05,3.500666036661986
BE21,4.730148628280557
BE22,4.373414797931073
ES43,23.067453957171242
ES51,11.741375172411121
ES52,19.275748019333136
ES53,14.716079936973209
ES61,24.346853121987333
ES62,23.256306743017788
ES63,0.0
ES64,0.0
CH02,2.870536442155965
CH03,3.3987455798930073
CH04,3.2086598769338996
CH05,2.524639497540487
CH06,2.2013613865385424
CH07,2.5990223477958034
CY00,29.977362293522948
CZ01,6.154156213946038
CZ02,5.802823149929825
CZ03,4.283248991045406
CZ04,4.8995671102894525
CZ05,4.17760893350162
CZ06,5.685055249332852
DE40,5.547201896779289
EL53,15.31306953078347
EL54,13.162903247396383
EL61,15.464282665501365
EL62,0.0
EL63,17.371439556639068
ES70,0.0
ITC1,5.906754982586102
ITC2,2.8206203448429537
DE11,4.238192154363919
DE12,4.892630329775288
DE13,4.016236891301118
DE14,3.2767607067214843
DE21,2.9203189520978685
DE22,3.8376670678382014
DE23,3.951347640690193
DE24,3.945888430074378
DE25,4.263366907403209
DE26,4.512545703869228
DE27,3.3268540630881787
DE30,5.805106185988107
EL42,21.97684114321546
LV00,3.0798227957440605
ME00,6.719539145983393
MK00,13.59871731076018
MT00,0.0
NL11,3.370298256994222
NL12,3.2244416506940197
EL64,19.02243060119376
EL65,20.716415497694914
ES11,9.936963703127088
ES12,5.367598040919569
ES13,6.529792715972606
ES21,8.793484674803079
ES22,13.4323949013482
ES23,14.122115153603822
ES24,17.655722338138652
ES30,21.328111309070152
IE05,2.7210640357399702
IE06,2.781217234417215
IS00,0.8024222105824692
ITC3,5.973081844127368
FI19,2.157280285930512
FI1B,2.8837522522081143
FI1C,2.5404594508931035
DEA1,4.005743865999987
DEA2,3.8367443441053397
DEA3,4.13527501985662
DEA4,3.521635241533408
DEA5,3.300690080122067
DEB1,4.433101724378187
DEB2,4.173384621543378
DEB3,5.8078017885350475
DEC0,4.828826630950478
DED2,4.592270458118612
DED4,3.9050732128540893
DED5,5.3643362355038295
DEE0,5.346994836791294
DEF0,3.6376865360893897
DEG0,4.3708295474622005
DK01,4.446452116581174
DK02,4.578290168923795
DK03,3.573720111915782
DK04,3.3998608623684503
ES41,16.949626670428508
ES42,22.714968419600392
HU23,8.382036092454413
HU31,9.356975192348182
HU32,10.694149886253662
HU33,10.514967470120173
IE04,1.994607888957274
EE00,2.866279241367128
EL30,26.648777031887946
EL41,24.018202386505788
EL43,27.827147068384843
EL51,17.315593324986896
EL52,15.114971691088202
FI20,3.585699715599183
FR10,7.266838704585318
FRB0,8.504969895383313
FRC1,6.509125699472381
FRC2,5.59464701377014
FRD1,6.427178606298957
FRD2,6.270662350184712
FRE1,5.285412070189672
FRE2,6.303612142345024
FRF1,5.10515294594851
NL13,3.551560386609523
NL21,3.775531182524657
NL22,4.073399417087992
NL23,3.570614964287586
NL31,3.8868373894391173
NL32,3.4849270188611685
ITG2,17.63502030435652
ITH1,2.7375526914194603
ITH2,2.9991446123077288
FRI3,10.001918403661044
FRJ1,12.431144250683975
FRJ2,8.266720567778485
FRK1,6.680788498577552
FRK2,6.2028199748420505
FRL0,12.003055813922328
FRM0,10.68313238404712
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,26.81950590719737
TR32,28.46390317860143
TR33,25.908291606090284
HR03,7.205297584950413
HR02,7.508495337079842
HU11,9.15596224002589
HU12,9.87493028802819
HU21,8.65284205685494
HU22,7.7998463414181565
PT16,19.057600250479364
PT17,19.945145139167725
FRF2,5.413712109809848
FRF3,4.897969664871305
FRG0,9.534282625585071
FRH0,7.498138794948218
FRI1,8.80407259760356
FRI2,6.7153021237638715
ITC4,6.238589926209113
ITF1,7.90672881990785
ITF2,11.281474928121796
ITF3,11.418877406195216
ITF4,15.804840856164045
ITF5,14.244848223452953
ITF6,10.908867889765467
ITG1,16.045840714699082
LT01,3.4983665819149925
LT02,3.5131461759203657
LU00,4.136588802845142
PL22,5.139511047443154
PL41,5.633335981680292
PL42,4.560147385557314
PT18,23.297449198515896
PT20,0.0
PT30,0.0
RO11,6.347766883643131
RO12,5.236645540153919
RO21,7.828262170366975
RO22,12.739036139539309
RO31,11.222852506003303
RO32,11.193438703962821
ITH3,5.757644055696615
ITH4,4.23012506210733
ITH5,8.162774525473932
ITI1,8.799675543915454
ITI2,10.046372891036192
ITI3,9.017687579196604
ITI4,9.321097369056707
LI00,2.112459007882834
FI1D,1.2336789140970184
TR82,16.680439019638563
TR83,17.712765637618954
