nuts,August Fire Weather Index (-) ensemble median - RCP4.5 - (2071 - 2100)
DE50,9.239532656886531
DE60,10.20529505648792
DE71,16.733642056343296
DE72,13.242475867187423
DE73,12.528150664674857
DE80,12.927658418477705
DE91,12.86185443877593
BG41,16.847368497568954
BG42,24.843547466952515
CH01,6.745319253951327
AT32,4.042497769090265
AT33,4.405012368960087
AT34,4.788840856223215
BE10,11.37279858021571
BE23,11.114798401045302
BE24,11.401997782053419
BE25,11.753790992395915
BE31,11.532264983538292
BE32,11.867421027460006
BE33,10.386614168272429
BE34,11.517221031243034
BE35,11.355422427135933
BG31,21.563483917527762
BG32,21.388248426403777
BG33,23.38947600724862
BG34,25.53992583513865
DE92,12.276686243554039
DE93,11.092770341681518
DE94,11.23031644393889
CZ07,12.081064451935061
CZ08,10.219928972239284
AL01,19.559723020628716
AL02,25.851701556750047
AL03,28.0159390377805
AT11,15.290498444160006
AT12,12.752077572952478
AT13,18.283460940245064
AT21,5.824100793630619
AT22,6.640089176971962
AT31,7.234748038350649
DK05,6.859735785699151
BE21,11.556823350596328
BE22,12.228499431638337
ES43,45.90371858233938
ES51,24.687859255489393
ES52,37.47235181525807
ES53,29.403645963680567
ES61,45.30120166503885
ES62,44.40859653036533
ES63,0.0
ES64,0.0
CH02,8.25528388514982
CH03,10.653520884808403
CH04,9.788973503736134
CH05,6.691695235137111
CH06,5.892679362793314
CH07,8.113812993467011
CY00,44.57122402545435
CZ01,14.70713057662578
CZ02,14.394155617105177
CZ03,10.934369660810775
CZ04,13.681881809623167
CZ05,11.851723186992707
CZ06,13.526955273070623
DE40,14.429570075521669
EL53,28.112830061422997
EL54,29.398185328212772
EL61,28.645773236613316
EL62,0.0
EL63,35.305319500211276
ES70,0.0
ITC1,14.733448371248402
ITC2,8.693388983832401
DE11,13.98476039314012
DE12,15.375605124912408
DE13,11.391263292046416
DE14,8.512158720745473
DE21,7.407744329150292
DE22,9.787907661982228
DE23,11.9444849725724
DE24,13.517820897774692
DE25,13.75828679764184
DE26,15.57886976381754
DE27,8.212803229668165
DE30,15.532656372684134
EL42,33.166352617022106
LV00,6.42685978602457
ME00,16.63596954029699
MK00,25.33872099031067
MT00,0.0
NL11,8.086029556908608
NL12,6.339716156352003
EL64,34.89305675120194
EL65,39.686241572377504
ES11,23.84913870858514
ES12,12.436959659706302
ES13,12.469433627805145
ES21,17.09283711294679
ES22,26.351782684236703
ES23,29.818385497640318
ES24,35.00593130934954
ES30,47.27511487215166
IE05,6.317298610679897
IE06,4.8133785558769056
IS00,2.8572016716195394
ITC3,14.999867843315911
FI19,4.850140923327382
FI1B,7.233568847134817
FI1C,6.451377323629404
DEA1,12.201471520088338
DEA2,11.901580351457262
DEA3,13.177995973745249
DEA4,12.252778203086448
DEA5,11.55428519609149
DEB1,14.04688613527885
DEB2,12.938330535615249
DEB3,17.165000634221673
DEC0,16.261596794869778
DED2,12.117933267089358
DED4,11.146400854249288
DED5,15.054243320252352
DEE0,14.667421381300931
DEF0,9.736944496696577
DEG0,13.68544801520506
DK01,11.216253524453334
DK02,10.980133068640553
DK03,8.022897011386284
DK04,6.810241101344222
ES41,36.65979451667941
ES42,48.71884367265265
HU23,18.492276000311257
HU31,17.809721090080952
HU32,19.82478099705725
HU33,20.08439596726089
IE04,3.333422515784378
EE00,6.0058996826759525
EL30,48.08034730516968
EL41,43.82945540089413
EL43,49.22252996797256
EL51,32.59352041455013
EL52,26.31001431294045
FI20,6.771106664553532
FR10,20.425384845079154
FRB0,22.23034209372746
FRC1,18.10499760989633
FRC2,15.592577947594153
FRD1,15.433984675114685
FRD2,15.110373431058148
FRE1,12.877799361324781
FRE2,14.448323588095363
FRF1,16.05826964563062
NL13,9.224386396454612
NL21,10.99183097411396
NL22,11.749297973388636
NL23,9.32971065383288
NL31,11.069843224737438
NL32,9.206245646225716
ITG2,38.63934031931843
ITH1,7.10000972918427
ITH2,8.466061686500506
FRI3,22.369271360538093
FRJ1,26.96651831775516
FRJ2,17.836894185741638
FRK1,18.06437769120067
FRK2,16.849184961596055
FRL0,28.520552897426686
FRM0,24.653921590830652
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,46.691795386968074
TR32,46.36134940313588
TR33,41.09439356468323
HR03,20.807293628142425
HR02,18.144069063953577
HU11,19.23713949774875
HU12,19.11389073344782
HU21,19.444002040127845
HU22,18.31108754811186
PT16,39.34412874177786
PT17,37.102649916609124
FRF2,16.59552825812473
FRF3,16.376561910569038
FRG0,22.58326294085031
FRH0,17.44752293204658
FRI1,18.75220202122486
FRI2,17.73397427734347
ITC4,15.405660104159642
ITF1,21.58324379624659
ITF2,28.057750748368903
ITF3,30.329204510111545
ITF4,39.002198953056705
ITF5,36.19625294866463
ITF6,27.569203679739754
ITG1,39.047878836124134
LT01,8.627991455403459
LT02,8.145375354032746
LU00,13.140399707284077
PL22,11.6786590845652
PL41,14.974077342673139
PL42,12.664409094350903
PT18,43.47516237451696
PT20,0.0
PT30,0.0
RO11,11.539353839306939
RO12,8.452940466599319
RO21,13.067364202294947
RO22,22.27052167583924
RO31,17.252612945737262
RO32,17.429585228793986
ITH3,14.994097878752704
ITH4,11.30959499343562
ITH5,21.1446070936233
ITI1,25.434533252701975
ITI2,29.165134756689163
ITI3,23.598944087801076
ITI4,27.806251646068805
LI00,5.905575031837639
FI1D,3.3710910187151497
TR82,30.548809706678217
TR83,32.18158035802397
TR90,16.56407105370319
TRA1,32.423529968191126
TRA2,14.178796932124305
PL43,15.556173812829948
