nuts,Annual Fire Weather Index (-) (1981 - 2010)
DE50,4.6224566951644315
DE60,5.034299784820228
DE71,5.925533447998191
DE72,4.71665817837083
DE73,4.487572499294731
DE80,5.5977668429125425
DE91,5.191476944926478
BG41,7.574698953949451
BG42,10.91398377057902
CH01,1.9021842582329354
AT32,1.5150633222495518
AT33,1.3823397683307235
AT34,1.5955346306431604
BE10,5.328169433629647
BE23,5.282840614947289
BE24,5.264646713461527
BE25,5.189783733006279
BE31,5.067869084442655
BE32,5.082006548776837
BE33,4.2212172892219355
BE34,4.256750472359509
BE35,4.311582062589141
BG31,10.447952297277634
BG32,9.947956180206054
BG33,10.052553250371506
BG34,10.590434948922715
DE92,5.265468905854345
DE93,5.545159428436164
DE94,4.699195376369256
CZ07,5.252011356983156
CZ08,4.565516731776886
AL01,7.763324149696018
AL02,11.379149497706498
AL03,12.023717128334576
AT11,7.729747988160725
AT12,6.263931793545843
AT13,8.602651062065876
AT21,2.024062591059682
AT22,2.8459164714198724
AT31,3.0387244516396974
DK05,4.7554155295476805
BE21,5.5172078246404075
BE22,5.184810009869067
ES43,22.98262826273624
ES51,13.17198436185139
ES52,20.138516470209463
ES53,14.283787150325221
ES61,23.18817476893075
ES62,25.049953639338053
ES63,15.60270490005074
ES64,22.673479824841618
CH02,2.4931503229993814
CH03,3.4010307062038314
CH04,3.185489099255816
CH05,2.001017479859538
CH06,1.8955870978702862
CH07,2.977363142679918
CY00,21.543531721601017
CZ01,6.531743930142991
CZ02,6.171561588095166
CZ03,4.503421210898914
CZ04,5.410310257552324
CZ05,5.23658050185757
CZ06,6.693373633509531
DE40,6.928462409037558
EL53,13.129149261243999
EL54,12.023879397318433
EL61,13.749511924766468
EL62,10.121670235567272
EL63,15.101021873942788
ES70,22.482268224935392
ITC1,5.844671343825264
ITC2,2.970633468086176
DE11,4.796180011850013
DE12,5.1540735254192365
DE13,3.9376944650722483
DE14,3.033903666256777
DE21,3.1686341319068303
DE22,4.091157382217028
DE23,4.512120701634694
DE24,4.771203136600652
DE25,5.1111090723652115
DE26,5.3524393639603245
DE27,3.1622890082957733
DE30,7.3006119345701865
EL42,20.207390221099164
LV00,4.875792772277316
ME00,6.203355435177816
MK00,11.735713766878884
MT00,13.877899711997637
NL11,4.083303878578547
NL12,3.5079066930303484
EL64,18.387295434594677
EL65,19.05133164387893
ES11,8.053777761061346
ES12,3.711901004291144
ES13,4.934237395044272
ES21,5.801524056490884
ES22,12.205850268456782
ES23,12.498519416872352
ES24,18.463648842201795
ES30,21.693528056527416
IE05,3.070152233757552
IE06,3.120172992960298
IS00,1.3960550341938371
ITC3,5.987359643665173
FI19,4.30936109209214
FI1B,5.177858472069225
FI1C,4.672815109172327
DEA1,5.200825652895139
DEA2,4.6227353644012625
DEA3,5.471316430567729
DEA4,4.981947856746079
DEA5,4.42797056957391
DEB1,5.207122438559437
DEB2,5.005204756059078
DEB3,6.29681994167002
DEC0,5.480378064998558
DED2,5.571944660136659
DED4,4.557982452888724
DED5,6.518879194069077
DEE0,6.426947888954275
DEF0,4.8263702398038575
DEG0,4.986857521449268
DK01,4.860011945716238
DK02,4.937069863474879
DK03,4.8652930923468585
DK04,4.771245017938296
ES41,16.19549101111263
ES42,23.57468320298839
HU23,8.979765091403005
HU31,9.544999535468065
HU32,10.18355794240277
HU33,10.448585873654748
IE04,2.4294058679968726
EE00,4.665955152196887
EL30,22.650874301927587
EL41,20.816106980082296
EL43,22.920099043367486
EL51,14.319428542289637
EL52,12.983595040661594
FI20,3.3332636245674094
FR10,7.179724981759943
FRB0,7.848722305770517
FRC1,6.095515778361012
FRC2,4.972941397677846
FRD1,5.429699550817116
FRD2,5.775601693605952
FRE1,5.26829120667563
FRE2,5.8084324132344864
FRF1,5.235371139576412
NL13,4.763473884999733
NL21,5.223163602411544
NL22,5.3241822318060725
NL23,4.914738266820513
NL31,5.274607952258847
NL32,3.915535667800366
ITG2,17.65483436605987
ITH1,1.94022291442698
ITH2,2.3966337913915696
FRI3,8.613635034795184
FRJ1,12.501798782989276
FRJ2,7.0549861165587755
FRK1,5.788819362540061
FRK2,6.338517456352158
FRL0,12.931816322423701
FRM0,11.285263508891976
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,23.806537524932615
