nuts,August Fire Weather Index (-) (1981 - 2010)
DE50,8.032574513252651
DE60,8.922356446589543
DE71,12.023739332935394
DE72,9.165711230900282
DE73,8.742137600304325
DE80,9.836584997350222
DE91,9.917760453675319
BG41,14.346232578688559
BG42,21.765944426029794
CH01,3.492211706201407
AT32,2.4210363115326605
AT33,2.2771534501060158
AT34,2.7376243334503236
BE10,9.218044331699577
BE23,9.294158369605649
BE24,9.171085241999323
BE25,9.308095747558735
BE31,8.91400665035793
BE32,9.056530446041917
BE33,7.768883197543541
BE34,8.228441983685036
BE35,7.961388502635451
BG31,18.96244237898193
BG32,18.864760100291097
BG33,19.511316724413156
BG34,21.11387019116678
DE92,9.890903102306147
DE93,9.75888359433562
DE94,8.276336343400175
CZ07,9.734836853141992
CZ08,8.414531123042881
AL01,16.31333869979581
AL02,22.745977752194886
AL03,24.008920974033735
AT11,13.434725380973582
AT12,10.895027937832337
AT13,15.263530395355177
AT21,3.459741302134288
AT22,4.724427941419922
AT31,5.078126770393437
DK05,8.00065399738067
BE21,9.505642439681727
BE22,9.210997723010731
ES43,42.38699162550711
ES51,20.385546172550995
ES52,31.16203299646662
ES53,24.32459480433307
ES61,40.80855217894071
ES62,38.738336466972676
ES63,27.25918418412673
ES64,35.01887404190981
CH02,4.669932950175154
CH03,6.464798194664421
CH04,5.957906528437133
CH05,3.6918866388226785
CH06,3.326006001193214
CH07,5.13316262513617
CY00,32.4163564544073
CZ01,11.105329499585864
CZ02,10.689045941679483
CZ03,7.820203729916668
CZ04,9.448674045785792
CZ05,9.34795350383138
CZ06,11.70041459611377
DE40,11.992598043849524
EL53,24.53816448328238
EL54,24.272740154761184
EL61,25.13215656112923
EL62,19.30155738702368
EL63,29.551342932426547
ES70,28.957546589804128
ITC1,10.87908546880258
ITC2,6.338205098680622
DE11,9.598794205779118
DE12,10.478617719247788
DE13,7.733483040607821
DE14,5.631183505741243
DE21,5.555747304327241
DE22,7.106993136965486
DE23,8.149649633402218
DE24,8.719153468445342
DE25,9.646020115803083
DE26,10.529946087436958
DE27,5.7803655425696014
DE30,12.763858795486431
EL42,33.788889016491794
LV00,8.150222153085602
ME00,13.336143589684472
MK00,22.154907642591443
MT00,21.952404128039504
NL11,6.7068598760568054
NL12,5.774168679245287
EL64,32.823405363661294
EL65,34.03149244632294
ES11,15.992339847947878
ES12,6.352580846197281
ES13,8.938227189349707
ES21,10.416902442222362
ES22,21.090116681290205
ES23,23.21356193654459
ES24,29.710012957345654
ES30,41.77561051585281
IE05,4.519430258987161
IE06,4.561289680810915
IS00,2.292620979939427
ITC3,10.48710402157769
FI19,6.342788170469134
FI1B,7.971747750601738
FI1C,7.192923658198827
DEA1,9.31531632405637
DEA2,8.636275942559715
DEA3,9.999627412800246
DEA4,9.504832850773127
DEA5,8.23952235409589
DEB1,10.27954715831843
DEB2,9.943892896348213
DEB3,12.852545310601506
DEC0,11.050867048013195
DED2,9.52196016153291
DED4,7.967537267359347
DED5,11.367048941751063
DEE0,11.453674790147858
DEF0,8.415599644729873
DEG0,9.326349113653395
DK01,8.406937175844572
DK02,8.776358943938526
DK03,8.200351694485981
DK04,8.10255401786558
ES41,31.130589438094166
ES42,43.37702287977109
HU23,16.03621727079346
HU31,15.76296894431564
HU32,17.252550875902898
HU33,18.120526272749206
IE04,3.171846248804859
EE00,7.246247953749493
EL30,38.720536036376224
EL41,37.03762316763584
EL43,37.8279778692644
EL51,28.71332285017034
EL52,23.8135440443345
FI20,5.286483186719634
FR10,13.635267430101011
FRB0,14.519284559065593
FRC1,11.820172441802034
FRC2,9.593529533871783
FRD1,9.584956101550603
FRD2,10.46213740005429
FRE1,9.527692746128281
FRE2,10.868497249873489
FRF1,10.707864796168792
NL13,8.025296796442738
NL21,9.19171979052091
NL22,9.313867534047532
NL23,8.49126816915952
NL31,9.16387361927182
NL32,6.628829318654152
ITG2,32.91306520901665
ITH1,3.604029469352862
ITH2,4.460105583377346
FRI3,15.421939132953494
FRJ1,21.761294163514837
FRJ2,12.091079973769148
FRK1,10.746020361760609
FRK2,11.936902824267731
FRL0,23.67803167994623
FRM0,21.71588913245661
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,43.57881353071616
TR32,40.89039858281612
TR33,39.39171717926949
HR03,17.09338380749141
HR02,15.207961499500577
HU11,17.22793089236788
HU12,16.959638493830376
HU21,16.56909990258537
HU22,15.571568250552508
PT16,32.365663769385016
PT17,29.063469181891392
FRF2,11.32981444494294
FRF3,11.019127386868295
FRG0,14.369135773134307
FRH0,9.731354954702413
FRI1,12.64663401335614
FRI2,10.432307097540393
ITC4,11.802971519175854
ITF1,18.857835411782276
ITF2,23.224248022032462
ITF3,23.542504087080058
ITF4,30.03818435808243
ITF5,30.628660422017482
ITF6,23.34598009602754
ITG1,29.553810021641123
LT01,8.525474261810707
LT02,8.694920231347073
LU00,9.429335303039444
PL22,9.15171311778827
PL41,12.257698965882382
PL42,9.62221705902839
PT18,39.78395524851807
PT20,0.0
PT30,21.19725796091742
RO11,9.360254567294856
RO12,6.249608032248197
RO21,11.07656414485743
RO22,19.87931440262495
RO31,16.705286846402203
RO32,17.21362875141656
ITH3,10.877231228264963
ITH4,8.86028791722899
ITH5,17.020296680031535
ITI1,20.13410259677558
ITI2,25.429772234509016
ITI3,20.284971870069988
ITI4,23.536799852232264
LI00,2.374871483930923
FI1D,4.927817654045619
TR82,25.62743997613677
TR83,27.59984079461447
TR90,10.13385197540505
TRA1,24.678460745722873
TRA2,21.32243411141709
PL43,12.976243656714463
PL51,10.709993842359115
PL52,10.97417662642782
PL61,10.704730723068957
PL62,8.636085571835437
PL63,8.439838407816282
PL71,11.820648165437587
PL72,10.1283718328693
PL81,9.874813772828718
PL82,7.300903933373489
PL84,9.899432521613145
PL91,10.132260725656657
PL92,10.24737225912264
PT11,26.193140420035935
PT15,34.12100279861068
TRB1,47.29698583683955
TRB2,39.423145492137245
TRC1,54.01663535733555
RS12,19.01079331911382
RS21,15.030419580871573
RS22,17.682514324960962
SE11,6.564274326985714
SE12,7.628609522504924
NL33,7.876058305058126
NL34,8.50370674283246
NL41,9.272105168045215
NL42,9.302769597604573
PL21,6.613055514438373
UKM6,2.20320940127264
TR22,37.10968889834934
TRC2,59.81865208721094
TRC3,55.423648172978695
UKC1,6.897577093028606
UKC2,5.543883701834696
UKD1,3.6086806073012117
UKD3,5.264030240475914
UKD4,4.1575602197768555
UKD6,6.208585797119264
UKD7,4.8460206448047405
UKE1,9.001855280227428
UKE2,7.2629297060435505
UKE3,9.568342478188303
RO41,16.783859067155607
RO42,12.948399076078633
RS11,18.761202556210634
TR41,33.68707546675198
TR42,21.86850679929792
TR51,40.68822007657252
TR52,44.35873259801601
TR61,36.09175967606454
TR62,34.23507625764421
TR63,43.92871664766207
TR71,45.733826731919486
TR72,41.13168504137506
TR81,16.92065018405481
UKK1,9.982114817289634
UKK2,8.311687555920528
UKK3,6.258209086981455
UKK4,6.509551057974219
UKL1,4.762579992209992
