nuts,Spring Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,5.370491717731985
DE60,5.64753932253813
DE71,5.160345329024174
DE72,4.413877826052893
DE73,4.096848755207675
DE80,5.676198237453701
DE91,5.01197843599551
BG41,5.262702505591849
BG42,7.3626455158200805
CH01,1.6841988932714846
AT32,1.8683702525844357
AT33,1.443417503452426
AT34,1.7296913899395805
BE10,5.27601364160439
BE23,5.342980427562697
BE24,5.2239987418849365
BE25,5.2688771053202474
BE31,4.988091919049111
BE32,4.894039272289252
BE33,3.948223048679859
BE34,3.8325509018077697
BE35,4.259951907006852
BG31,9.027125348775204
BG32,8.64063762828988
BG33,8.257063011595482
BG34,7.476167922074302
DE92,5.265473153663453
DE93,6.024208059866215
DE94,5.576042471665167
CZ07,5.39994397415403
CZ08,4.667753674981179
AL01,4.606652325632687
AL02,6.884551183975019
AL03,7.107506255217128
AT11,7.475737341400398
AT12,6.607254401587292
AT13,8.90413340797224
AT21,2.4391168213558356
AT22,3.4308846868799807
AT31,3.7832865227317956
DK05,4.654968215433733
BE21,5.566511591282214
BE22,5.048105840097237
ES43,16.72906993733008
ES51,13.452986561957088
ES52,20.924457221698802
ES53,14.874154285915118
ES61,18.645833074791167
ES62,25.01330791574398
ES63,0.0
ES64,0.0
CH02,2.4103672050367533
CH03,3.2337218076792995
CH04,3.178671323996538
CH05,1.811680919212374
CH06,1.8627469944623167
CH07,2.3861581996496337
CY00,22.579652578341232
CZ01,6.1564333772198365
CZ02,5.828111017878982
CZ03,4.616401056609824
CZ04,5.348216690151928
CZ05,4.861272898946081
CZ06,7.059232891699252
DE40,6.775516201187791
EL53,8.68834126395749
EL54,7.007800531703933
EL61,10.621677503614603
EL62,0.0
EL63,10.490296318255137
ES70,0.0
ITC1,5.038680796317426
ITC2,1.5701808657526193
DE11,4.640665150022652
DE12,4.85358053178
DE13,3.901746085148635
DE14,3.401759873155607
DE21,3.646883234370178
DE22,4.603542910056869
DE23,4.634874603834958
