nuts,May Fire Weather Index (-) ensemble median - RCP4.5 - (2011 - 2040)
DE50,7.348326333040119
DE60,8.303062052381454
DE71,7.4380330368281875
DE72,6.593075495811545
DE73,5.805439571970682
DE80,8.206410718466765
DE91,7.328739672324842
BG41,7.073638230026024
BG42,9.706808440511818
CH01,1.9073732907980128
AT32,2.1732010867977496
AT33,1.6524633934866995
AT34,1.9490932187021597
BE10,6.779162865362278
BE23,6.949330766667547
BE24,6.855202722288072
BE25,7.108993654268721
BE31,6.4151126691167315
BE32,6.377433205871227
BE33,5.227481179039647
BE34,5.339770172353287
BE35,5.501847786456936
BG31,11.296016585828907
BG32,11.761554647569477
BG33,11.40430823320299
BG34,10.20106619405081
DE92,7.556061241738703
DE93,8.683330575295997
DE94,8.065963366675604
CZ07,6.7325897894586335
CZ08,5.6102618798190145
AL01,6.712735850023317
AL02,10.493712982520055
AL03,10.807270938913147
AT11,8.625164276949526
AT12,7.225707547934935
AT13,9.925391214474956
AT21,2.8388207952887305
AT22,3.8895632516091494
AT31,4.371702207570535
DK05,6.897705103797329
BE21,7.4125197060025645
BE22,6.892097272646512
ES43,20.80710387270264
ES51,15.814570474366286
ES52,22.698003302123713
ES53,17.50020387566768
ES61,23.847614062423382
ES62,28.013045175419155
ES63,0.0
ES64,0.0
CH02,2.9246066734726512
CH03,4.155162681371481
CH04,4.054257126425359
CH05,2.1624389451664663
CH06,2.2415988751702125
CH07,2.592879142956627
CY00,30.92796218499589
CZ01,8.052148166355478
CZ02,7.664787829721307
CZ03,5.744970671137551
CZ04,7.309252645206852
CZ05,6.725204884072288
CZ06,7.894392048562171
DE40,9.680859958416654
EL53,12.168561874850116
EL54,10.492709582557588
EL61,14.862592665799163
EL62,0.0
EL63,15.570928795330685
ES70,0.0
ITC1,5.552124421958449
ITC2,1.7600170241767379
DE11,6.197826761227299
DE12,6.489275484243584
DE13,4.867698022411903
DE14,4.265305351925838
DE21,4.249288122321839
DE22,5.633526969635339
DE23,6.14118761296113
DE24,6.425733907518288
DE25,6.337916996604604
DE26,6.933706578503849
DE27,4.125487635550669
DE30,10.66859084325996
EL42,21.537524158760696
LV00,8.43043559425888
ME00,5.5030297863402415
MK00,10.916234692341154
MT00,0.0
NL11,7.480728680982176
NL12,7.129386024044687
EL64,19.18317383002238
EL65,20.85611090936876
ES11,5.443718343523783
ES12,3.2676592359581984
ES13,3.8253193302906277
ES21,5.32825800550686
ES22,12.657442839725379
ES23,11.182562451014885
ES24,20.665781883152047
ES30,18.536160957113847
IE05,4.510505336741706
IE06,4.762118891336467
IS00,1.7608207947440582
ITC3,5.305732124588448
FI19,7.790258453500652
FI1B,8.960285909465346
FI1C,8.235162686541129
DEA1,7.428580304745889
DEA2,6.1403806506282415
DEA3,8.209387732343234
DEA4,6.816997959055037
DEA5,6.0962490404902265
DEB1,6.211274071254242
DEB2,5.425773865405604
DEB3,7.688646528460398
DEC0,6.890225999037282
DED2,7.030517098124686
DED4,5.9230219288705905
DED5,8.092334124395517
DEE0,8.498889736399468
DEF0,7.71692441460996
DEG0,6.264072505690706
DK01,8.448447280891019
DK02,7.38213934236626
DK03,7.556868569605626
DK04,7.24751560028561
ES41,13.731861179582
ES42,24.143392389833025
HU23,10.034814598660493
HU31,12.182210604160641
HU32,12.172279889588049
HU33,12.114198498649612
IE04,4.21117720358549
EE00,8.235473409272444
EL30,30.995915665285384
EL41,19.04426854903131
EL43,30.77616526831525
EL51,11.85813855482008
EL52,11.937256400640925
FI20,5.963675065705243
FR10,7.277280794826371
FRB0,7.680491258313265
FRC1,6.138283428419064
FRC2,5.770425835631024
FRD1,6.218593616077913
FRD2,6.407348445441868
FRE1,6.584694661712492
FRE2,6.624791283576236
FRF1,6.369739746435125
NL13,8.175894702821955
NL21,8.624455415409692
NL22,8.341520281859514
NL23,8.374557653499002
NL31,8.245819211916952
NL32,7.518823024758815
ITG2,18.736476378640514
ITH1,1.7677680583302415
ITH2,2.650149997297814
FRI3,8.093221766043687
FRJ1,12.257467377421596
FRJ2,6.75262640061028
FRK1,5.494254443636138
FRK2,5.988623397023936
FRL0,12.877294038725594
FRM0,9.869676820367598
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,23.45485848664393
TR32,25.5575540429312
TR33,23.16844447440298
HR03,6.892098757981745
HR02,9.114589041669653
HU11,11.324202059461964
HU12,11.655718419625222
HU21,10.27467604750408
HU22,9.845664218434798
PT16,14.484979593272888
PT17,16.94349337619098
FRF2,5.993589224298256
FRF3,6.416763526833922
FRG0,7.670522982579953
FRH0,6.588152868108128
FRI1,7.04681767603815
FRI2,5.376752359239529
ITC4,7.0742703321152085
ITF1,9.11620299418841
ITF2,12.486688864572779
ITF3,11.985331378863425
ITF4,21.132542254297753
ITF5,17.4494668044652
ITF6,12.563078865282579
ITG1,24.090968969645004
LT01,8.032342816854438
LT02,8.254190564967478
LU00,5.635930859618492
PL22,6.922827594127365
PL41,10.295764945822574
PL42,8.964585617495993
PT18,20.261755568742206
PT20,0.0
PT30,0.0
RO11,6.680078947095059
RO12,5.472477203078245
RO21,9.68519739678
RO22,14.475218190287562
RO31,13.09368585456965
RO32,13.862616016891552
ITH3,6.441060747599215
ITH4,4.076470518375171
ITH5,10.173252975035814
ITI1,9.545731616872901
ITI2,11.67599549697135
ITI3,10.339933514090548
ITI4,10.419469263530333
LI00,2.1005025474506382
FI1D,5.121942311743931
TR82,11.320341662824399
TR83,10.36744504840609
TR90,3.914232456416863
TRA1,7.382083457629217
TRA2,2.9932359551786347
PL43,10.78179619317774
PL51,7.981412203935877
PL52,7.864506023807651
PL61,8.96263038561768
PL62,8.010041585353763
PL63,7.510655243511018
PL71,9.080136919055477
PL72,7.628464825513563
PL81,8.026868538313
PL82,6.354642626591615
PL84,8.290430786749221
PL91,8.85621216856696
PL92,8.688584311442812
PT11,10.211487629047756
PT15,22.646282545202048
TRB1,15.207139093798249
TRB2,8.246827855193358
TRC1,26.511034819602298
RS12,14.071600818082288
RS21,9.16496365340106
RS22,10.449993773221573
SE11,8.850629944074877
SE12,8.894850436262912
NL33,7.550944284011278
NL34,7.385790881600242
NL41,7.669933732599002
NL42,7.331218775149964
PL21,5.4668929857901825
UKM6,3.2446378607456965
TR22,19.403871644809062
TRC2,31.55034447693395
TRC3,32.44342300447665
UKC1,4.3791819080995635
UKC2,4.445883124398363
UKD1,3.9351751378559974
UKD3,5.379461040290294
UKD4,4.645669802660834
UKD6,5.698398108505538
