nuts,January Fire Weather Index (-) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.2753524723313122
DE60,0.24799167927227161
DE71,0.2219285674262144
DE72,0.1629310341121877
DE73,0.21256222885955922
DE80,0.35479148190105886
DE91,0.29837823061409935
BG41,1.2536567913644996
BG42,1.848635459060338
CH01,0.310023704590481
AT32,0.17300027992452024
AT33,0.2148725176554455
AT34,0.31949304062151623
BE10,0.3960954041437768
BE23,0.4857387437649616
BE24,0.4357415225976309
BE25,0.5528559220386109
BE31,0.4271331683461943
BE32,0.3777226057126998
BE33,0.3535815241917397
BE34,0.17799814303745767
BE35,0.29664168900866267
BG31,2.215518161183293
BG32,1.9929779895074884
BG33,2.1379012386400684
BG34,1.9228143485376987
DE92,0.31873726215997217
DE93,0.30251793492593576
DE94,0.29971476402049
CZ07,0.34866567114348385
CZ08,0.46231092658292355
AL01,1.0442627071384305
AL02,1.4544810093847949
AL03,1.2959771159475437
AT11,1.3011099607883216
AT12,1.099378146967772
AT13,1.6002195118091822
AT21,0.3732666014172316
AT22,0.5823466411865835
AT31,0.34639110588904104
DK05,0.45123807747835737
BE21,0.4309698675038727
BE22,0.4666098085610966
ES43,4.411852341060338
ES51,5.020645023252703
ES52,10.003266375717544
ES53,6.27837034411199
ES61,6.795542937936685
ES62,11.544723993435698
ES63,0.0
ES64,0.0
CH02,0.2959685085575242
CH03,0.2419168411208726
CH04,0.2926585102572044
CH05,0.3148505097051669
CH06,0.23137912217217835
CH07,0.8975308595002333
CY00,6.700418347734255
CZ01,0.8367365761601141
CZ02,0.6692566134393996
CZ03,0.5323198305041348
CZ04,0.39127308122169313
CZ05,0.31702633044929224
CZ06,0.7642485586397255
DE40,0.3287395581009339
EL53,1.0902988984620168
EL54,1.1269403826531976
EL61,1.51799256568812
EL62,0.0
EL63,1.4533544222006554
ES70,0.0
ITC1,1.451595887800854
ITC2,0.6590907372390465
DE11,0.25695015928009135
DE12,0.28221851715987484
DE13,0.24404453881140395
DE14,0.33307334113880016
DE21,0.3776063579917793
DE22,0.3511668366866716
DE23,0.22417865466643702
DE24,0.18098367560323655
DE25,0.241455399502425
DE26,0.1974531671680508
DE27,0.4159125599235555
DE30,0.27999864408869984
EL42,4.508057229677145
LV00,0.1295131354304848
ME00,0.6220998893553716
MK00,1.2409110658880793
MT00,0.0
NL11,0.35005141188346073
NL12,0.4665376288729645
EL64,1.8829593765482011
EL65,2.3386129713229646
ES11,0.896806965591482
ES12,1.0562411196363664
ES13,1.2415579715569627
ES21,1.2784630935717083
ES22,2.3584486695967044
ES23,2.2526057717249386
ES24,5.7240724876100275
ES30,3.0702497721374753
IE05,0.4490801044710997
IE06,0.3771925778246211
IS00,0.23038979908760338
ITC3,1.7588283507950473
FI19,0.09610333064518958
FI1B,0.09284677849409251
FI1C,0.07704737891260979
DEA1,0.33176646660428416
DEA2,0.3208613322003283
DEA3,0.295404995645498
DEA4,0.2717215407249415
DEA5,0.25817509770307484
DEB1,0.2080356689137893
DEB2,0.1518673204874635
DEB3,0.265222976902348
DEC0,0.21122176580946841
DED2,0.41700208923742754
DED4,0.4035094121062565
DED5,0.4929679330303686
DEE0,0.40474990384977555
DEF0,0.28911136686709404
DEG0,0.3319936476705826
DK01,0.43250831384340876
DK02,0.6026599752585081
DK03,0.3726276051881668
DK04,0.327132748270395
ES41,2.1806759398611466
ES42,5.297072755859095
HU23,0.9846935812113221
HU31,0.8291355903048113
HU32,0.7709719163067587
HU33,0.8858451414604906
IE04,0.3342976847912646
EE00,0.12495457508680934
EL30,3.660159132151584
EL41,3.059816522113002
EL43,5.70726241601897
EL51,1.9705879135513145
EL52,1.679041709272704
FI20,0.7137971381901868
FR10,0.43360548991287046
FRB0,0.504272175968216
FRC1,0.3669710224162417
FRC2,0.3781344842424461
FRD1,0.548660143955588
FRD2,0.5485478689054467
FRE1,0.4756032229231732
FRE2,0.4176817578806295
FRF1,0.24152432102676574
NL13,0.3199170767233377
NL21,0.29256046086900755
NL22,0.3125196645592073
NL23,0.3709376634823068
NL31,0.34702596728634777
NL32,0.4651876851653564
ITG2,3.7363512038724283
ITH1,0.5069918107504402
ITH2,1.0952655870050148
FRI3,0.7524768427682539
FRJ1,2.6612647473099766
FRJ2,1.1050505528731633
FRK1,0.6456576541752215
FRK2,0.8271521029392441
FRL0,2.9387338604179263
FRM0,2.6037674058946445
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.1185445490846475
TR32,2.6691156217544183
TR33,2.4717194044833612
HR03,0.957868045060214
HR02,0.8246867607828616
HU11,0.917025440355309
HU12,0.9338438914299741
HU21,1.0142698555261302
HU22,1.1679669246873998
PT16,3.0676887313878085
PT17,4.6428710712924275
FRF2,0.3158626150722324
FRF3,0.2727978971837715
FRG0,0.7502928488767562
FRH0,0.9707180662049693
FRI1,0.9703530400479886
FRI2,0.7241076471531341
ITC4,1.5463614532898935
ITF1,1.3911816780595518
ITF2,1.686377899203192
ITF3,1.1051852594200042
ITF4,3.413417511332838
ITF5,2.519696340232406
ITF6,1.765970388357222
ITG1,3.9054050244801015
LT01,0.12129870485354559
LT02,0.1449395849295241
LU00,0.14936918382037148
PL22,0.5435542588578332
PL41,0.3495376070988482
PL42,0.2372186766885542
PT18,5.206586114155211
PT20,0.0
PT30,0.0
RO11,0.312245181635632
RO12,0.5161131835042662
RO21,1.714991129944513
RO22,2.244924981595786
RO31,1.87329218377895
RO32,1.8082034608241548
ITH3,1.5036010573221823
ITH4,1.0444766336675952
