nuts,Spring Fire Weather Index (-) (1981 - 2010)
DE50,4.649431424633767
DE60,4.637414014898637
DE71,4.809802131275232
DE72,4.182869716125509
DE73,4.058061224763157
DE80,5.059624001097314
DE91,4.764737478331651
BG41,4.423401532182819
BG42,6.231178839966024
CH01,1.3889240432562022
AT32,1.4684974633989394
AT33,1.155694762424813
AT34,1.3390463021679089
BE10,4.916881592965055
BE23,4.924539925855622
BE24,4.87166118991414
BE25,4.6846492297959195
BE31,4.575767841755253
BE32,4.508633035176104
BE33,3.811866596133597
BE34,3.637595483973718
BE35,3.862096446770382
BG31,7.63365190729691
BG32,7.955893852220487
BG33,7.316800019938764
BG34,6.5243325551699005
DE92,4.9177477811538095
DE93,5.302481339519169
DE94,4.80088723034665
CZ07,4.8677408852777475
CZ08,4.323580350891818
AL01,3.5367050178176815
AL02,5.7076565387284255
AL03,5.774771300395811
AT11,7.076962343100422
AT12,5.944290141063706
AT13,7.729513561098284
AT21,1.8033309042915622
AT22,2.8638203890924427
AT31,3.305222413689649
DK05,4.067275056368167
BE21,5.3644644426388215
BE22,4.890415653250353
ES43,15.163383605248127
ES51,11.56009766958988
ES52,17.616413689991784
ES53,11.047056527037975
ES61,16.371735922467916
ES62,22.413158075405313
ES63,10.55120352961343
ES64,18.995207712533293
CH02,1.9922010925204807
CH03,2.725389670073697
CH04,2.697872053908838
CH05,1.4860664699919661
CH06,1.6196719424422827
CH07,2.4523397391691577
CY00,15.84895512973389
CZ01,6.259137216908949
CZ02,5.899768616493553
CZ03,4.507658946111367
CZ04,5.1792296298170415
CZ05,4.955158042103448
CZ06,6.38988078114334
DE40,6.470007211031167
EL53,6.487501074062075
EL54,5.251309019437243
EL61,7.533261365175457
EL62,5.365893112391396
EL63,7.525303064737555
ES70,20.529775594486093
ITC1,4.045363069124692
ITC2,1.6478830277927043
DE11,4.117962904704374
DE12,4.1804825215148815
DE13,3.111411533529915
DE14,2.8700675460571627
DE21,3.371435871351404
DE22,4.315129055769813
DE23,4.455627051376224
DE24,4.5725746046575315
DE25,4.7192132162853255
DE26,4.665476697176757
DE27,3.090452787025619
DE30,6.808099537303065
