nuts,February Fire Weather Index (-) (1981 - 2010)
DE50,0.628590079603542
DE60,0.5730105710896726
DE71,0.6197245871744186
DE72,0.4810005539109154
DE73,0.5126882962046545
DE80,0.6566552559095173
DE91,0.6204517114601542
BG41,1.4751122406375579
BG42,2.028559840690406
CH01,0.4311537225795228
AT32,0.28622094291549316
AT33,0.31749919560613116
AT34,0.4444663170290897
BE10,1.0834920033537234
BE23,1.0395893382457144
BE24,1.0382579805291519
BE25,1.1339304144027804
BE31,1.057051817618349
BE32,1.0161695854953892
BE33,0.7419121772613541
BE34,0.5616070467060014
BE35,0.7761115449945144
BG31,2.5282863856770246
BG32,2.042546969592667
BG33,2.1929711192123955
BG34,2.246078892726746
DE92,0.6582651984098536
DE93,0.6239871516344057
DE94,0.730554082241058
CZ07,0.6827758501960256
CZ08,0.727930627955586
AL01,1.3428723305656294
AL02,1.938049068878546
AL03,1.8859651268122335
AT11,1.9088040982352827
AT12,1.352766709576661
AT13,2.004703205841201
AT21,0.6394020608992202
AT22,0.8931665624045589
AT31,0.5330022800884882
DK05,0.8531851419028581
BE21,0.9696137973001364
BE22,0.9228305170719358
ES43,5.744851454869286
ES51,6.192854280169414
ES52,10.443102043186993
ES53,6.888744452207488
ES61,7.501822103811349
ES62,12.373923377760853
ES63,4.903836432350641
ES64,9.058017756272795
CH02,0.50633469329059
CH03,0.5654433354767194
CH04,0.5941270805446545
CH05,0.42186755107057883
CH06,0.41763091224709015
CH07,1.1419757749414905
CY00,5.632597504067432
CZ01,1.256462392552139
CZ02,1.07031307809368
CZ03,0.8449931684846563
CZ04,0.8127490831778161
CZ05,0.6821292394213384
CZ06,1.1034938472383975
DE40,0.733600658256368
EL53,1.452548051653727
EL54,1.5642874114860148
EL61,1.9498878152251709
EL62,2.7886498318606767
EL63,1.9876081739242077
ES70,17.570736265568314
ITC1,1.9275402900124334
ITC2,0.6819834301053377
DE11,0.7292529916226621
DE12,0.7149175412056652
DE13,0.623217701358625
DE14,0.7237141486794065
DE21,0.7304540023883782
DE22,0.69075063507894
DE23,0.6192711159954268
DE24,0.5272793663195641
DE25,0.723361859303098
DE26,0.6137820554311685
DE27,0.8223769381230057
DE30,0.7395618278931708
EL42,5.8738988379867
LV00,0.27036997177213573
ME00,1.021903900146709
MK00,1.6403196359003165
MT00,5.868898678389709
NL11,0.8816408646166927
NL12,0.9919007472267387
EL64,2.5916488479622837
EL65,3.4523592187136924
ES11,2.1908000438692192
ES12,1.6928612824592424
ES13,1.9521902035239538
ES21,2.1586589148084756
ES22,3.6488280960153867
ES23,3.4956644603907785
ES24,7.673363168550542
ES30,4.489091356868214
IE05,1.0552353362284765
IE06,0.9823710611779313
IS00,0.3099433298804763
ITC3,3.2868960817949158
FI19,0.23239068262278953
FI1B,0.24745877116355336
FI1C,0.25962529295832754
DEA1,0.7550983647543066
DEA2,0.6674327358883262
DEA3,0.6627487745864389
DEA4,0.5764049161037916
DEA5,0.5154453151315477
DEB1,0.5685028224329367
DEB2,0.5282545580957809
DEB3,0.7318223919044403
DEC0,0.6191321301548781
DED2,0.7865953544841219
DED4,0.7704853633602051
DED5,1.0426610819817508
DEE0,0.8613798211775752
DEF0,0.6344785635945993
DEG0,0.721043141773693
DK01,0.8147610475347755
DK02,0.8212052135271093
DK03,0.7047055218771968
DK04,0.7719136467174474
ES41,3.384045018459042
ES42,6.569320467632372
HU23,1.8190931773506351
HU31,1.25567086158065
HU32,1.287569617722626
HU33,1.6874264856507717
IE04,1.0060593993684253
EE00,0.2979340157929913
EL30,4.779015429522118
EL41,4.984990473549541
EL43,4.775867339236363
EL51,2.552084631533862
EL52,2.443801266400764
FI20,0.8535905968512555
FR10,1.1569562447853354
FRB0,1.2712668429110356
FRC1,0.9235613182859357
FRC2,0.8754289227781278
FRD1,1.1903553421366802
FRD2,1.1938606719896754
FRE1,1.1681610173768213
FRE2,1.0997343620504232
FRF1,0.7005660121850059
NL13,0.8615171490733903
NL21,0.7877866683942999
NL22,0.8237856425958553
NL23,0.8824282200509562
NL31,0.9219798743495656
NL32,1.0451029114795165
ITG2,5.2238529792399975
ITH1,0.5220231596004281
ITH2,1.1549875889003725
FRI3,1.789918088628981
FRJ1,3.9825677845528498
FRJ2,2.0563547989040782
FRK1,1.485684668541186
FRK2,1.3947222802682868
FRL0,4.541396824057501
FRM0,4.2257058420303215
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,3.0019692780777536
TR32,2.815755615499651
TR33,2.3162176567509998
HR03,2.1385776138765196
HR02,1.4876984929110604
HU11,1.6831918233843857
HU12,1.6548211524585874
HU21,1.7725560729748242
HU22,2.0281780893228483
PT16,4.425595171678073
PT17,5.798861877118826
FRF2,0.8289452933352454
FRF3,0.7214209712730515
FRG0,1.4719674196371122
FRH0,1.544719103914751
FRI1,2.0315329775283555
FRI2,1.7595736016836545
ITC4,2.127670914345955
ITF1,1.8001950372161784
ITF2,2.215363962854763
ITF3,1.944671670164622
ITF4,4.1611574074680995
ITF5,3.239448427675819
ITF6,2.738455155765806
ITG1,4.315907876307308
LT01,0.21246497483220517
LT02,0.2777552902027464
LU00,0.5305524704102696
PL22,0.9089208505437296
PL41,0.7881387209849919
PL42,0.5768097492825519
PT18,7.017637002444078
PT20,0.0
PT30,6.222799737893927
RO11,0.6185221117974836
RO12,0.6402629594676412
RO21,1.4849460200677476
RO22,2.54266922635057
RO31,2.1410181683008824
RO32,1.9961234491895048
ITH3,1.9749129401208672
ITH4,1.5495180043209744
ITH5,2.548959016479176
