nuts,Spring Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
DE50,4.785546081440051
DE60,5.269732879224657
DE71,5.861439150611431
DE72,4.8209212942582305
DE73,4.396264890655687
DE80,5.2623145386597034
DE91,4.9394310159348125
BG41,5.916058760322893
BG42,8.621117889071744
CH01,2.2848341390255187
AT32,2.9343179228709846
AT33,2.5908701763321145
AT34,2.5755360252386983
BE10,5.325615758995975
BE23,5.206339154952283
BE24,5.1275791018367505
BE25,5.111375102069592
BE31,4.830887528148486
BE32,4.749638910306157
BE33,4.241753887377382
BE34,4.1747758212969845
BE35,4.33352647495675
BG31,10.00807567918629
BG32,9.657124776631552
BG33,10.03807216510237
BG34,8.955661453685883
DE92,4.847021175212977
DE93,5.50270138599825
DE94,5.338354946136522
CZ07,5.717448315118414
CZ08,5.020889160045243
AL01,5.482556267514165
AL02,7.899312770017829
AL03,8.28372378889987
AT11,7.916802198963407
AT12,6.45101083617509
AT13,8.402138814212742
AT21,2.634524057327159
AT22,4.02990325958261
AT31,3.8795617478121303
DK05,4.6946521707900635
BE21,5.582877055726536
BE22,5.207437501385414
ES43,20.963008539088204
ES51,14.73346899613688
ES52,23.258614627596547
ES53,16.273153813805653
ES61,23.318666605847387
ES62,26.63691222356201
ES63,0.0
ES64,0.0
CH02,2.8870895067260967
CH03,3.556866788477175
CH04,3.6095163855265064
CH05,2.2962406788843217
CH06,2.3317993813526945
CH07,2.6134404781607
CY00,26.88663788291131
CZ01,6.892231874754651
CZ02,6.432761935029178
CZ03,4.799058314492152
CZ04,5.654847251659881
CZ05,5.266913479683428
CZ06,6.8621156881373295
DE40,6.392643721566444
EL53,10.534104912377135
EL54,8.46228188652892
EL61,12.406557118894082
EL62,0.0
EL63,12.578790769927297
ES70,0.0
ITC1,5.533636868035289
ITC2,2.075325665094184
DE11,5.341291879671808
DE12,5.308743742604576
DE13,4.122553196244663
DE14,4.166447895750344
DE21,4.17271536859146
DE22,4.767767832122592
DE23,4.9487779445180395
DE24,4.974005418275546
DE25,5.352579002266037
DE26,5.742940855246255
DE27,4.112252878143701
DE30,6.592747987023662
EL42,17.84833366728478
LV00,5.27463155280746
ME00,5.1358612175886815
MK00,9.437697453903786
MT00,0.0
NL11,5.158942362452705
NL12,4.960357300195941
EL64,15.225524269324382
EL65,16.892347487675472
ES11,6.495895225930646
ES12,4.169916340215276
ES13,4.582082615075183
ES21,5.579676887643115
ES22,11.930202201538565
ES23,11.14756761833006
ES24,20.610561081593367
ES30,19.10458752482769
IE05,3.146235925961192
IE06,3.3007844573009364
IS00,1.1978475554562666
ITC3,5.1112036552021785
FI19,4.771555527586581
FI1B,5.230326016114543
FI1C,5.067623775861151
DEA1,5.314976298943563
DEA2,4.739498606109814
DEA3,5.588387543795307
DEA4,4.738782829981927
DEA5,4.552995449311667
DEB1,4.99520205333347
DEB2,4.51640431280894
DEB3,5.848598485399855
DEC0,5.301771406658926
DED2,5.295969793067115
DED4,4.418673711320519
DED5,5.983292655347836
DEE0,6.094375139351684
DEF0,4.783493851581539
DEG0,4.741850656110198
DK01,5.369927832453422
DK02,4.649500519064543
DK03,4.629643724817354
DK04,4.6117170502409115
ES41,14.362588923498341
ES42,22.38578825163064
HU23,9.306226607248643
HU31,10.976284460737842
HU32,11.068649007380332
HU33,10.822572499420213
IE04,2.8495200214187366
EE00,5.107364811479536
EL30,26.063997910721643
EL41,16.74851692379834
EL43,24.592126052689544
EL51,10.490987660825104
EL52,11.138173513778051
FI20,4.109068656291787
FR10,6.204280079708299
FRB0,6.702359536587945
FRC1,5.579285879669933
FRC2,4.98308433386627
FRD1,5.043654696369536
FRD2,5.030197561276219
FRE1,4.975631239413268
FRE2,5.121424107213321
FRF1,5.071940524078308
NL13,5.581328830359587
NL21,5.9252561036920515
NL22,5.772216314916057
NL23,5.688187425307185
NL31,5.708221224384008
NL32,5.218161966799154
ITG2,15.992994484808005
ITH1,2.161582580957758
ITH2,2.96198507242064
FRI3,7.141713449544582
FRJ1,10.684449318365969
FRJ2,6.374987333667009
FRK1,5.191342310784786
FRK2,5.400631855919354
FRL0,10.487732232414562
FRM0,8.261263109609573
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.125962822203146
TR32,21.618100383099712
TR33,19.576692390623982
HR03,6.967549232967068
HR02,8.011919750870586
HU11,10.487291329849485
HU12,10.808574699536907
HU21,9.654146163408127
HU22,9.28895015479498
PT16,15.236602722471957
PT17,18.21853766720295
FRF2,5.144117990519903
FRF3,5.001164868100733
FRG0,6.64430505388982
FRH0,5.538623448428356
FRI1,6.862948028358906
FRI2,5.363748083483974
ITC4,6.737716665440206
ITF1,7.338863872852839
ITF2,9.833517099917701
ITF3,8.939686805798056
ITF4,15.527695720745598
ITF5,13.099579897923174
ITF6,9.991800384779912
ITG1,20.375226709787366
LT01,5.385147013390581
LT02,5.409332799593245
LU00,4.545101273132517
PL22,5.451368382086173
PL41,7.239630308398143
PL42,5.593255914185351
PT18,21.042577346164283
PT20,0.0
PT30,0.0
RO11,6.4676239530173465
RO12,5.124811694266363
RO21,8.052916340600756
RO22,12.761818227972022
RO31,10.986893218969836
RO32,12.661254729985478
ITH3,5.952271119433022
ITH4,4.063732154155082
ITH5,8.883329649900583
ITI1,8.671359696741451
ITI2,9.38751579704427
ITI3,8.151761602592579
ITI4,8.656961899555048
LI00,2.6166429503288064
FI1D,2.9780581722668544
TR82,9.953152282645595
TR83,9.934498336610508
TR90,4.441252584012266
TRA1,7.823377607663062
