nuts,October Fire Weather Index (-) ensemble median - RCP8.5 - (2041 - 2070)
DE50,3.4512352386633096
DE60,4.819076279557633
DE71,5.52510287844653
DE72,4.218398490961029
DE73,4.4167141807870545
DE80,5.163812706564873
DE91,4.63198482164746
BG41,10.076459810060982
BG42,13.559533501391604
CH01,3.524859470404172
AT32,2.496910587804851
AT33,2.4647254560709912
AT34,2.4225838983946795
BE10,6.21546979421526
BE23,6.120756620937354
BE24,5.987462800560049
BE25,6.118183875525495
BE31,5.898365339257948
BE32,6.476229243740554
BE33,4.849912046471736
BE34,5.871693861970977
BE35,5.520918282928258
BG31,11.007087294147988
BG32,10.195940460626638
BG33,10.926806422560528
BG34,12.410779204695901
DE92,4.437772682908444
DE93,4.28631076772596
DE94,4.111396126476329
CZ07,4.102947377590232
CZ08,4.038363270607532
AL01,7.531727129715146
AL02,10.33465854646225
AL03,11.412977741101919
AT11,5.78002386064013
AT12,5.407353432101471
AT13,7.0304678206982985
AT21,2.6892153248736386
AT22,2.824615288360973
AT31,3.4167544139250614
DK05,2.868367487641918
BE21,5.553487708682028
BE22,5.4310798641486535
ES43,24.239516476334963
ES51,11.537177932721987
ES52,18.125311780338553
ES53,13.9872137752018
ES61,24.53243527320707
ES62,21.10545892161753
ES63,0.0
ES64,0.0
CH02,3.1574215652404507
CH03,3.8032964738123582
CH04,3.1834534098757494
CH05,3.5189870290450913
CH06,2.3314685787374607
CH07,2.8533992770778998
CY00,32.849258907325954
CZ01,6.292821123054607
CZ02,5.946122959875148
CZ03,4.798602411002726
CZ04,4.749919576994696
CZ05,4.297176025529696
CZ06,5.673272513367964
DE40,5.726436158113471
EL53,14.932796505151428
EL54,12.972723158079098
EL61,14.942787737869564
EL62,0.0
EL63,17.158487324779202
ES70,0.0
ITC1,5.451156011016509
ITC2,4.642924119045721
DE11,4.40211727120694
DE12,5.105615986993133
DE13,4.576706186695177
DE14,3.2712189977108412
DE21,2.973814993538045
DE22,3.728236236248779
DE23,3.623797501940025
DE24,4.2087491255837
DE25,4.1672926463070326
DE26,4.6282681995072945
DE27,3.2041139011010547
DE30,5.9849278931736025
EL42,25.53755786850064
LV00,2.9979708592828542
ME00,6.578414631860436
MK00,13.147445815938813
MT00,0.0
NL11,4.169799432302971
NL12,4.005834266256215
EL64,18.921068331733633
EL65,22.140201520715443
ES11,12.360639877635771
ES12,6.661427943205995
ES13,7.248897263768514
ES21,8.909419185469504
ES22,14.25652759483613
ES23,14.224003274713708
ES24,18.112283769730187
ES30,21.444299599230163
IE05,2.495754707171236
IE06,2.120124564499003
IS00,0.5727421734975742
ITC3,5.654672154128985
FI19,1.4142725521901525
FI1B,2.7635571031320474
FI1C,2.3312199327748617
DEA1,4.404185100410851
DEA2,4.752132095080897
DEA3,4.1892495542078585
DEA4,4.440942075558678
DEA5,3.936822052338236
DEB1,5.2862692546513435
