nuts,April Fire Weather Index (-) (1981 - 2010)
DE50,4.5058506665472615
DE60,4.477417370573052
DE71,4.799383787700432
DE72,4.120821286887705
DE73,3.980142022143642
DE80,4.913138415081615
DE91,4.3757012009165885
BG41,4.082872576850871
BG42,5.572157101243234
CH01,1.5491920580021492
AT32,1.4631110722216145
AT33,1.2226931208413392
AT34,1.459300288460874
BE10,5.242060137102817
BE23,5.216779785441116
BE24,5.203513227174372
BE25,4.930692822013681
BE31,4.921574163695497
BE32,4.846526466786036
BE33,4.051606304562838
BE34,4.027256206182264
BE35,4.243504490150382
BG31,6.806737522118326
BG32,7.1016731517017035
BG33,6.65924544546522
BG34,5.941458347333011
DE92,4.689778044011945
DE93,5.0412978354026245
DE94,4.712955427789199
CZ07,4.907227661112765
CZ08,4.371874183959087
AL01,2.647504372570304
AL02,4.192782060809869
AL03,4.268856940646336
AT11,6.936381203471208
AT12,5.888667798528844
AT13,7.396047392049061
AT21,1.7251669472726459
AT22,2.8510039512360548
AT31,3.345711771626021
DK05,3.523307383154458
BE21,5.637182854261876
BE22,5.145079232984444
ES43,13.776176047808192
ES51,11.75738346631533
ES52,18.291079410747056
ES53,11.363171020174914
ES61,15.228672788589959
ES62,23.095107057114227
ES63,9.710184081606762
ES64,18.619276652322114
CH02,2.212984449066599
CH03,3.0602523465259583
CH04,2.9537431394597413
CH05,1.5871695955440845
CH06,1.742977537958866
CH07,2.560109566300026
CY00,14.770869924615335
CZ01,6.31629902030275
CZ02,5.828344290499215
CZ03,4.573680485965763
CZ04,4.955625527393899
CZ05,4.822592084103057
CZ06,6.359104080992063
DE40,6.0855390804653995
EL53,5.42531651732139
EL54,3.9803517506157413
EL61,6.107147824233685
EL62,4.693315184558448
EL63,5.792700319324978
ES70,20.502312123892995
ITC1,3.936746090995931
ITC2,1.72261425304033
DE11,4.3801236490954905
DE12,4.4217738735028185
DE13,3.4301932113442772
DE14,3.1421330194732433
DE21,3.51054870556946
DE22,4.416523816132781
DE23,4.494622588219252
DE24,4.4673265896526235
DE25,4.828080782437347
DE26,4.693139100095934
DE27,3.2937734849674323
DE30,6.329235282952472
EL42,10.3391035505994
LV00,4.1015929321600595
ME00,2.3458624542802915
MK00,5.44414574786304
MT00,10.001542153675134
NL11,4.420643023730818
NL12,3.610165053930574
EL64,9.467473529004245
EL65,9.501151546753777
ES11,4.69215684176687
ES12,3.0437282785337287
ES13,3.3689080268027527
ES21,3.6078138415121206
ES22,8.39291902982265
ES23,7.789039579658562
ES24,15.565722923816276
ES30,12.467344116082552
IE05,2.8696328347579536
IE06,2.8028450999514822
IS00,0.5641762389455203
ITC3,3.4290522628213065
FI19,2.6976834578282634
FI1B,2.8734459203650187
FI1C,2.57224416885227
DEA1,5.110375898401254
DEA2,4.234291170551821
DEA3,5.3183956656363796
DEA4,4.536318481499016
DEA5,4.211634600969853
DEB1,4.273114140026144
DEB2,4.1712436402427375
DEB3,4.9457237649386245
DEC0,4.560990560457562
DED2,4.943093628644479
DED4,3.9394767561175703
DED5,5.298314541336643
DEE0,5.354495742747747
DEF0,4.153987045389712
DEG0,4.149193000649951
DK01,3.7519974519060835
DK02,3.6565410372574894
DK03,3.9685831904127946
DK04,3.758789196678917
ES41,9.273368796930479
ES42,15.099626220445938
HU23,7.431728141558371
HU31,8.560237587827611
HU32,8.778348577511354
HU33,8.796249095249058
IE04,2.3899329794006814
EE00,3.220893649421168
EL30,13.07036733787923
EL41,8.953175282857302
EL43,14.18508885391767
EL51,6.069188910554592
EL52,6.412670856755935
FI20,1.7887087773200177
FR10,6.038934058719855
FRB0,6.374850656464808
FRC1,5.200473336547555
FRC2,4.298913948105751
FRD1,4.678775221525323
FRD2,5.0597104942452855
FRE1,4.854752640764045
FRE2,5.19410284618034
FRF1,4.201534156683692
NL13,5.2287456934988095
NL21,5.490645196128505
NL22,5.463941677088647
NL23,5.1540623363745475
NL31,5.341719702415091
NL32,3.92350332580027
ITG2,8.894325292483966
ITH1,1.0144299269143882
ITH2,1.5735853790778684
FRI3,6.830943251805422
FRJ1,8.868372240995466
FRJ2,5.092260983336098
FRK1,4.726033274966594
FRK2,4.589099655558998
FRL0,8.486387469447026
FRM0,5.537280116161207
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,8.930524115646666
TR32,10.309123284711223
TR33,10.360557671983345
HR03,3.8700803605067913
HR02,5.6950626164823515
HU11,9.121887107030647
HU12,9.12892696962093
HU21,8.043677663527857
HU22,7.741275537570407
PT16,9.518235981478451
PT17,10.408716911050805
FRF2,4.984484786093825
FRF3,4.570776218266627
FRG0,6.179827134828599
FRH0,4.835229917377642
FRI1,5.993695467563763
FRI2,5.546026315082821
ITC4,5.079243799988989
ITF1,3.6006370773919136
ITF2,5.284033575400148
ITF3,3.8053717193910703
ITF4,8.56004475013071
ITF5,7.4973520843851125
