nuts,February Fire Weather Index (-) ensemble median - RCP8.5 - (2011 - 2040)
DE50,0.5988193926996301
DE60,0.5617284004921468
DE71,0.8067331759052379
DE72,0.6712220068069199
DE73,0.6573911691747695
DE80,0.7326583606757888
DE91,0.7767293049537727
BG41,1.8446740110470934
BG42,2.4443868734622707
CH01,0.6318575279943001
AT32,0.32358984443315586
AT33,0.35043640466559595
AT34,0.5737778318132551
BE10,1.3016725576763999
BE23,1.128323016874547
BE24,1.2049864959487526
BE25,1.1715528911417543
BE31,1.2029748952919832
BE32,1.1275147244449404
BE33,0.952253933814201
BE34,0.6925988341189101
BE35,0.9014879639175414
BG31,2.9586123245842764
BG32,2.4883176598991765
BG33,2.569483459306928
BG34,2.613443455845074
DE92,0.7610351907911775
DE93,0.6468224918843205
DE94,0.6815734951488707
CZ07,0.8846224749601718
CZ08,0.9301253372623605
AL01,1.448251734993522
AL02,2.1943552512317224
AL03,2.004152939703641
AT11,2.514445190878545
AT12,1.771656990319091
AT13,2.6128287084368855
AT21,0.9236269642874705
AT22,1.3175851307680593
AT31,0.6679361115191703
DK05,0.6258756332520679
BE21,1.0224116382309019
BE22,1.032240517891327
ES43,6.5771587257288076
ES51,6.604738532204492
ES52,12.821885593768569
ES53,7.878935916939466
ES61,8.893918580507453
ES62,14.44320561624361
ES63,0.0
ES64,0.0
CH02,0.6646292031234942
CH03,0.6838747476439403
CH04,0.7028374002632743
CH05,0.5173691881043483
CH06,0.44089752028971335
CH07,1.120609109003435
CY00,6.495898970196758
CZ01,1.597068390767093
CZ02,1.416533416235394
CZ03,1.1775966769828246
CZ04,1.012006395251874
CZ05,0.8252100082083583
CZ06,1.4806959728590885
DE40,0.8502692794277417
EL53,1.949017124445337
EL54,1.7854821331590847
EL61,2.239241790273742
EL62,0.0
EL63,2.214329042734613
ES70,0.0
ITC1,2.662853137634345
ITC2,0.81908298254784
DE11,0.9628524242036043
DE12,0.9664621657407836
DE13,0.8236399501924965
DE14,0.9771776930006846
DE21,0.9135567061405397
DE22,0.8734697536527699
DE23,0.8318941594558931
DE24,0.6480638229050857
DE25,0.9387109171423881
DE26,0.774854181258646
DE27,1.0674184623481082
DE30,0.974708265924628
EL42,4.619756451874811
LV00,0.2181985164958572
ME00,1.0822616629438775
MK00,2.017083817906721
MT00,0.0
NL11,0.8010306634000838
NL12,0.8145302973899693
EL64,2.5784944213732968
EL65,3.0141454582828127
ES11,2.0948808261472442
ES12,1.7678651782954589
ES13,1.8566744614334192
ES21,2.1716284438548565
ES22,4.017028636241777
ES23,3.8083887680110053
ES24,8.665874175804511
ES30,5.375444155940782
IE05,0.9783247186630395
IE06,0.9494045197451224
IS00,0.23126164555795353
ITC3,3.3218113091841235
FI19,0.14321846391576554
FI1B,0.1351947584966781
FI1C,0.12427001021179553
DEA1,0.8063369811394592
DEA2,0.8376288457636906
DEA3,0.683008738871734
DEA4,0.6403778407972813
DEA5,0.5545960718496488
DEB1,0.7799524524742975
DEB2,0.7543402877418465
DEB3,0.9388974996668812
DEC0,0.8070702080943017
DED2,1.0877150472192079
DED4,1.0599451977680043
DED5,1.3736310940849188
DEE0,1.0669356848640021
DEF0,0.583296928064685
DEG0,0.9530509978906708
DK01,0.789243352210528
DK02,0.787210772332174
DK03,0.5866662822189864
DK04,0.5830715177197662
ES41,3.898266191250256
ES42,7.868547083941227
HU23,2.2522936783719856
HU31,1.6339888988123785
HU32,1.6788205245089929
HU33,2.247495820053759
IE04,0.8837149231006713
EE00,0.17073022645219335
EL30,4.798738177219825
EL41,3.9731382895954046
EL43,5.241799264284223
EL51,2.8704908886664016
EL52,2.688132936806923
FI20,0.7426415346281185
FR10,1.1680400966483793
FRB0,1.41056449698662
FRC1,1.012195165159373
FRC2,1.09714837951048
FRD1,1.1148959523878963
FRD2,1.228813905394229
FRE1,1.1632238878227015
FRE2,1.0708148868855372
FRF1,0.991214529403967
NL13,0.7575120249195972
NL21,0.7166095916215854
NL22,0.8259655760978176
NL23,0.7713437187187122
NL31,0.8793586844173179
NL32,0.918040668974098
ITG2,5.255566635276265
ITH1,0.6907042122703994
ITH2,1.6365049813607127
FRI3,2.0387926634525098
FRJ1,4.074277352560724
FRJ2,2.1685713557904953
FRK1,1.7460776353737466
FRK2,1.4511505853456335
FRL0,4.125868283230829
FRM0,3.5877327093247673
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.795986270002369
TR32,3.1838317974781445
TR33,2.8462524488302945
HR03,1.6908108956672387
HR02,1.7073449753961398
HU11,2.1832525442525386
HU12,2.1975435344403884
HU21,2.4105690276977514
HU22,2.6847193011732853
PT16,5.433144184708415
PT17,6.891173676607453
FRF2,0.9741796977562086
FRF3,0.958838789709265
FRG0,1.4296871887313043
FRH0,1.453827788099721
FRI1,2.133180794482969
FRI2,2.083112653025153
ITC4,2.8413128721880287
ITF1,2.0714739268180837
ITF2,2.71437502835601
ITF3,1.9643744316564458
ITF4,4.559002314405021
ITF5,3.64790535097214
ITF6,2.6133776236686135
ITG1,4.897642598068914
LT01,0.18189827020625146
LT02,0.27963873908050785
LU00,0.6826662608822501
PL22,1.0757010038282369
PL41,1.0358971323702495
PL42,0.6288751072986998
PT18,7.976960553172333
PT20,0.0
PT30,0.0
RO11,0.7818078549205082
RO12,0.780743623975449
RO21,1.9982388774320916
RO22,2.975758292095392
RO31,2.5497937513305686
RO32,2.4505618174690063
ITH3,2.409631332041157
ITH4,1.4548615783017234
ITH5,3.2655549417570855
ITI1,2.6441372587720258
