nuts,December Fire Weather Index (-) (1981 - 2010)
DE50,0.31149998671811124
DE60,0.3760601945643278
DE71,0.28903352705075736
DE72,0.2322569528101057
DE73,0.22975742361294985
DE80,0.4154903921544627
DE91,0.3110205024754755
BG41,1.3615975525768778
BG42,1.5447382183577236
CH01,0.25502095613624803
AT32,0.20097535799106164
AT33,0.23098096944197558
AT34,0.2614667598591841
BE10,0.5819675287805037
BE23,0.6086716980915136
BE24,0.5615483811278054
BE25,0.6727287789137295
BE31,0.5328092981445315
BE32,0.5090945258477028
BE33,0.43070928770089123
BE34,0.34643068703147756
BE35,0.4267124277507545
BG31,1.669042641996846
BG32,1.820210778993493
BG33,2.1537693436829493
BG34,1.7550141915275186
DE92,0.33881973658597936
DE93,0.3425992262439791
DE94,0.45548659499331684
CZ07,0.2956108157932094
CZ08,0.4341372266417105
AL01,1.1651788349841359
AL02,1.651153027608647
AL03,1.4799907329526747
AT11,1.0533550680881074
AT12,0.7021656153452064
AT13,1.1037776600162217
AT21,0.29429322823176607
AT22,0.3915510101556762
AT31,0.25860441549373275
DK05,0.8767259030309598
BE21,0.5628035146998572
BE22,0.5120747387576747
ES43,4.4285028100985135
ES51,5.250346372202906
ES52,8.959898934103222
ES53,7.244435636069831
ES61,6.208786571013688
ES62,10.235364062702484
ES63,4.606278785546
ES64,9.351027857990116
CH02,0.2785179078176365
CH03,0.3179879003764109
CH04,0.29731250384662794
CH05,0.280447950395713
CH06,0.18047835285928143
CH07,0.6481375554023032
CY00,9.390903853161982
CZ01,0.6435371360357335
CZ02,0.5164360878928015
CZ03,0.33041817124703116
CZ04,0.38951437730851696
CZ05,0.296460541850063
CZ06,0.4962397712957092
DE40,0.4140118473257903
EL53,0.9922739842293494
EL54,1.115342092316256
EL61,1.6888363982544008
EL62,2.1977405234266416
EL63,1.5011773465869644
ES70,18.274347742373763
ITC1,1.0934800244197707
ITC2,0.3553911850967855
DE11,0.2983918543817698
DE12,0.3345833507332036
DE13,0.35744110563565806
DE14,0.3136015976862639
DE21,0.2824670567981205
DE22,0.2816618670021938
DE23,0.23080609861833135
DE24,0.22292736694833826
DE25,0.26898179567543734
DE26,0.25953008556277246
DE27,0.3092781794050356
DE30,0.4089565960015812
EL42,6.841572518174828
LV00,0.22290673252991097
ME00,0.808035303925489
MK00,1.4206889821510817
MT00,6.92290898457493
NL11,0.5430287974103689
NL12,0.8639058665121665
EL64,2.513805143081195
EL65,3.384093821535165
ES11,1.3666289246716439
ES12,0.9180976634326619
ES13,1.2236121014131982
ES21,1.451487141457309
ES22,2.6315028603053174
ES23,2.627448638865734
ES24,6.0238595564747035
ES30,3.572116806544344
IE05,0.6870480174994114
IE06,0.5398826923459135
IS00,0.3026740416211067
ITC3,2.838546088907638
FI19,0.2437519173732954
FI1B,0.2699483598860346
FI1C,0.27532411626954656
DEA1,0.39743592775714837
DEA2,0.3642816223589472
DEA3,0.36832871106806253
DEA4,0.32151875764280047
DEA5,0.3005703392934501
DEB1,0.2694479551965521
DEB2,0.2771453482801805
DEB3,0.3290674167182003
DEC0,0.32079610586578433
DED2,0.43776015815317154
DED4,0.3907873849069664
DED5,0.5734926398633675
DEE0,0.4484094917068961
DEF0,0.4623447875679824
DEG0,0.3440522927277834
DK01,0.6724044273701038
DK02,0.6650959856892625
DK03,0.5094498166888917
DK04,0.6253051771016572
ES41,2.6516783390632632
ES42,4.964033790159458
HU23,0.8914901053340452
HU31,0.9254174385887617
HU32,0.9724459697611383
HU33,1.0499585611503148
IE04,0.5491596275772692
EE00,0.30780588408276005
EL30,4.985960761845062
EL41,4.539710227697113
EL43,6.721770357671578
EL51,2.0603003217272406
EL52,1.9261232907423593
FI20,0.9118146733759546
FR10,0.6184761895673521
FRB0,0.6982944191937817
FRC1,0.5274557927508007
FRC2,0.5325215307074381
FRD1,0.7820386360712883
FRD2,0.6108156782729572
FRE1,0.6291479784739649
FRE2,0.562339001310858
FRF1,0.3950189894767217
NL13,0.43991694585141455
NL21,0.4225190158873878
NL22,0.45251571693221787
NL23,0.529224946339259
NL31,0.513749105554104
NL32,0.8707332195184434
ITG2,4.132597354377531
ITH1,0.41800817609177376
ITH2,0.6763793235728234
FRI3,1.0811398051333005
FRJ1,3.1525030056814405
FRJ2,1.2658677765658402
FRK1,0.7357528496980607
FRK2,0.8472826981579443
FRL0,3.5682350384353967
FRM0,3.399170383982253
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.9582160404382436
TR32,3.8570524849878973
TR33,3.3189853608329583
HR03,1.7042658423685764
HR02,0.7291045960256721
HU11,0.9857142196408872
HU12,1.0108838757132241
HU21,0.9749329105649891
HU22,1.0786219925702762
PT16,3.297394066651701
PT17,4.304533508519883
FRF2,0.4927066864136721
FRF3,0.4142854144958432
FRG0,0.9716457355533196
FRH0,1.1897512117705582
FRI1,1.2665398005968624
FRI2,0.9244831855095845
ITC4,1.1696981022609028
ITF1,1.1986993789051754
ITF2,1.6237958691872045
ITF3,1.418101459808476
ITF4,3.4068861450407484
ITF5,2.7475454406335387
ITF6,2.4513618517525124
ITG1,3.981639295515897
LT01,0.16222182182801687
LT02,0.18636022265877097
LU00,0.3079794211711248
PL22,0.543298606897748
PL41,0.46987344231289613
PL42,0.3338756106444801
PT18,5.3182744250025475
PT20,0.0
PT30,6.036748869414746
RO11,0.6019472497715178
RO12,0.8404437543768938
RO21,1.3780485043130206
RO22,2.4664467132207757
RO31,1.7112721022795194
RO32,1.4957444004392244
ITH3,1.4788135988499893
