nuts,April Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.6428571025530497
DE60,0.616765649120013
DE71,0.6666838931540648
DE72,0.6772627770900727
DE73,0.6926433732112248
DE80,0.5593559675539533
DE91,0.6558473516876498
BG41,0.7453492294376095
BG42,0.6358679494510094
CH01,0.8341852411627769
AT32,0.8775720636049906
AT33,0.8855950635547439
AT34,0.8690558316806952
BE10,0.7000000024835269
BE23,0.6743930528561274
BE24,0.7028001266221205
BE25,0.6548050018648307
BE31,0.7166999161243439
BE32,0.7054008076588313
BE33,0.7608967302987973
BE34,0.7448206273217995
BE35,0.7438902844985326
BG31,0.6202997855221232
BG32,0.5809744189803799
BG33,0.5455814568325877
BG34,0.5566699963683883
DE92,0.6557156058028341
DE93,0.6241710671534141
DE94,0.6342237172027428
CZ07,0.6246935865531366
CZ08,0.6666582760711511
AL01,0.7581971439222495
AL02,0.742461875701944
AL03,0.6739788118128975
AT11,0.5631920957316955
AT12,0.6338907823587457
AT13,0.5500405679146448
AT21,0.8041084838410218
AT22,0.7810984337702394
AT31,0.7680078397194544
DK05,0.5203780314574639
BE21,0.6786185473203659
BE22,0.6972994317611059
ES43,0.4989474224547545
ES51,0.5618706397712231
ES52,0.41958645166208347
ES53,0.33445797028640906
ES61,0.45050089980165164
ES62,0.3403765088568131
ES63,0.42223391532897947
ES64,0.3333333333333333
CH02,0.8494769449656209
CH03,0.8367077718178432
CH04,0.7890004647274812
CH05,0.8188863281160593
CH06,0.8599907148629427
CH07,0.7755570386846861
CY00,0.22222258150577545
CZ01,0.5867084309458732
CZ02,0.6134123501678308
CZ03,0.6801283082614342
CZ04,0.6568156684438388
CZ05,0.6430554856856664
CZ06,0.5755768472328782
DE40,0.5645790058809023
EL53,0.6254414568344752
EL54,0.6390601858496666
EL61,0.47588404106597104
EL62,0.4271322790533304
EL63,0.5434932409475247
ES70,0.17244924642145634
ITC1,0.741955534213533
ITC2,0.8177625184257825
DE11,0.7045203911761443
DE12,0.7188512998322646
DE13,0.7754547826945781
DE14,0.7724049403021733
DE21,0.7718144802376627
DE22,0.6841753385961056
DE23,0.6859775936231017
DE24,0.6872819197674592
DE25,0.679037994146347
DE26,0.6731271252036095
DE27,0.7803222112357616
DE30,0.5624999796350797
EL42,0.23633924691627423
LV00,0.5497630316453676
ME00,0.7944534712781509
MK00,0.6746404508749644
MT00,0.2
NL11,0.6045300155878067
NL12,0.5598441268006961
EL64,0.44254897298912205
EL65,0.37888389490544794
ES11,0.799293639138341
ES12,0.8772692252571385
ES13,0.8523109626024962
