nuts,December Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,1.0765246892968814
DE60,0.8727058172225952
DE71,0.958654306580623
DE72,0.9382186839977901
DE73,0.9573075068493684
DE80,0.8369888298213481
DE91,0.9161857222517331
BG41,0.588508085720241
BG42,0.44383904642115035
CH01,1.1719606811801593
AT32,0.9066308928032716
AT33,0.9557341282566388
AT34,0.9456257318456968
BE10,0.899508269627889
BE23,0.9540019005537033
BE24,0.9110813098649184
BE25,0.9139211349189281
BE31,0.7916167914867401
BE32,0.8322562033931414
BE33,0.9965028263628483
BE34,0.9964810865620772
BE35,0.9460875682532788
BG31,0.49073145588239037
BG32,0.4429483002051711
BG33,0.42883725333958866
BG34,0.42773590243111054
DE92,0.9670862122749289
DE93,1.002710768704613
DE94,1.1176254274944464
CZ07,0.714655618245403
CZ08,0.7138338831563791
AL01,0.8761276998867591
AL02,0.6385320905596018
AL03,0.6333854826788108
AT11,0.5242103761682908
AT12,0.6897683226192991
AT13,0.5085158566633861
AT21,0.634451329956452
AT22,0.7417971637099982
AT31,1.0132468478754162
DK05,0.9031053476035595
BE21,0.9878674112260342
BE22,0.8777825996279717
ES43,0.4909040474332869
ES51,0.3354584633683165
ES52,0.36641342329482235
ES53,0.4215856152276198
ES61,0.39455218743532894
ES62,0.2746712322657307
ES63,0.4666315823793411
ES64,0.06666666666666667
CH02,1.2037113721172015
CH03,0.9835546731948852
CH04,0.9372815974056721
CH05,0.9474892698228359
CH06,1.058793373654286
CH07,0.6842956215143203
CY00,0.5404022661348183
CZ01,0.6534795025984447
CZ02,0.6351595281312863
CZ03,0.7077019952237606
CZ04,0.7486739517500003
CZ05,0.6656136094902952
CZ06,0.6672642373790344
DE40,0.7565494519968827
EL53,0.5058603366216023
EL54,0.67657431922853
EL61,0.6365461303542058
EL62,0.7489607691764831
EL63,0.639420896458129
ES70,0.10827204783757528
ITC1,0.5172924800465505
ITC2,0.7194167129695416
DE11,0.9540540813778837
DE12,1.1069993106027445
DE13,1.0678281699617704
DE14,0.9142654862254858
DE21,1.013815614208579
DE22,0.9072617042809725
DE23,0.9551442099735141
DE24,0.9147331022967895
DE25,0.9607255381842454
DE26,0.9495154112577439
DE27,0.9819678798317909
DE30,0.6618834798534711
EL42,0.7396341758469741
LV00,0.9759923428297043
ME00,0.7706090896079938
MK00,0.5723365894208352
MT00,0.4749605561296145
NL11,0.9328397999207179
NL12,1.0216177261124055
EL64,0.8031900225828091
EL65,0.5491928296163678
ES11,0.7532713140981893
ES12,0.739908454939723
ES13,0.6872538693249226
ES21,0.6790204989413421
ES22,0.574056909357508
ES23,0.4999086661885182
ES24,0.4162474780033032
ES30,0.5244620207697153
IE05,1.007437734802564
IE06,0.8882474216942986
IS00,1.1422947347164154
ITC3,0.5638052063683668
FI19,0.7352741601256033
FI1B,0.9550323409338792
FI1C,0.8002509620040655
DEA1,0.9560052260756493
DEA2,1.0256544483204684
DEA3,1.0207572414229313
DEA4,1.0568276345729828
DEA5,1.0330740900089344
DEB1,1.0066679172217845
DEB2,0.9336695164442063
DEB3,0.9754901621490717
DEC0,0.9565119380752246
DED2,0.7601295500993729
DED4,0.8324059848984082
DED5,0.7942568252484004
DEE0,0.7849930765107274
DEF0,0.9294878176103035
DEG0,0.8679839530338843
DK01,0.9061440274119377
DK02,0.9061022815605004
DK03,0.8860200366626183
DK04,0.8852430517474811
ES41,0.5607539028860629
ES42,0.4234898153382043
HU23,0.5877184513335426
HU31,0.6714603499198953
HU32,0.540720236984392
HU33,0.5900483587756753
IE04,1.1581884856025377
EE00,0.9127567571898302
EL30,0.38924903286000095
EL41,0.7082630916188161
EL43,0.6598908424377441
EL51,0.47467310472081103
EL52,0.5593575612331431
FI20,0.9739463444799185
FR10,0.8585441340381901
FRB0,0.7550458943160872
FRC1,0.8313430782407523
FRC2,1.2261571128542224
FRD1,0.8486994317422311
FRD2,0.7760301406184832
FRE1,0.8792714830487967
FRE2,0.8641790007551511
FRF1,0.9667048425724108
NL13,0.8676122824350992
NL21,0.9569471607605616
NL22,0.9336575750261545
NL23,0.9743442627290885
NL31,0.9916900475819905
NL32,1.102475634465615
ITG2,0.4985077309111754
ITH1,0.6957021469871203
