nuts,January Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,1.1952936391035716
DE60,1.255181860923767
DE71,1.3497306467344363
DE72,1.1829258263111115
DE73,1.2686137951910497
DE80,1.1772921229402225
DE91,1.0780263165632884
BG41,0.5942677066971859
BG42,0.47842809185385704
CH01,1.2916640418271224
AT32,1.1056799513598283
AT33,0.8837848038723072
AT34,0.8937527410686016
BE10,1.2414654965202014
BE23,1.3048349821875835
BE24,1.2652561217546463
BE25,1.4063665514876103
BE31,1.2619762827952703
BE32,1.2628154246757428
BE33,1.2586861579368511
BE34,1.255178677663207
BE35,1.2177700519561767
BG31,0.7155636840189497
BG32,0.5862241028497617
BG33,0.5576286843667427
BG34,0.5703797700504462
DE92,1.0506522939230005
DE93,1.2506716433912515
DE94,1.1323544222861528
CZ07,1.2648053877055645
CZ08,1.328718782340487
AL01,0.9530281125878294
AL02,0.9910057922204335
AL03,0.8654999688888589
AT11,0.9277010793487231
AT12,0.9841604217886925
AT13,0.9081508109966914
AT21,0.9775453535839915
AT22,0.9721432086080313
AT31,1.1154479819039504
DK05,1.5889487424865365
BE21,1.3076660931110382
BE22,1.1774389440814654
ES43,0.5061401589773595
ES51,0.4477870143949986
ES52,0.37060465731968484
ES53,0.4424007717519999
ES61,0.3179131094366312
ES62,0.319135368833768
ES63,0.46659650405248004
ES64,0.4482758620689655
CH02,1.1915139817943177
CH03,1.4235262165466944
CH04,1.5585233757893244
CH05,1.1497820516427357
CH06,1.1317422151565553
CH07,1.1634457498788833
CY00,0.4614513278007507
CZ01,1.0863951986034712
CZ02,1.2154300780966878
CZ03,1.1872529615958531
CZ04,1.2446075568596522
CZ05,1.3134701183686655
CZ06,1.1579375192523003
DE40,1.0615088482697805
EL53,0.6230260803053776
EL54,0.6745245479047298
EL61,0.58102342436711
EL62,0.6950313660005728
EL63,0.5880677699421842
ES70,0.09489082262433808
ITC1,0.7687190047240463
ITC2,1.2181217513978482
DE11,1.436637020111084
DE12,1.4596744775772095
DE13,1.404727266356349
DE14,1.3937116406857968
DE21,1.1816668224831421
DE22,1.2213115364934006
DE23,1.26836673480769
DE24,1.3115852613002061
DE25,1.2817624387641748
DE26,1.2552350853880248
DE27,1.2455151244997977
DE30,1.02874087591966
EL42,0.5955518586561084
LV00,1.5121153070901832
