nuts,August Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.8561685244242351
DE60,0.8998355040947597
DE71,0.698330174634854
DE72,0.7123272339502971
DE73,0.7082601851473252
DE80,0.7191000514974196
DE91,0.8319773477812608
BG41,0.5015768679479758
BG42,0.2488510562106967
CH01,0.8513558002809684
AT32,0.8463119390110175
AT33,0.867848503217101
AT34,0.8595011537273725
BE10,0.608489786585172
BE23,0.7820225737988948
BE24,0.6081917790075143
BE25,0.7026750778158506
BE31,0.6834774235884349
BE32,0.7300579406321048
BE33,0.8001352522522212
BE34,0.5940457033614318
BE35,0.6625411134213209
BG31,0.4900131816665331
BG32,0.44444157226632036
BG33,0.3328809383014838
BG34,0.21429430370529493
DE92,0.8337153529127439
DE93,0.824457864711682
DE94,0.8956438212345044
CZ07,0.650657923022906
CZ08,0.5975637905299663
AL01,0.3103321104000012
AL02,0.3129025723785162
AL03,0.28266978412866595
AT11,0.5051175461461147
AT12,0.698113393286864
AT13,0.6327249228954315
AT21,0.7697531514490644
AT22,0.7681103016560277
AT31,0.6913200144966444
DK05,0.6352804417411486
BE21,0.6146036659677824
BE22,0.7465214811265468
ES43,0.1077931558402876
ES51,0.49587308913469313
ES52,0.3329271850797037
ES53,0.13660316777726014
ES61,0.11481514268865188
ES62,0.15094811773548525
ES63,0.011134498318036397
ES64,0.03333333333333333
CH02,0.900378191533188
CH03,0.9402086983124415
CH04,0.7674600479503473
CH05,0.7919554326683282
CH06,1.0293961599469186
CH07,0.6384508724013964
CY00,0.008643299465378125
CZ01,0.7534795040885608
CZ02,0.642882797246178
CZ03,0.7354644019156694
CZ04,0.6764499073227247
CZ05,0.7065773727993171
CZ06,0.598251157750686
DE40,0.5445891968285044
EL53,0.3206756296257178
EL54,0.22865308498342832
EL61,0.2303824221715331
EL62,0.07817244045436382
EL63,0.18572202573219934
ES70,0.03333333333333333
ITC1,0.5406714695816238
ITC2,0.6484563089907169
DE11,0.816901695728302
DE12,0.910554135714968
DE13,0.8910317825774352
DE14,0.7948178693652153
DE21,0.767339060952266
DE22,0.7835222510620952
DE23,0.5485469530646999
DE24,0.9205373617510001
DE25,0.7516444519162178
DE26,0.788921473796169
DE27,0.8361251842230558
DE30,0.5459522162874539
EL42,0.02375119018057982
LV00,0.7950187603632609
ME00,0.48156819368402165
MK00,0.32589177874227365
MT00,0.05829388797283173
NL11,0.900324352333943
NL12,0.8504201280574004
EL64,0.20207756229986748
EL65,0.1485986813281973
ES11,0.39653534851968286
ES12,0.5551390521849195
ES13,0.6597457066178322
ES21,0.5103036716580391
ES22,0.4115114204585552
ES23,0.45093008602658907
ES24,0.41378312073647977
ES30,0.22912110909819602
IE05,0.7754318706070383
IE06,0.7618670739854375
IS00,0.9790286466479301
ITC3,0.412710814923048
FI19,0.7839147304495175
FI1B,0.7861462694282333
FI1C,0.7508766780296962
DEA1,0.7326525624841451
DEA2,0.6077164322137832
DEA3,0.7398003593087197
DEA4,0.8563856913397709
DEA5,0.8228379619618257
DEB1,0.5843710316965978
DEB2,0.6178865569333235
DEB3,0.5979830774168173
DEC0,0.5489164302746455
DED2,0.5956132758408785
DED4,0.7651039306074381
DED5,0.6135009162127971
DEE0,0.6052828793724377
DEF0,0.8383519992232322
DEG0,0.8460238908727964
DK01,0.8090322097142537
DK02,0.802024768354992
DK03,0.7917058201506734
DK04,0.8304830208420754
ES41,0.3810991053159038
ES42,0.22570344392831126
HU23,0.5384408367797733
HU31,0.6427146483212709
HU32,0.5521647564445933
HU33,0.5516562649980188
IE04,1.0376286776736379
EE00,0.7401094325507681
EL30,0.07258214342097441
EL41,0.03556651510298252
EL43,0.046625504021843275
EL51,0.218292700064679
EL52,0.27593519060562055
FI20,0.6630042433738709
FR10,0.48764940686523917
FRB0,0.49788832558939855
FRC1,0.5953840817635258
FRC2,0.7875892259180546
FRD1,0.5523839884748062
FRD2,0.5720135825996597
FRE1,0.7371802449226379
FRE2,0.5789703229442239
FRF1,0.8402279940744241
NL13,0.8499431073665619
NL21,0.7664330676198006
NL22,0.6985652446746826
NL23,0.7226692448059718
NL31,0.679692609111468
