nuts,October Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.7712616518139839
DE60,0.7148190170526505
DE71,0.6057152652492126
DE72,0.5640126256893079
DE73,0.5712666587283214
DE80,0.645551965261499
DE91,0.6807888651887576
BG41,0.4907854497432709
BG42,0.4579531401395798
CH01,0.6981003827104966
AT32,0.7106463336696227
AT33,0.7308549720173081
AT34,0.723318700492382
BE10,0.633467439810435
BE23,0.6949918913344543
BE24,0.658340788880984
BE25,0.7733705699443817
BE31,0.6374030192693074
BE32,0.7224293407052755
BE33,0.7916770605991285
BE34,0.6516868932793538
BE35,0.6874106157571077
BG31,0.5004410312821468
BG32,0.3687232768783967
BG33,0.44091128365447124
BG34,0.45905107346673807
DE92,0.7974691471705834
DE93,0.653650130579869
DE94,0.7820554743210475
CZ07,0.6750154261166851
CZ08,0.7619781674196323
AL01,0.49758396912366154
AL02,0.42934044599533083
AL03,0.42111013947675624
AT11,0.6695634351422389
AT12,0.7091946634153525
AT13,0.5914841423432032
AT21,0.590465015421311
AT22,0.6886806204915047
AT31,0.7292008394996325
DK05,0.7550325903420647
BE21,0.6717372578879197
BE22,0.692227516323328
ES43,0.39886719224353634
ES51,0.5468192636345823
ES52,0.30944426233569783
ES53,0.4857631580283244
ES61,0.37933348057170707
ES62,0.311972616178294
ES63,0.27787132461865743
ES64,0.2
CH02,0.7299720727528135
CH03,0.6769006689389546
CH04,0.7182974418004354
CH05,0.673361370091637
CH06,0.7534084178507328
CH07,0.6511842561264832
CY00,0.24076024641593297
CZ01,0.43305491656064987
CZ02,0.5641499685744444
CZ03,0.6042247924953699
CZ04,0.634192518144846
CZ05,0.6598039586097002
CZ06,0.7168982930481433
DE40,0.5994911259661119
EL53,0.48967180425922074
EL54,0.4406119719147682
EL61,0.4848594854896267
EL62,0.5339097309857607
EL63,0.5384244423980514
ES70,0.12489822506904602
ITC1,0.7861445807851851
ITC2,0.6646340037385623
DE11,0.6215536892414093
DE12,0.6144198052585125
DE13,0.5761946802337964
DE14,0.7428593602031469
DE21,0.6554281226048867
DE22,0.6291805835440755
DE23,0.677989963379999
DE24,0.6113452465583881
DE25,0.6450827356427908
DE26,0.6161294887463252
DE27,0.768779547760884
DE30,0.4788587505618731
EL42,0.24143020622432232
LV00,0.7906531743705273
ME00,0.6138285016020139
MK00,0.38828055541962386
MT00,0.37498685071865717
NL11,0.839239564538002
NL12,0.9376015658179919
EL64,0.4641811476399501
EL65,0.38278072730948526
ES11,0.562534007957826
ES12,0.76382352275153
ES13,0.7296542483071486
ES21,0.791349985698859
ES22,0.6828357569873333
ES23,0.6387945878009001
ES24,0.4365787646112343
ES30,0.4635606326162815
IE05,0.8338920048127572
IE06,0.7938926155368488
IS00,1.0674173255761465
ITC3,0.7193306725472212
FI19,0.6670030219480395
FI1B,0.6908541976784667
FI1C,0.7716465428161124
DEA1,0.7016589877506098
DEA2,0.7333647261063257
DEA3,0.6800453995664915
DEA4,0.7688954293727874
DEA5,0.812434467424949
DEB1,0.6182840419312318
DEB2,0.6087263908237219
DEB3,0.6640892429898183
DEC0,0.6415680192410946
DED2,0.7177799627184868
DED4,0.6643012891213099
DED5,0.5209921970963478
DEE0,0.5698233185956876
DEF0,0.7888209198911985
DEG0,0.5495578018327554
DK01,0.860853860899806
DK02,0.8278181339303653
DK03,0.6484928588072459
DK04,0.7282055445015431
ES41,0.5081600240742167
ES42,0.3772027942351997
HU23,0.5253764339412252
HU31,0.5348995653912425
HU32,0.5818069266155362
HU33,0.5453763714681069
IE04,1.0857353224729498
EE00,1.0222145925896864
EL30,0.27220948996643224
EL41,0.25385082823534805
EL43,0.3419174861162901
EL51,0.3563817902778586
EL52,0.41763548168043296
FI20,0.8121525059143703
FR10,0.6960648987442255
FRB0,0.657383552317818
FRC1,0.6450493433823188
FRC2,0.6695647412911058
FRD1,0.7375400237739086
FRD2,0.711889632542928
FRE1,0.7490791566669941
FRE2,0.6286109584694107
FRF1,0.5447897071639697
NL13,0.7809067110220591
NL21,0.7820197954773903
NL22,0.7319967449953159
NL23,0.8044135262568791
NL31,0.791432919104894
NL32,0.9829044329623381
ITG2,0.4713900579760472
ITH1,0.616012916341424
ITH2,0.641770160694917
FRI3,0.530001146470507
FRJ1,0.6671251207590103
FRJ2,0.8095040481537581
FRK1,0.6726152398623526
FRK2,0.5926537624870737
FRL0,0.5611430396015445
FRM0,0.49170732547839485
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.2513655548915267
TR32,0.27080762029315036
TR33,0.3124638429842889
HR03,0.7584846401587129
HR02,0.6536830458169182
HU11,0.47501975496610005
HU12,0.48753064274787905
HU21,0.5641226014743249
HU22,0.5918332534531753
PT16,0.46697261460746325
PT17,0.36648170575499533
FRF2,0.7289066990527014
FRF3,0.694090667553246
FRG0,0.6797067727272709
FRH0,0.7127313275821507
FRI1,0.6106226876067619
FRI2,0.6986059517910083
ITC4,0.6098025595769286
ITF1,0.7292920942107837
ITF2,0.6689844987044732
ITF3,0.6640670572097103
ITF4,0.495694381557405
ITF5,0.44708630740642546
ITF6,0.4782740507895748
ITG1,0.474539660786589
LT01,0.6946702634915709
LT02,0.7405539770921071
LU00,0.6277874459822973
PL22,0.6756574065114062
PL41,0.5890555394192537
PL42,0.5820936093727748
PT18,0.3550162255143126
PT20,0.0
PT30,0.0
RO11,0.47112674539287885
RO12,0.4917169600725174
RO21,0.44537347281972567
RO22,0.3935465742523471
RO31,0.4316876118692259
RO32,0.5065521689752738
ITH3,0.5657262716442346
ITH4,0.6272157380978266
ITH5,0.6531522020697593
ITI1,0.5708703941355149
ITI2,0.6519005039085944
ITI3,0.7268265606214602
ITI4,0.7007673109571139
LI00,0.7831375151872635
FI1D,0.7363371562212706
TR82,0.5501857346855104
TR83,0.5990957821408908
TR90,0.7634568770416081
TRA1,0.5583242827715973
TRA2,0.6330782304207484
PL43,0.5556996808076898
PL51,0.6705421222373843
PL52,0.6619281855101387
PL61,0.645920176555713
PL62,0.7270372883727153
PL63,0.7472986054917177
PL71,0.6557977978760997
PL72,0.5175121508538723
PL81,0.5298839511970679
PL82,0.5919096448769172
PL84,0.6270129260917504
PL91,0.5378201549251874
PL92,0.5336238004267215
PT11,0.47005838161955277
PT15,0.3167634672174851
TRB1,0.4175652621934811
TRB2,0.36152300188938774
TRC1,0.2986587869624297
RS12,0.5816083257397016
RS21,0.5002631410645942
RS22,0.41839583590626717
SE11,0.7642531010011832
SE12,0.6349169396484892
NL33,0.8598710936804612
NL34,0.8528360716998578
NL41,0.6548630706965923
NL42,0.6305728820463021
PL21,0.679973899324735
UKM6,1.1929733830193678
TR22,0.3948663024542232
TRC2,0.35144115006551147
TRC3,0.37136167734861375
UKC1,0.693333645661672
UKC2,0.7897150695323945
UKD1,1.0164056199292342
UKD3,1.0993904516100883
UKD4,1.2060495001574358
UKD6,0.9508770701785882
UKD7,1.0920188908775648
UKE1,0.6821769886960586
UKE2,0.7706031213204066
UKE3,0.7216049994031588
RO41,0.45375170838087797
RO42,0.51544969206055
RS11,0.5327811899284521
TR41,0.37453551550085346
TR42,0.5415020714203517
TR51,0.3875896376557648
TR52,0.3418085392564535
TR61,0.3681963074641923
TR62,0.42210303116589787
TR63,0.49273428358137605
TR71,0.4012501216803988
TR72,0.5038923568092286
TR81,0.6701685157914956
UKK1,0.6858214395741622
UKK2,0.7739763667186101
UKK3,0.9894844442605972
UKK4,0.848156156639258
UKL1,1.0060636043548583
UKL2,0.870987490316232
UKM5,1.1039519930879276
UKM7,1.0617751509572069
UKM8,1.0406935542821885
UKM9,1.0607207958896956
UKN0,1.1291347865015269
SE21,0.6944883373876413
SE22,0.8342362043137351
SE23,0.7836037854974468
SE31,0.7699740321685871
SE32,0.8057342727979024
SE33,0.8712685575087865
SI03,0.6596247794727484
SI04,0.6708226015170415
SK01,0.6030657554666201
SK02,0.6073667626827955
SK03,0.66063150955985
SK04,0.6423682144532601
TR10,0.5800141879667838
TR21,0.32204312638690075
UKE4,0.8646521051724751
UKF1,0.7520020225395759
UKF2,0.6347340305646261
UKF3,0.6689495297769705
UKG1,0.732069605588913
UKG2,0.844480034460624
UKG3,0.7223483448227247
UKH1,0.6559233038375775
UKH2,0.5778771713376045
UKH3,0.6420420567194621
UKI3,0.6333333333333333
UKI4,0.6333333333333333
UKI5,0.5534875293572744
UKI6,0.6388433759411176
UKI7,0.5891131709019343
UKJ1,0.6386941706140836
UKJ2,0.7304080311208964
UKJ3,0.7505630607406298
UKJ4,0.745684020842115
NO09,1.024721337016672
NO0A,1.2126558468987545
NO0B,0.9145346189538638
HR05,0.6831965496142706
HR06,0.6587865221003691
NO02,0.9350083649158478
NO06,0.9540695222715537
NO07,1.028892697393894
NO08,0.9091135772566
