nuts,Annual Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,9.320995724201202
DE60,10.140626923243206
DE71,9.738921101888021
DE72,9.88884105682373
DE73,10.274356889724732
DE80,9.538397026062011
DE91,10.165590143203735
BG41,8.181890678405761
BG42,6.5575279712677
CH01,11.164920854568482
AT32,11.905560270945232
AT33,11.568046347300212
AT34,11.03777462641398
BE10,10.649552965164185
BE23,10.158421770731609
BE24,10.899985122680665
BE25,9.445983648300171
BE31,10.218486324946086
BE32,9.84093074798584
BE33,10.467548847198486
BE34,10.241472419102987
BE35,10.20292321840922
BG31,7.133958570162455
BG32,6.571172467867533
BG33,6.19643558661143
BG34,6.366309134165446
DE92,10.202597427368165
DE93,9.686376857757569
DE94,10.063536834716796
CZ07,9.925483671824137
CZ08,10.255509583155314
AL01,8.51650268236796
AL02,7.872671970299312
AL03,7.302199108260019
AT11,8.434340047836304
AT12,9.387715593973796
AT13,8.583738954861959
AT21,9.913903506596883
AT22,10.686779721577961
AT31,11.361010122299195
DK05,9.645192702611288
BE21,9.952607027689616
BE22,9.9571755250295
ES43,4.130529884497324
ES51,5.5028774499893185
ES52,3.913238298892975
ES53,3.9000853816668193
ES61,3.500371680657069
ES62,3.1445318619410196
ES63,3.440501255648477
ES64,2.566666666666667
CH02,11.337596495946249
CH03,11.764936526616415
CH04,10.749636324246724
CH05,10.408794180552166
CH06,11.250769170125325
CH07,8.608858346939087
CY00,2.79245755871137
CZ01,8.859150751431782
CZ02,9.145937665303547
CZ03,9.544285360972086
CZ04,9.748801660537719
CZ05,10.013616259892782
CZ06,8.431778812408448
DE40,8.915791670481363
EL53,6.190054814020793
EL54,6.757918604214987
EL61,5.489090251922607
EL62,5.816187373797098
EL63,5.880920521418253
ES70,1.1413630922635396
ITC1,7.9493175347646075
ITC2,9.653726134981428
DE11,10.406955560048422
DE12,10.47756282488505
DE13,11.560922384262085
DE14,10.672135798136393
DE21,11.19353900750478
DE22,10.21319096883138
DE23,9.638217067718506
DE24,9.856709575653076
DE25,10.017930746078491
DE26,9.517515087127686
DE27,11.20365858078003
DE30,8.919533189137777
EL42,3.3413696626822156
LV00,9.79310065905253
ME00,9.019985938072205
MK00,7.145264275868734
MT00,3.57097776979208
NL11,10.053793875376384
NL12,10.574361022313436
EL64,5.068184518814087
EL65,4.0482094566027325
ES11,7.563280614217122
ES12,8.357509716351826
ES13,7.862485861778259
ES21,7.808481685320536
ES22,6.840753396352132
ES23,6.577078477541606
ES24,5.098771163395473
ES30,4.717343802962985
IE05,10.31587217648824
IE06,9.684506750106811
IS00,13.629509576161702
ITC3,6.936641605695089
FI19,9.512048212687175
FI1B,9.603346920013427
FI1C,9.44648429552714
DEA1,10.569178199768066
DEA2,10.661952209472656
DEA3,9.870775016148885
DEA4,10.627781343460082
DEA5,10.973789644241332
DEB1,10.240982500712077
DEB2,10.077256059646606
DEB3,10.283316707611084
DEC0,10.145956707000732
DED2,9.976923004786174
DED4,10.071974579493205
DED5,8.831231172879537
DEE0,9.454383150736492
DEF0,9.676454703013102
DEG0,9.798523124059042
DK01,9.267342392603556
DK02,9.415076700846354
DK03,9.254180304209392
DK04,9.657757472991943
ES41,5.544110186894735
ES42,4.7331398566563925
HU23,7.334629066785177
HU31,7.372215143839518
HU32,7.620136825243632
HU33,7.215297611554464
IE04,11.646892388661703
EE00,9.571343723932902
EL30,3.056465842326482
EL41,3.931652775832585
EL43,3.4034340222676596
EL51,5.585581684112549
EL52,5.4949169476826984
FI20,8.720165014266968
FR10,8.32607782681783
FRB0,8.243174330393474
FRC1,9.49138913154602
FRC2,10.646024448531014
FRD1,8.732731262842814
FRD2,9.230210860570272
FRE1,9.211328061421712
FRE2,9.146767314275106
FRF1,10.939422591527302
NL13,9.356658029556275
NL21,9.38379955291748
NL22,9.805241839090984
NL23,10.130984123547872
NL31,9.973176749547322
NL32,10.526492460568745
ITG2,4.7984950585024695
ITH1,10.032426341374714
ITH2,9.083609263102213
FRI3,7.98598997592926
FRJ1,6.335072364125933
FRJ2,7.751029443740845
FRK1,8.857772509256998
FRK2,8.5856041431427
FRL0,6.042460338274638
FRM0,5.769648773329599
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,4.534472720963614
TR32,4.350535678863525
TR33,5.108435416221619
HR03,7.575249473253886
HR02,8.327643450101217
HU11,7.390777770678202
HU12,7.563836018244426
HU21,7.944599080085754
HU22,7.991578006744385
PT16,5.150282498200735
PT17,4.311162335532052
FRF2,9.49328548113505
FRF3,9.874070199330648
FRG0,7.898426405588785
FRH0,8.51793613433838
FRI1,8.134707936218806
FRI2,9.080627918243408
ITC4,7.792273839314778
ITF1,7.2326651334762575
ITF2,6.416071772575378
ITF3,6.932107718785604
ITF4,5.27154130935669
ITF5,5.633392373720805
ITF6,6.040274407182421
