nuts,May Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.6816762665907542
DE60,0.4604951202869415
DE71,0.7302084617316723
DE72,0.7907875249783198
DE73,0.6416640837987264
DE80,0.6370864237348238
DE91,0.6127254907041788
BG41,0.8159349737688899
BG42,0.6959457356482744
CH01,1.0977968161304792
AT32,1.4359517335891723
AT33,1.3000536526242892
AT34,1.401516251762708
BE10,0.7421807393431663
BE23,0.7129419955114523
BE24,0.6724606374899547
BE25,0.8712472712000211
BE31,0.7833000948031743
BE32,0.8477636250356834
BE33,0.9886160834381977
BE34,0.9261676828066508
BE35,0.7950211113939682
BG31,0.8196140267575781
BG32,0.6239172533154488
BG33,0.557728602613012
BG34,0.607173764333129
DE92,0.7210496564085285
DE93,0.6117398045957089
DE94,0.6187445399661858
CZ07,0.9644322937354446
CZ08,1.1248574102918307
AL01,0.6414210832367341
AL02,0.568530485033989
AL03,0.5892775991310676
AT11,0.7742756705731153
AT12,0.8947011861950159
AT13,0.7749797224998474
AT21,1.0936636139949163
AT22,1.0896809815739592
AT31,1.4049204990267754
DK05,0.6527022551745176
BE21,0.733967337757349
BE22,0.7805875378350416
ES43,0.32994036031886936
ES51,0.5841306187212467
ES52,0.40542394400884707
ES53,0.37746221919854483
ES61,0.3202446658940365
ES62,0.31103337816894056
ES63,0.17769592007001242
ES64,0.3
CH02,1.1596887762347856
CH03,1.322830565770467
CH04,1.203049745162328
CH05,1.1743724273517728
CH06,1.2493611288567383
CH07,0.896420672039191
CY00,0.19867786789933842
CZ01,0.7800974542895953
CZ02,0.8417887717485428
CZ03,1.041489898165067
CZ04,0.8904999999950329
CZ05,0.8648676225294669
CZ06,0.7345010547588269
DE40,0.5263903970519702
EL53,0.4714797352751096
EL54,0.4400844191511472
EL61,0.39066993768016495
EL62,0.25571851544082164
EL63,0.45717564361790813
ES70,0.04164626200993856
ITC1,0.8230344203611215
ITC2,0.95774015635252
DE11,0.9519486404955387
DE12,0.8855540248254935
DE13,1.0993932882944744
DE14,1.088107880204916
DE21,1.34020653317372
DE22,1.164046988884608
DE23,1.0260118906696638
DE24,0.9466166806717714
DE25,0.9748363447686036
DE26,0.7250916869690021
DE27,1.1752741123239199
DE30,0.48719204068183897
EL42,0.12022013661141197
LV00,0.7002804321547349
ME00,0.755658473757406
MK00,0.6864619431396325
MT00,0.0500525951385498
NL11,0.6220921970903873
NL12,0.7359157650421063
EL64,0.34764853591720263
EL65,0.3029621239130696
ES11,0.6234872725481788
ES12,0.8159929010396202
ES13,0.9107961385200422
ES21,0.7644641159723202
ES22,0.755283581962188
ES23,0.8775270423541467
ES24,0.6177385718872149
ES30,0.6510414011776448
IE05,0.8404125255843004
IE06,0.9123258512467146
IS00,1.0502337331573168
ITC3,0.6030723971625169
FI19,0.5986162238754332
FI1B,0.6694837591300408
FI1C,0.6566346008330584
DEA1,1.0861375575264296
DEA2,0.8953975843886535
DEA3,0.6889832895249128
DEA4,0.7399051830172538
DEA5,0.8263904506961505
DEB1,0.8576717960337797
DEB2,0.9878376469016075
DEB3,0.838298440972964
DEC0,0.8944535074134667
DED2,0.5954672777404387
DED4,0.9345245745033026
DED5,0.4379090040922165
DEE0,0.4990251208655536
DEF0,0.6275126254806916
DEG0,0.7697040343036254
DK01,0.5427933263281981
DK02,0.645902149255077
DK03,0.6445435264458259
DK04,0.6385982391734918
ES41,0.7288513446847598
ES42,0.6000275074193875
HU23,0.6641195798913638
HU31,0.8014654601613681
HU32,0.7203725662082434
HU33,0.7069282611832023
IE04,1.065387101471424
EE00,0.7288278272996346
EL30,0.13529856900374096
EL41,0.11908274168769518
EL43,0.13653303446869056
EL51,0.38899255990982057
EL52,0.39808804939190545
