nuts,August Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.7813975597421329
DE60,0.7607593948642413
DE71,0.5898410191138586
DE72,0.67121245910724
DE73,0.7970796878139178
DE80,0.7178021165231864
DE91,0.9039081439375878
BG41,0.3772916047523419
BG42,0.2630961367239555
CH01,0.8643904094894727
AT32,0.9291650821765264
AT33,0.8531405890981356
AT34,0.7975662268698216
BE10,0.549955296019713
BE23,0.6262014115850131
BE24,0.6110515053073565
BE25,0.6500962443649769
BE31,0.6249722967545192
BE32,0.6311431755622228
BE33,0.6868407610803843
BE34,0.6632866010069847
BE35,0.6145244145145019
BG31,0.390851556447645
BG32,0.40089193284511565
BG33,0.3635032725209991
BG34,0.24173503493269285
DE92,0.8662076842660705
DE93,0.7592032494023442
DE94,0.8286114946007729
CZ07,0.7012548780068755
CZ08,0.6714525094876687
AL01,0.30739822567751013
AL02,0.30541809809704623
AL03,0.21490012040982645
AT11,0.5336852092295885
AT12,0.7195564998934666
AT13,0.7335361351569494
AT21,0.8108151569962502
AT22,0.7730808933575948
AT31,0.8159920990467071
DK05,0.8552755862474442
BE21,0.6073083614309629
BE22,0.5219629456599554
ES43,0.06814955963442723
ES51,0.3768060544505715
ES52,0.19626423344016075
ES53,0.09273163986702761
ES61,0.051540465621898575
ES62,0.08310343759755294
ES63,0.022233915328979493
ES64,0.03333333333333333
CH02,0.9311431463807821
CH03,1.0465623249610265
CH04,0.9328392113248507
CH05,0.82235009248058
CH06,0.9653221388657888
CH07,0.6270711245636146
CY00,0.01483756887416045
CZ01,0.7331941296656926
CZ02,0.6714214743425448
CZ03,0.6124181066950162
CZ04,0.6437397424131632
CZ05,0.644693500859042
CZ06,0.7221211443344752
DE40,0.6372818193087976
EL53,0.29207494085033736
EL54,0.18932215521732967
EL61,0.2311636433005333
EL62,0.08828137516975403
EL63,0.16944038023551306
ES70,0.008333373069763183
ITC1,0.5497309721385439
ITC2,0.735306209574143
DE11,0.8435326881706715
DE12,0.8960640102624893
DE13,0.917852879439791
DE14,0.9256997485955556
DE21,0.701789515465498
DE22,0.6644933712358276
DE23,0.6809914984429876
DE24,0.7440069372455279
DE25,0.6925398219376803
DE26,0.8060552162428697
DE27,0.7545989109203219
DE30,0.687334048251311
EL42,0.03193142975990971
LV00,0.9389805535475413
ME00,0.36473875964681307
MK00,0.30060192681849
MT00,0.024986851712067923
NL11,0.8376433566212654
