nuts,January Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,0.7620162213842074
DE60,1.0056766778230668
DE71,1.0292762704193592
DE72,0.9123587033400933
DE73,1.0654047161340714
DE80,0.8237703738113245
DE91,0.9201645135258635
BG41,0.5193460083256165
BG42,0.44897010655452807
CH01,0.9732566221306721
AT32,1.0093228387335935
AT33,0.9386510935922464
AT34,1.0589065171778203
BE10,0.9498211810986201
BE23,0.8925229909519354
BE24,0.9443550407886505
BE25,0.916378315538168
BE31,1.0044465392827988
BE32,0.9359958798935016
BE33,1.0514118179678917
BE34,0.9759891246755917
BE35,1.1686066662271817
BG31,0.4915638220186035
BG32,0.5042677334199349
BG33,0.5329279419034719
BG34,0.4766748524581393
DE92,0.7900722569475571
DE93,0.9338056002433102
DE94,0.7600491721183061
CZ07,0.9321387752890586
CZ08,1.0092939843734106
AL01,0.7308005717893441
AL02,0.5906178681800763
AL03,0.6943995660791794
AT11,0.7104597890128692
AT12,0.7890629050011436
AT13,0.6251014014085133
AT21,0.756137065589428
AT22,0.7931842068831126
AT31,1.112164426719149
DK05,1.2022478230563658
BE21,0.8671586689849694
BE22,0.8953010104596615
ES43,0.4531381622577707
ES51,0.5255393008080621
ES52,0.4364341971065317
ES53,0.5303129819532235
ES61,0.35316996603893736
ES62,0.260163962907557
ES63,0.1905764171055385
ES64,0.3
CH02,0.9263377172251542
CH03,1.007207386692365
CH04,1.0516138856609663
CH05,0.9851830082812479
CH06,1.0499224392076334
CH07,0.7728608434398969
CY00,0.5011502408555576
CZ01,0.9057757198810578
CZ02,0.9732493591805299
CZ03,0.8649652307232221
CZ04,1.0786110368246833
CZ05,1.1050226842363675
CZ06,0.9218479068328936
DE40,0.8122201198091109
EL53,0.5001279717045171
EL54,0.6508238106966019
EL61,0.49941363531563965
EL62,0.7976026651759942
EL63,0.7259512647454228
ES70,0.174918266137441
ITC1,0.7482327862332264
ITC2,0.8359730402628581
DE11,0.9999393740048012
DE12,1.0243271350860597
DE13,1.0696885099013647
DE14,0.9840488951653242
DE21,1.0906198799610138
DE22,1.0265990550319353
DE23,1.0341287919630606
DE24,1.014067862679561
DE25,0.9744040161371231
DE26,1.0068019540359576
DE27,1.097052621965607
DE30,0.8248810549577077
EL42,0.6398206649658581
LV00,1.0619939636439084
ME00,0.8360577325026194
MK00,0.45865237588683766
MT00,0.5834385206302007
NL11,0.8467025749385357
NL12,0.9324726179242134
EL64,0.506069376009206
EL65,0.5190754476313789
ES11,1.0062582067080907
ES12,0.9319221636901299
ES13,0.8124383496386665
ES21,0.7801991497476896
ES22,0.7793994357188543
ES23,0.7945864579329888
ES24,0.5440440660963456
ES30,0.5343927301466465
IE05,1.1089927459756532
IE06,0.9413076888769865
IS00,1.2684819002946217
ITC3,0.6881681232402722
FI19,0.9056966610252857
FI1B,1.0256359008451303
FI1C,0.9643287901766598
DEA1,0.8728982875744502
DEA2,1.0705145627260209
DEA3,0.7523946778227886
DEA4,0.9220372694234054
DEA5,1.1257459265490373
DEB1,1.046685475607713
DEB2,1.0626895458747943
DEB3,1.0920767756799856
DEC0,1.0548164716788702
DED2,0.8775790634254614
DED4,1.1350052851651395
DED5,0.877657737955451
DEE0,0.8170932858871917
DEF0,1.104394704165558
DEG0,1.0364823513353865
DK01,1.0083400917549927
DK02,0.9847943746174376
DK03,1.0768252015734712
DK04,1.1029264916976294
ES41,0.6700333919376135
ES42,0.47024022713303565
HU23,0.6757577324286104
HU31,0.7100206412374973
HU32,0.6888126422340671
HU33,0.6013006739318371
IE04,1.1560216501355172
EE00,1.0591976717114449
EL30,0.3999878181410687
EL41,0.5253067119667928
EL43,0.562019410605232
EL51,0.503534503467381
EL52,0.4363719920317332
FI20,1.1213301931818327
FR10,0.8860215795536835
FRB0,0.8226873817543189
FRC1,0.9226840093731881
FRC2,0.9463506870592634
FRD1,0.937429743881027
FRD2,1.0393723021571835
FRE1,0.8953508334234357
FRE2,0.9952480452756087
FRF1,1.0042563571284215
NL13,0.8664745981494586
NL21,0.7739364142219226
NL22,0.7081352099776268
NL23,0.7735420222083728
NL31,0.8458450237909952
NL32,0.8670322192211946
ITG2,0.6028801199048758
ITH1,0.6879982611696634
ITH2,0.46148658568660417
FRI3,0.9419694995818039
FRJ1,0.6796068320982158
FRJ2,0.7679523405929406
FRK1,0.8700550612683098
FRK2,0.901268423969547
FRL0,0.6640456072054803
FRM0,0.7174428712576628
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.6996198247319886
TR32,0.6879287147894502
TR33,0.6370738413495322
HR03,0.9156073302030563
HR02,0.7456766904021302
HU11,0.8252172917127609
HU12,0.7764413103461265
HU21,0.7087205196420352
HU22,0.7730028379708529
PT16,0.7021222773939371
PT17,0.43026260236899055
FRF2,1.049123046795527
FRF3,1.067620216930906
FRG0,0.9547792668143908
FRH0,1.0266146689653397
FRI1,0.8431382392843564
FRI2,0.8699507010479768
ITC4,0.604360113106668
ITF1,0.5237673136095206
ITF2,0.7008767710377772
ITF3,0.8138128489255905
ITF4,0.513988916327556
ITF5,0.6902373597025871
ITF6,0.6996287673711776
ITG1,0.5331179841111103
LT01,1.048774024968346
LT02,1.0787437724570432
LU00,0.9790902435779572
PL22,1.1046808692937096
PL41,0.8100900461897254
PL42,0.9695344505210718
PT18,0.38633385617285965
PT20,0.0
PT30,0.0
RO11,0.8206689772816996
RO12,0.6537706091379126
RO21,0.4982184605052074
RO22,0.4626333760097623
RO31,0.5259458425765237
