nuts,July Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.7430797050396601
DE60,0.7665350159009298
DE71,0.8873699769377709
DE72,0.6669887155294418
DE73,0.7503480071822802
DE80,0.6305772778888543
DE91,0.6862743499999245
BG41,0.587719869799912
BG42,0.4334679989765088
CH01,0.8726659351959825
AT32,1.2495835398634274
AT33,1.2963690703113875
AT34,0.9766496395071348
BE10,0.6836015517512958
BE23,0.6016533340017001
BE24,0.7777777783572674
BE25,0.6782721675932407
BE31,0.7257924983898799
BE32,0.5269943000127871
BE33,0.9449560208866994
BE34,0.891281237329046
BE35,0.8199168473482132
BG31,0.47560928110033274
BG32,0.6370896076162657
BG33,0.624062907944123
BG34,0.48356072753667834
DE92,0.6522284238909681
DE93,0.7568934788306554
DE94,0.9515573143959045
CZ07,0.8817556916425625
CZ08,0.9303503698358934
AL01,0.3256529905522863
AL02,0.22741467803716658
AL03,0.13797963478912909
AT11,0.7522655953963597
AT12,0.9030883972843488
AT13,0.6833738923072815
AT21,1.0218896041313807
AT22,1.0470568519085646
AT31,1.0514208191384873
DK05,0.6651833631098271
BE21,0.8356100430091222
BE22,0.7863178121546904
ES43,0.10231781483938297
ES51,0.4390400923167666
ES52,0.18907700100292762
ES53,0.0790145872781674
ES61,0.07150317838725945
ES62,0.071660523985823
ES63,0.03336841364701589
ES64,0.03333333333333333
CH02,1.0064275999863943
CH03,0.9632922271887462
CH04,0.9786177622775237
CH05,0.9010851999123891
CH06,1.1208606065561375
CH07,0.7571832423408826
CY00,0.05187101798752944
CZ01,0.8001740112900734
CZ02,0.8646787505596876
CZ03,0.9625117526079218
CZ04,0.8381283131738504
CZ05,0.7971315671379368
CZ06,0.82048665912201
DE40,0.7272929694503546
EL53,0.17143988385796546
EL54,0.17589930730561415
EL61,0.1843748031804959
EL62,0.056395133460561436
EL63,0.10977699824919303
ES70,0.0
ITC1,0.5943249611804883
ITC2,0.7688187715907892
DE11,0.8098641803488136
DE12,0.9210214021305243
DE13,0.8393863761176665
DE14,0.8280498523265123
DE21,0.9723782415191332
DE22,0.9141439000765482
DE23,0.8451383585731188
DE24,0.838754158715407
DE25,0.7428856529295444
DE26,0.9542512036859989
DE27,0.9367229563494524
DE30,0.6461411267518997
EL42,0.014290017386277517
LV00,0.9461391008148591
ME00,0.4367328159511089
MK00,0.3674864332502087
MT00,0.0
NL11,0.8967269316315651
NL12,0.7315602369606495
EL64,0.1465450285002589
EL65,0.078262208464245
ES11,0.29389253007248045
ES12,0.5625063317517439
ES13,0.5066695777078469
ES21,0.4593442832430204
ES22,0.3720869102825721
ES23,0.4386561659475168
ES24,0.32374817368884884
ES30,0.19959798492491246
IE05,0.844466295496871
IE06,0.7878228319808841
IS00,1.1671800673007966
ITC3,0.34503566262622676
FI19,0.8742623403668404
FI1B,0.7154690983394781
FI1C,0.8852856360375881
DEA1,1.0192381621648867
DEA2,0.8152112570901712
DEA3,0.8965981488426527
DEA4,0.7634405245383581
DEA5,0.792440631488959
DEB1,0.821408400995036
DEB2,0.730308590332667
DEB3,0.9088340083758036
DEC0,0.8561730340123177
DED2,0.9742350074152152
DED4,0.8812919562061627
DED5,0.7686874816815058
DEE0,0.6745235159682731
DEF0,0.7384346882502238
DEG0,0.7040759321923057
DK01,0.6291402369737625
DK02,0.6891575561836362
DK03,0.7853439596792062
DK04,0.8305122185498476
ES41,0.2813704438973218
ES42,0.15839186397691568
HU23,0.6529735493784149
HU31,0.6646318271756172
HU32,0.6384732993940513
HU33,0.5045675734678904
IE04,1.0422341210146746
EE00,0.8895481150597334
EL30,0.04212599210441113
EL41,0.03856857108573119
EL43,0.018905984858671825
EL51,0.31410266775637863
EL52,0.26528507135808466
FI20,0.47449936481813587
FR10,0.7456039100885391
FRB0,0.5502414450670282
FRC1,0.7005753181874752
FRC2,0.7866503141820431
FRD1,0.7004848177234332
FRD2,0.6753304179757833
FRE1,0.5901234750946363
FRE2,0.6918962723265092
FRF1,0.8685344472527504
NL13,1.0576802372932435
NL21,0.9877762941022714
NL22,0.928565101698041
NL23,0.8306672669947147
NL31,0.9542484800020854
NL32,0.7299124501645565
ITG2,0.05616379864513874
ITH1,1.0352197128037612
ITH2,1.0535471245646477
FRI3,0.4589749234418074
FRJ1,0.35519687632719676
FRJ2,0.441853748075664
FRK1,0.6234415087538461
FRK2,0.5148464234235386
FRL0,0.28339252062141895
FRM0,0.1744114752858877
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.05154592090596755
TR32,0.0815576591839393
TR33,0.14064492949595053
HR03,0.35823224959895017
HR02,0.6444759529083968
HU11,0.7081555445988973
HU12,0.6813167630384366
HU21,0.5597935958455006
HU22,0.6830278425787886
PT16,0.23824139026304086
PT17,0.08602924222747485
FRF2,0.8642287414520979
FRF3,0.9678131488462289
FRG0,0.528434538996468
FRH0,0.47348385738829774
FRI1,0.45238919015973805
FRI2,0.5651729459563891
ITC4,0.6716551418105762
ITF1,0.4107596599807342
ITF2,0.28256761642793815
ITF3,0.22217218795170388
ITF4,0.17747175898402928
ITF5,0.27557657410701114
ITF6,0.15771720657745997
ITG1,0.03524247839426001
LT01,1.1643240342537562
LT02,0.9858049742877484
LU00,0.7614918433129787
PL22,0.9883668839931488
PL41,0.7933607856432597
PL42,0.8688310905670126
PT18,0.09153390172868967
PT20,0.0
PT30,0.0
RO11,0.7836715376625458
RO12,0.8795283709342281
RO21,0.742152019093434
RO22,0.5813093952213725
RO31,0.7262819051742554
RO32,0.7704442699750265
ITH3,0.760536540672183
ITH4,0.7831191501269738
ITH5,0.4598768057922522
ITI1,0.31270642997696996
ITI2,0.3589573243012031
ITI3,0.32085858720044297
ITI4,0.3588171778867642
LI00,0.9662750313679377
FI1D,1.0200151344140371
TR82,0.2782264513584475
TR83,0.25704183932393787
TR90,0.694265264365822
TRA1,0.38743451349437236
TRA2,0.5326955745617549
PL43,0.7215336498493949
PL51,0.7984520248137414
PL52,0.8946682842448354
PL61,0.8153830758606394
PL62,1.0848258331418037
PL63,0.8730657587448756
PL71,1.0144229774052897
PL72,1.0120066734651725
PL81,1.0942372103532156
PL82,1.0304931931818524
PL84,1.1831851055224736
PL91,0.9786962502946456
PL92,1.0427066127459208
PT11,0.23046446486065786
PT15,0.020002193003892898
TRB1,0.22914753270645935
TRB2,0.14465908507506053
TRC1,0.2200488505885005
RS12,0.5257592673103014
RS21,0.42727278706928096
RS22,0.49779913822809857
SE11,0.7103072481229902
SE12,0.88138574163119
NL33,0.8825146029392879
NL34,0.9302079151074092
NL41,0.8126726330568393
NL42,0.8493361867964268
PL21,1.1110269149144492
UKM6,0.954781311750412
TR22,0.1470619721027712
TRC2,0.06163846515119076
TRC3,0.08333005011081696
UKC1,0.6283370283742745
UKC2,0.6588574846585592
UKD1,0.9142877089480559
UKD3,0.9688994204004605
UKD4,0.8502793637414773
UKD6,0.7727556101977825
UKD7,0.8549676882723968
UKE1,0.7455706350505352
UKE2,0.7693016598622004
UKE3,0.7883254731694858
RO41,0.5617115162312984
RO42,0.7325093456854422
RS11,0.3714389828344186
TR41,0.24026380324115357
TR42,0.3680431084086498
TR51,0.14929814136897523
TR52,0.13741390481591226
TR61,0.1495498316672941
TR62,0.2623849807928006
TR63,0.2852969822784265
TR71,0.16287646365041533
TR72,0.15522395671966174
TR81,0.4123695814361175
UKK1,0.6056875462333361
UKK2,0.6057503819465637
UKK3,0.5784687106808026
UKK4,0.6052452305952708
UKL1,0.8064833410084248
UKL2,0.6758211197331547
UKM5,0.7542780537158251
UKM7,0.8654008800784747
UKM8,0.9021454423666
UKM9,0.8932808202380935
UKN0,0.9590154360358913
SE21,0.7703806065022946
SE22,0.7970461138834556
SE23,0.8403590487937133
SE31,0.8524613012870152
SE32,0.9560595100124677
SE33,1.0750081479549407
SI03,0.7979210586597522
SI04,0.8590237474689881
SK01,0.7061314548055331
SK02,0.7098401074608167
SK03,0.9549938189486663
SK04,0.9522819991533955
TR10,0.30090674112240473
TR21,0.26346816488852104
UKE4,0.7750152605275313
UKF1,0.7549503181129694
UKF2,0.533105336750547
UKF3,0.7203956082463264
UKG1,0.6259961468478044
UKG2,0.6563136503100395
UKG3,0.6111741130550702
UKH1,0.7028826660166184
UKH2,0.6022550471127033
UKH3,0.6000228827198346
UKI3,0.6
UKI4,0.6
UKI5,0.5998164355754853
UKI6,0.5838945989807447
UKI7,0.5998776723941167
UKJ1,0.6467273488640786
UKJ2,0.5611293992648522
UKJ3,0.6057336489359538
UKJ4,0.681170354783535
NO09,0.7222565790017446
NO0A,1.292036740978559
NO0B,0.5954955766598383
HR05,0.5883822719256083
HR06,0.6855741647382577
NO02,1.1390542457501094
NO06,1.3477172295252482
NO07,1.1736971139907837
NO08,0.8696614233156045
