nuts,Autumn Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,2.836703924338023
DE60,3.0337628444035847
DE71,2.72914855773079
DE72,2.733612529401268
DE73,2.6479321241378786
DE80,3.009886066118876
DE91,2.7399840786539276
BG41,1.8725334485371907
BG42,1.3315165316065152
CH01,2.618524200149945
AT32,2.8958176175753274
AT33,2.817596522967021
AT34,2.770376646518707
BE10,2.8462266517536983
BE23,3.0076633316689523
BE24,2.7913165082534155
BE25,3.1747151357787
BE31,2.645431551337242
BE32,2.866548627614975
BE33,2.557096059833254
BE34,2.521775537729263
BE35,2.571539705991745
BG31,1.732016588400664
BG32,1.3752341782053312
BG33,1.3381867105762164
BG34,1.3166375974459308
DE92,2.9885189215253507
DE93,2.915421466032664
DE94,3.144368114074071
CZ07,2.3640851008480994
CZ08,2.32999857266744
AL01,2.2746097264545306
AL02,1.9432024558385212
AL03,1.942866172393163
AT11,2.1695801094174385
AT12,2.3501702725887297
AT13,2.1756692697604496
AT21,2.2726262152194976
AT22,2.6062191327412925
AT31,2.8545885105927784
DK05,3.316730974117915
BE21,2.8505507191022237
BE22,2.8293720771159445
ES43,1.004419134663684
ES51,1.5069840873281162
ES52,1.1089512499670187
ES53,1.1383532291899126
ES61,0.6526645222678781
ES62,0.7310120052347581
ES63,0.5833207996828216
ES64,0.4
CH02,2.763719787200292
CH03,3.1121304663164273
CH04,3.151701349020004
CH05,2.6584221363067626
CH06,2.821069182952245
CH07,2.204049032823793
CY00,0.651491982738177
CZ01,2.559777254362901
CZ02,2.539063256978989
CZ03,2.601143614947796
CZ04,2.7177987035984796
CZ05,2.609455353021622
CZ06,2.3616591850916544
DE40,2.528569547335307
EL53,1.5214277704984978
EL54,1.665879061818123
EL61,1.3387927162150541
EL62,1.9986448874076208
EL63,1.6991390767196815
ES70,0.16666682561238608
ITC1,2.0608764479557675
ITC2,2.2264102453986805
DE11,2.8587829877932864
DE12,2.8169793645540873
DE13,2.763688123226166
DE14,2.932018273643085
DE21,2.931411063671112
DE22,3.001291787624359
DE23,2.81406056980292
DE24,2.692991046110789
DE25,2.7840114874144395
DE26,2.697350963950157
DE27,2.97036083539327
DE30,2.4142293800910313
EL42,0.6833041901389758
LV00,3.7277913331985473
ME00,2.2922445992628733
MK00,1.8642691950003305
MT00,1.0669033462802568
NL11,3.3586176574230193
NL12,3.8695492701871053
EL64,1.2734201905628046
EL65,1.059027787683339
ES11,1.6295175830523172
ES12,1.893367816011111
ES13,2.056894661982854
ES21,2.284355261425177
ES22,1.7840557624896367
ES23,1.7645535578330358
ES24,1.31405656610926
ES30,1.254174796740214
IE05,3.3899930715560913
IE06,3.264478079477946
IS00,4.4972234725952145
ITC3,1.9843897779782613
FI19,3.456975591182709
FI1B,3.9720486936898065
FI1C,3.699680825074514
DEA1,2.8164027094841004
DEA2,2.7555179061560797
DEA3,3.031552192568779
DEA4,2.971846330165863
DEA5,2.724846814076106
DEB1,2.5256082425857413
DEB2,2.4026087641716005
DEB3,2.6298458512340273
DEC0,2.4478712074201683
DED2,2.758964298100307
DED4,2.650209668895294
DED5,2.4250117500623065
DEE0,2.457788322120905
DEF0,3.2176386803388595
DEG0,2.510518624736317
DK01,3.1573776165644327
DK02,2.9813173604863032
DK03,3.1370438357194264
DK04,3.0519278099139533
ES41,1.3714646982649963
ES42,1.0402529629568258
HU23,2.091784615814686
HU31,1.9126108740766843
HU32,1.9726017971833547
HU33,1.911410966515541
IE04,4.072423720359803
EE00,3.885489344596863
EL30,0.7600171054402988
EL41,0.9427695696552595
EL43,0.7584498185664416
EL51,1.329670821626981
EL52,1.2969785066587585
FI20,3.753919400017837
FR10,2.242159736053697
FRB0,2.3033350000778836
FRC1,2.466947668790817
FRC2,2.4659361958503725
FRD1,2.5868340705831847
FRD2,2.8213277598222097
FRE1,2.8655896310148568
FRE2,2.492836544414361
FRF1,2.680101551612218
NL13,3.310667664806048
NL21,3.1927735726038615
NL22,3.1616111079851787
NL23,3.38870347397668
NL31,3.2001402378082275
NL32,3.8357571442921956
ITG2,1.468465224901835
ITH1,2.4431147205418555
ITH2,2.298193709860588
FRI3,2.2298761785030363
FRJ1,1.7668136104941368
FRJ2,2.0498881340026855
FRK1,2.3550036549568176
FRK2,2.2928478142310835
FRL0,1.6379876866422851
FRM0,1.7769447634617488
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.1201434793143437
TR32,0.902306582650234
TR33,1.098969849695762
HR03,2.602955345596586
HR02,2.359227160612742
HU11,2.175138278802236
HU12,2.0518883446852367
HU21,2.1461504864195984
HU22,2.133991732199987
PT16,1.162254837155342
PT17,1.222966571737613
FRF2,2.520193881001966
FRF3,2.5259277918215455
FRG0,2.1038411302225932
FRH0,2.3746177007754645
FRI1,2.0942575931549072
FRI2,2.417001756032308
ITC4,2.264955202738444
ITF1,2.061228527625402
ITF2,1.8635553443183501
ITF3,2.234567852814992
ITF4,1.64128125111262
ITF5,1.6216129730145137
ITF6,1.592377709845702
ITG1,1.3139469151695569
LT01,2.817451077699661
LT02,3.1199787497520446
LU00,2.3423426191012067
PL22,2.5514040070275468
PL41,2.3888231654961904
PL42,2.755483321348826
PT18,0.9408729802817106
PT20,0.0
PT30,0.0
RO11,2.2824593126773833
RO12,2.063985554377238
RO21,1.6341784290712456
RO22,1.2707464923461278
RO31,1.3373128314812979
RO32,1.3263810358941555
ITH3,2.3070283104976017
ITH4,2.513248022397359
ITH5,2.18848148783048
ITI1,2.2843644872307776
ITI2,2.251266075174014
ITI3,2.0248272607723874
ITI4,2.2273530185222628
LI00,2.9126864842006137
FI1D,3.2813830971717834
TR82,1.898274564743042
TR83,1.7268986543019613
TR90,2.445617324113846
TRA1,1.882086433035632
TRA2,2.1167304535706837
PL43,2.3996318797270457
PL51,2.354041314125061
PL52,2.366550578639425
PL61,2.3761276990175246
PL62,2.5746509273846945
PL63,2.8349784036477406
PL71,2.6018573393424353
PL72,2.371046259999275
PL81,2.310375479857127
PL82,2.3836210489273073
PL84,2.168269363294045
PL91,2.2350454558928807
PL92,2.238148323694865
PT11,1.3399864957357446
PT15,0.6385647621005773
TRB1,1.3815949127078055
TRB2,1.154889812072118
TRC1,1.0131261420661006
RS12,1.8991556578669055
RS21,2.1990020056565602
RS22,1.8270831262243206
SE11,2.9530832130333473
SE12,2.596181571483612
NL33,3.5050726955135665
NL34,3.1592127680778503
NL41,3.106997343578509
NL42,3.059122649828593
PL21,2.5083620617787044
UKM6,4.7082033395767215
TR22,1.290173375358184
TRC2,0.9499707959592343
TRC3,0.5954159572720528
UKC1,2.7414925903081895
UKC2,2.5310717756549517
UKD1,3.6788038690884908
UKD3,3.540510662396749
UKD4,3.7784441192944844
UKD6,3.461677020788193
UKD7,3.720370960235596
UKE1,2.701691453655561
UKE2,3.06045494278272
UKE3,2.898354698871744
RO41,1.5841995308796564
