nuts,Annual Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,12.009779262542725
DE60,11.094024737675985
DE71,11.27088410059611
DE72,11.441846434275309
DE73,11.105546045303345
DE80,11.468324422836304
DE91,11.302090994517009
BG41,8.455873441696166
BG42,6.56359179019928
CH01,11.778639094034832
AT32,13.25483055114746
AT33,12.694154103597006
AT34,12.217044099171956
BE10,11.481992197036742
BE23,11.042719634373983
BE24,11.959695545832316
BE25,11.059687312444051
BE31,11.857499088559832
BE32,11.362131452560424
BE33,11.984359073638917
BE34,11.762269496917725
BE35,12.507336950302124
BG31,8.134886733690898
BG32,7.428763620058695
BG33,6.6964236418406164
BG34,6.432356921831767
DE92,11.438717889785767
DE93,11.304010899861654
DE94,12.286258840560913
CZ07,10.377489964167276
CZ08,11.429034217198689
AL01,8.671408033370971
AL02,7.753225270907084
AL03,7.318904503186544
AT11,9.345216504165105
AT12,10.855462233225504
AT13,10.08390121459961
AT21,10.611302042007447
AT22,11.871060530344645
AT31,13.561737140019735
DK05,11.074926233291626
BE21,12.211125644048055
BE22,12.143252166112264
ES43,3.8803497354189553
ES51,5.169550994346881
ES52,3.5655492663383486
ES53,3.4476117193698883
ES61,2.9451201637585958
ES62,2.5245178123315175
ES63,2.800245558222135
ES64,1.9
CH02,12.94262717451368
CH03,13.969950897353035
CH04,13.079852088292439
CH05,11.848310200373332
CH06,12.45778652826945
CH07,8.930716212590536
CY00,2.5790979926075255
CZ01,9.274217398961385
CZ02,10.200431966781617
CZ03,11.491015481948853
CZ04,11.098433033625286
CZ05,11.132243712743124
CZ06,10.150356141726176
DE40,10.278894948959351
EL53,6.257546424865723
EL54,6.42475661327099
EL61,5.441480890909831
EL62,5.98124528725942
EL63,5.909289987881978
ES70,0.5500411272048951
ITC1,8.341503206888834
ITC2,10.07933570543925
DE11,12.245348040262858
DE12,12.393440945943196
DE13,13.040873800005231
DE14,13.388881053243365
DE21,13.166279808680217
DE22,12.087198448181152
DE23,11.674765380223592
DE24,11.345620489120483
DE25,11.673500585556031
DE26,11.264531024297078
DE27,13.072509368260702
DE30,10.081085014343262
EL42,3.0608640333016712
LV00,12.356949583689373
ME00,9.486578464508057
MK00,7.612945548693339
MT00,3.7001052021980287
NL11,12.536912457148235
NL12,12.721668434143066
EL64,4.936438194910685
EL65,3.6816503445307416
ES11,7.960923067728678
ES12,8.171298336982726
ES13,7.851137081782023
ES21,7.810845732688904
ES22,6.227323170365958
ES23,6.211039582888286
ES24,4.771723755474748
ES30,4.636631180842717
IE05,12.723973751068115
IE06,12.12601728439331
IS00,15.772322082519532
ITC3,7.352639513356345
FI19,11.059102725982665
FI1B,12.33789421717326
FI1C,12.11738224029541
DEA1,11.466335852940878
DEA2,11.83252903620402
DEA3,11.889952802658081
DEA4,11.537672185897828
DEA5,12.184244839350383
DEB1,11.373923031489054
DEB2,11.734223238627116
DEB3,11.498428885142008
DEC0,11.84051243464152
DED2,11.121233129501343
DED4,10.684691635767619
DED5,9.57866699695587
DEE0,10.661455011367797
DEF0,11.823245700200399
DEG0,10.65302517414093
DK01,10.636636590957641
DK02,10.728741470972697
DK03,11.663788890838623
DK04,10.995647875467936
ES41,5.507531181971232
ES42,4.190749887625376
HU23,8.865853341420491
HU31,8.59104638894399
HU32,8.78222796122233
HU33,8.233367363611857
IE04,14.857190831502278
EE00,12.632454744974773
EL30,2.9641134162743885
EL41,4.0143101414044695
EL43,2.991252847512563
EL51,5.2578591505686445
EL52,5.869565868377686
FI20,9.83862517674764
FR10,9.638892889022827
FRB0,9.513747485478719
FRC1,10.865952316919962
FRC2,12.48080562723094
FRD1,10.647312768300374
FRD2,10.906380716959635
FRE1,11.397367749895368
