nuts,August Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.7431909034649531
DE60,0.9333001852035523
DE71,0.6763583010683457
DE72,0.7333338568607967
DE73,0.8060434481749932
DE80,0.9889328552410006
DE91,0.8727346589167913
BG41,0.4006302216400703
BG42,0.3277626066158215
CH01,0.751277682185173
AT32,1.1472615060706934
AT33,1.0850571596374115
AT34,0.8810898785789808
BE10,0.6002235089739164
BE23,0.6359270960092545
BE24,0.577554268638293
BE25,0.625680344303449
BE31,0.5625748197237651
BE32,0.5772264578690132
BE33,0.6865921611587207
BE34,0.5521576907485723
BE35,0.5650229272743066
BG31,0.43856166942665975
BG32,0.36343988875548044
BG33,0.3634981429204345
BG34,0.3059205496683717
DE92,0.7267211327950159
DE93,0.786003625827531
DE94,0.8166335622469584
CZ07,0.9328938112904628
CZ08,0.9948227899769942
AL01,0.32987066091348727
AL02,0.29049736795326075
AL03,0.22884555968145529
AT11,0.7849386519442002
AT12,0.8613951268916329
AT13,0.76670723259449
AT21,0.7588043884063761
AT22,1.0397360268359384
AT31,1.0467523648714026
DK05,0.731170516833663
BE21,0.631134849290053
BE22,0.6419735692441464
ES43,0.060979563370347024
ES51,0.4873256226380666
ES52,0.31170441592112186
ES53,0.09863195332388083
ES61,0.06000621452306708
ES62,0.09461790776501099
ES63,0.03333333333333333
ES64,0.03333333333333333
CH02,0.8014039368058244
CH03,0.9763472860058149
CH04,0.9337026908993721
CH05,0.8673858277499675
CH06,0.9226194140811761
CH07,0.6152218461036683
CY00,0.06294027169545492
CZ01,0.9067501838008563
CZ02,0.8396904915571213
CZ03,0.8150438321133454
CZ04,0.7876479893301924
CZ05,0.90315577549239
CZ06,0.7063491702700655
DE40,0.6877024173736572
EL53,0.27697056358059247
EL54,0.20557584539055823
EL61,0.17246427964419125
EL62,0.09014561772346497
EL63,0.12957070376724006
ES70,0.0
ITC1,0.4957892737040917
ITC2,0.6216384599606196
DE11,0.9068107223138213
DE12,0.948620313157638
DE13,0.8679988763605555
DE14,0.9642129190266132
DE21,1.0113769832998514
DE22,0.9039633729184667
DE23,0.8001096463451783
DE24,0.9808908926943938
DE25,0.8222872478266557
DE26,0.7782996442168951
DE27,0.9131918898473184
DE30,0.6669509912530581
EL42,0.0151336337129275
LV00,0.9090817376971245
ME00,0.45396304229895273
MK00,0.2104972595969836
MT00,0.11664037108421325
NL11,0.7174719716111819
NL12,0.7382352960606416
EL64,0.11956828987846772
EL65,0.10067264009267092
ES11,0.24919915183757743
ES12,0.34745895490050316
ES13,0.4693583353112141
ES21,0.5386364669849475
ES22,0.47874799780547617
ES23,0.36876944787800314
ES24,0.3622486383964618
ES30,0.115767569343249
IE05,0.693900637080272
IE06,0.7409980865816276
IS00,1.0971369912226996
ITC3,0.24588108385602633
FI19,0.8503331849972408
FI1B,0.8071845250825087
FI1C,0.9046761628706008
DEA1,0.6598167027036349
DEA2,0.6692680378754934
DEA3,0.6382656916975975
DEA4,0.8015588675936063
DEA5,0.7741571754217148
DEB1,0.5789951448018352
DEB2,0.556128445888559
DEB3,0.7841324552893638
DEC0,0.6744836894174416
DED2,0.7149910673499107
DED4,0.8119292286535104
DED5,0.6606504447758198
DEE0,0.6963194164137045
DEF0,0.8679630902906259
DEG0,0.7929401505117615
DK01,0.7759617958217859
DK02,0.6813371376444896
DK03,0.8562837079167366
DK04,0.7476994977022211
ES41,0.22878561802208425
ES42,0.14967039176262914
HU23,0.714340424289306
HU31,0.784933399905761
HU32,0.7153926637644569
HU33,0.6249661998823285
IE04,1.031615860760212
EE00,0.9475692002102732
EL30,0.06368571979304155
EL41,0.035361723974347115
EL43,0.024437693630655608
EL51,0.2402507477129499
EL52,0.3372839105625947
FI20,0.8917043765385946
FR10,0.5426123020549615
FRB0,0.530860194688042
FRC1,0.6158341725046436
FRC2,0.6258681868513425
FRD1,0.6210438638925553
FRD2,0.7767008516937495
FRE1,0.6046572564790647
FRE2,0.5804369666303197
FRF1,0.7249920108666023
NL13,0.6612042660514513
NL21,0.6909375752011935
NL22,0.7166899976631006
NL23,0.869828404734532
NL31,0.7374649355808894
NL32,0.7926223444441954
ITG2,0.12891479500879843
ITH1,0.9294908846418063
ITH2,0.8594960376620293
FRI3,0.35026005807643135
FRJ1,0.3896375051699579
FRJ2,0.5299707484742006
FRK1,0.5485924330540002
FRK2,0.48180085389564437
FRL0,0.31352669885382056
FRM0,0.24370583506921928
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.04757733984539906
TR32,0.07589326556771994
TR33,0.07707361110175649
HR03,0.44148215518022577
HR02,0.7883787620812654
HU11,0.6500790139039357
HU12,0.7592773801336686
HU21,0.8893539428090056
HU22,0.7987661595145862
PT16,0.09150657197460532
PT17,0.013892914354801177
FRF2,0.6742718361318112
FRF3,0.7464510137836139
FRG0,0.3423533778016766
FRH0,0.45607458309580884
FRI1,0.5362672502795856
FRI2,0.7071876759330432
ITC4,0.5716820525626342
ITF1,0.38361484929919243
ITF2,0.24842466674745084
ITF3,0.2488515617325902
ITF4,0.19411402692397436
ITF5,0.20948571438590685
ITF6,0.2682320692266027
ITG1,0.12268572375178337
LT01,0.8181863788515329
LT02,0.8307288798193136
LU00,0.5299848256011804
PL22,0.9880635032430292
PL41,0.7651644378900528
PL42,0.832639201482137
PT18,0.049223179649561646
PT20,0.0
PT30,0.0
RO11,0.8399298347532749
RO12,0.9274377852678299
RO21,0.6157170661414663
RO22,0.46504378989338874
RO31,0.6025548746188482
RO32,0.5365094316502412
ITH3,0.6104763638228178
ITH4,0.5873812870432933
ITH5,0.46511180587112905
ITI1,0.3054218330420554
ITI2,0.4098349819580714
ITI3,0.3768008119116227
ITI4,0.3361337232713898
LI00,1.0994517117738725
FI1D,0.9222910170753796
TR82,0.2775888622738421
TR83,0.20937351963172357
TR90,0.4696164728452762
TRA1,0.2022337914444506
TRA2,0.3504464328289032
PL43,0.7408261355633537
PL51,0.8007023066282273
PL52,0.7465434030319253
PL61,0.7435022570192814
PL62,0.7412435861925284
PL63,0.807369927689433
PL71,0.703030350804329
PL72,0.9395108456412952
