nuts,June Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,1.3505506632583482
DE60,1.0762707044680913
DE71,1.0247812887032828
DE72,1.0754920927186806
DE73,1.355690061300993
DE80,0.9624790276090304
DE91,1.2325668913622698
BG41,0.7143353837231795
BG42,0.6065785760059953
CH01,1.3686258428330933
AT32,1.4057432820399602
AT33,1.598709131528934
AT34,1.6202442218859991
BE10,1.1877155378460884
BE23,0.7437775125106175
BE24,1.2241642155817576
BE25,0.7909155974785487
BE31,1.3247506082057954
BE32,1.0250375527888536
BE33,1.4043801168600718
BE34,1.0951099877556165
BE35,1.1868236557890972
BG31,0.6339998577410976
BG32,0.6685152894506852
BG33,0.7670144323658731
BG34,0.6559813542291522
DE92,1.304699851075808
DE93,1.1911407017282076
DE94,1.1449689522385598
CZ07,1.2275849948326747
CZ08,1.2566840852300325
AL01,0.5075287055866472
AL02,0.324274717643857
AL03,0.3007992292443911
AT11,1.011781135201454
AT12,1.1647658091038466
AT13,1.1256287028392156
AT21,1.3401139438152314
AT22,1.3611626714468001
AT31,1.3501153132567802
DK05,1.0109859048078458
BE21,0.9645492886858327
BE22,1.3911666095256805
ES43,0.0869087040113906
ES51,0.3060858969266216
ES52,0.14258404538656275
ES53,0.06803905169169108
ES61,0.1315832813769313
ES62,0.11068310639981566
ES63,0.044467830657958986
ES64,0.03333333333333333
CH02,1.7319352393349012
CH03,1.9335704773664475
CH04,1.5433465441068013
CH05,1.4143762732545535
CH06,1.482361755768458
CH07,0.9117944709956646
CY00,0.037055962905287745
CZ01,1.0149739960144306
CZ02,1.1628539795676867
CZ03,1.1921908617019654
CZ04,1.2750435971787997
CZ05,1.3154902208064283
CZ06,1.1944489824275175
DE40,0.927667805676659
EL53,0.3114689232160648
EL54,0.17875110159317653
EL61,0.20995355347792308
EL62,0.12307620846799441
EL63,0.14356024283915758
ES70,0.02499996026357015
ITC1,0.7062828432768583
ITC2,0.9885937934120496
DE11,1.1957718486587205
DE12,1.2497543106476465
DE13,1.7406581491231918
DE14,1.655384009970086
DE21,1.4228234393522143
DE22,1.2573446253935496
DE23,1.1423456897959112
DE24,1.2052922435104847
DE25,1.0801313571631908
DE26,1.0436804673767515
DE27,1.57976838996013
DE30,0.7044037029147148
EL42,0.0380773807875812
LV00,1.1846306010016374
ME00,0.5862917345638077
MK00,0.5196718548734983
MT00,0.008320185045401255
NL11,1.1357472931345305
NL12,1.015769873559475
EL64,0.17918828635343484
EL65,0.08230596619347731
ES11,0.2581140361415843
ES12,0.6409789464126031
ES13,0.5787284066279729
ES21,0.5719203758856346
