nuts,Winter Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,2.5519073645273846
DE60,2.4097697337468467
DE71,2.2758773783842723
DE72,2.2644118438164393
DE73,2.4394155671199163
DE80,2.4874255418777467
DE91,2.2810223668813707
BG41,1.6450500537951787
BG42,1.3367730025822917
CH01,2.63412030339241
AT32,2.508026458819707
AT33,2.4113185743490857
AT34,2.4836262131730718
BE10,2.466666666666667
BE23,2.399515116214752
BE24,2.3891868889331818
BE25,2.310694358994563
BE31,2.320015921195348
BE32,2.2278859396775563
BE33,2.655915705362956
BE34,2.5801729927460353
BE35,2.5709264566500982
BG31,1.6289881219466527
BG32,1.425718205422163
BG33,1.3035763576626778
BG34,1.3071585805465777
DE92,2.3197307879726092
DE93,2.334536521633466
DE94,2.5458025127649306
CZ07,2.1330394486586255
CZ08,2.3257354458173114
AL01,2.311742391685645
AL02,2.1582072963317236
AL03,1.9658259563768903
AT11,1.5918716959655286
AT12,1.8635357518990834
AT13,1.4254664460817972
AT21,1.6816520035266875
AT22,1.9151565253734588
AT31,2.4727372114857036
DK05,2.2468598991632462
BE21,2.3691498825947446
BE22,2.3618339200814567
ES43,1.2579389741023381
ES51,1.122236101826032
ES52,0.8210032881548007
ES53,1.1796752368410428
ES61,1.054604454090198
ES62,0.7215992119163275
ES63,1.2890409032503765
ES64,0.7666666666666667
CH02,2.8406981989741324
CH03,2.995961529016495
CH04,2.5471715480089188
CH05,2.368764986594518
CH06,2.592467420299848
CH07,1.7804266653954983
CY00,1.5896308372418086
CZ01,1.893423816561699
CZ02,1.985495521624883
CZ03,2.208731856942177
CZ04,2.289488739768664
CZ05,2.323826751112938
CZ06,1.8364736769969265
DE40,2.092989342411359
EL53,1.6641765495141347
EL54,1.9949782947699228
EL61,1.8781736940145493
EL62,2.127093506852786
EL63,1.9771301011244455
ES70,0.4748981475830078
ITC1,1.3668296724557876
ITC2,2.1209614912668866
DE11,2.6598268608252207
DE12,2.6768851935863496
DE13,2.7485786120096845
DE14,2.8131101608276365
DE21,2.576578199863434
DE22,2.4663455059130985
DE23,2.399196635745466
DE24,2.368571505943934
DE25,2.4641275549928348
DE26,2.342817497253418
DE27,2.727271786828836
DE30,1.9783609241247178
EL42,1.7930350959300996
LV00,2.34729686776797
ME00,2.3052285832663375
MK00,1.7496440450350443
MT00,1.4085305551687877
NL11,2.3879809315005938
NL12,2.571884436905384
EL64,1.97354137301445
EL65,1.7409858763217927
ES11,2.3325736239552497
ES12,2.2726991126934686
ES13,1.9917971601088842
ES21,2.2324068994571764
ES22,1.8598445067803064
ES23,1.7645470678806305
ES24,1.25957479874293
ES30,1.2624326867361864
IE05,2.626125111182531
IE06,2.3702274821698666
IS00,3.0151732842127483
ITC3,1.4510506923000017
FI19,1.8150549165904521
FI1B,2.280785406132539
FI1C,2.1987451702356338
DEA1,2.5607245403031507
DEA2,2.734751013914744
DEA3,2.574766829609871
DEA4,2.5219088633855185
DEA5,2.7551831980546315
DEB1,2.4071841220060985
DEB2,2.375354079405467
DEB3,2.314256642262141
DEC0,2.4052082856496173
DED2,2.2605078456302485
DED4,2.477516519029935
DED5,2.2887868732213974
DEE0,2.1003438254197437
DEF0,2.50772633155187
DEG0,2.29050674661994
DK01,2.271264761686325
DK02,2.287134325504303
DK03,2.2994488298892977
DK04,2.1693233013153077
ES41,1.6903560106952986
ES42,1.246043748036027
HU23,1.6573171064257621
HU31,1.7370979393521944
HU32,1.732463376534482
HU33,1.6611923744281134
IE04,2.897233740488688
EE00,2.2957939227422077
EL30,1.4039669316262007
EL41,1.8444110751152039
EL43,1.735095645984014
EL51,1.2793472406764825
EL52,1.5593197921911874
FI20,2.4237513800462085
FR10,2.206665969391664
FRB0,2.3893110305070877
FRC1,2.5453999042510986
FRC2,2.8561150630315146
FRD1,2.504441652695338
FRD2,2.187466565767924
FRE1,2.308434194326401
FRE2,2.2182498296101887
FRF1,2.9011707603931427
NL13,2.147460490465164
NL21,2.2242050687472026
NL22,2.2586455489198367
NL23,2.1843826790650684
NL31,2.225327265262604
NL32,2.8064994255701703
ITG2,1.3484075233340262
ITH1,1.891872172554334
ITH2,1.536013482014338
FRI3,2.256362074613571
FRJ1,1.606021187826991
FRJ2,1.9961103916168212
FRK1,2.358830960591634
FRK2,2.1997680107752484
FRL0,1.413970764229695
FRM0,1.4543393244345983
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,1.640305322408676
TR32,1.65444162885348
TR33,1.5126864969730378
HR03,2.053632614016533
HR02,1.8973199367523192
HU11,1.59168641269207
HU12,1.7050527741511663
HU21,1.707177349179983
HU22,1.5635500891755025
PT16,1.7126278253893057
PT17,1.563858321805795
FRF2,2.477996895710627
FRF3,2.6425886968771617
FRG0,2.1336613128582638
FRH0,2.4310508529345194
FRI1,2.1660906314849853
FRI2,2.601084440946579
ITC4,1.3536711871623992
ITF1,1.6394471163551012
ITF2,1.6374741395314534
ITF3,1.9164976969361305
ITF4,1.5406538546085358
ITF5,1.5278699124852817
ITF6,1.9144488920768101
ITG1,1.5881301442782083
LT01,2.5251799513896307
LT02,2.4366331060727435
LU00,2.341161892563105
PL22,2.2850989003976188
PL41,2.300040610631307
PL42,2.4163701054950555
PT18,1.2086031566063562
PT20,0.0
PT30,0.0
RO11,2.065371257066727
RO12,1.8213246603806814
RO21,1.763969054321448
RO22,1.4630832213597993
RO31,1.3184630184123913
RO32,1.1600568041205406
ITH3,1.3473996942241986
ITH4,1.4955585201581318
ITH5,1.358130648980538
ITI1,1.4762032488981882
ITI2,1.6319796080390612
ITI3,1.5178108898301919
ITI4,1.7510514151925842
LI00,2.7662750254074733
FI1D,2.0008795152107877
TR82,2.2550903141498564
TR83,1.9317440648873647
TR90,2.320700873931249
TRA1,1.9966679950555166
TRA2,2.049298451344172
PL43,2.0930561552445095
PL51,2.2729242563247682
PL52,2.139027883609136
PL61,2.175812894105911
PL62,2.2175345846762258
PL63,2.3741214086612064
PL71,2.1428125421206157
PL72,2.1588700463374457
PL81,2.2987846424182257
PL82,2.4791177928447725
PL84,2.250055019060771
PL91,2.2559737796584765
PL92,2.156225113073985
PT11,1.847414739926656
PT15,1.0549249678850174
TRB1,2.190435532728831
TRB2,2.188930968940258
TRC1,2.1037841498851777
RS12,1.7782988419135413
RS21,1.9495785236358643
RS22,1.851676132902503
SE11,2.065251656373342
SE12,2.008847776055336
NL33,2.541121860345205
NL34,2.5111316993832586
NL41,2.3914276391267775
NL42,2.314734320839246
PL21,2.424368120233218
UKM6,3.4246828675270082
TR22,1.7472236315409342
TRC2,1.7587968707084656
TRC3,1.643140417834123
UKC1,2.571554112434387
UKC2,2.44942822655042
UKD1,2.7367462674776712
UKD3,2.5992131173610686
UKD4,2.6808175832033156
UKD6,2.4481677850087484
UKD7,2.717654585838318
UKE1,2.1269389455517134
UKE2,2.361022945245107
UKE3,2.046062390009562
RO41,1.4390329415599505
RO42,1.879813802242279
RS11,1.6684193720420202
TR41,1.8607789754867554
TR42,2.338853504260381
TR51,1.6401735891898472
TR52,1.498576495051384
TR61,1.6341281513373056
TR62,1.7370455980300903
TR63,1.9321035901705423
TR71,1.633774037162463
TR72,1.71600305189689
TR81,2.7129410405953727
UKK1,2.2934306201835475
UKK2,2.420713276912769
UKK3,3.00929088195165
UKK4,2.6337406396865846
UKL1,2.70042892297109
UKL2,2.3215783834457397
UKM5,2.7885390798250835
UKM7,2.7209763407707213
UKM8,2.749061851700147
UKM9,2.8718298375606537
UKN0,2.7087751626968384
SE21,2.0859085460503897
SE22,2.1310073763132094
SE23,1.923153218626976
SE31,2.0562917361656825
SE32,2.3030097524325055
SE33,2.197841008504232
SI03,1.7404554987947145
SI04,1.7100736315051714
SK01,1.5758177081743876
SK02,1.9681361004710198
SK03,2.0802094380060834
SK04,2.0590438703695932
TR10,2.3774589757124582
TR21,1.5880233347415924
UKE4,2.292216888566812
UKF1,2.0182955155769986
UKF2,1.997036390999953
UKF3,2.0235947111000616
UKG1,2.1389298180739087
UKG2,2.1187473833560944
UKG3,2.13917296230793
UKH1,2.2379663874705633
UKH2,2.022035838663578
UKH3,2.297307566801707
UKI3,2.066666666666667
UKI4,2.066666666666667
UKI5,2.086600594719251
UKI6,2.1112324655056
UKI7,2.0442813326915106
UKJ1,2.0633746176958083
UKJ2,2.27316348751386
UKJ3,2.372111095984777
UKJ4,2.049371373653412
NO09,2.399423158168793
NO0A,3.46904736161232
NO0B,3.338979264100393
HR05,1.8444278478622436
HR06,1.702577278514703
NO02,2.3431253453095753
NO06,2.931399317582448
NO07,2.769840035835902
NO08,2.1495775481065116
