nuts,Autumn Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,2.617796275516351
DE60,2.6885476132233936
DE71,2.5343078643083574
DE72,2.38647633989652
DE73,2.3425282458464305
DE80,2.249014444152514
DE91,2.509617612759272
BG41,1.7191113382577896
BG42,1.4350088842213153
CH01,2.3578584512074787
AT32,2.3773346761862437
AT33,2.3403991987307866
AT34,2.566181621948878
BE10,2.5415549034873646
BE23,2.485557144880295
BE24,2.36127503340443
BE25,2.742943059404691
BE31,2.4957751512527464
BE32,2.45677756943873
BE33,2.5762317138058797
BE34,2.425358404715856
BE35,2.5412156273211752
BG31,1.6433741306265195
BG32,1.4695976028839748
BG33,1.4955482464283705
BG34,1.4542256125382014
DE92,2.4504077156384785
DE93,2.569897978504499
DE94,2.6377195517222085
CZ07,2.1998971179127693
CZ08,2.3038373569647472
AL01,2.1637032247458894
AL02,1.8981585284074147
AL03,1.917626050611337
AT11,2.07523645957311
AT12,2.178254947066307
AT13,2.3216893268483028
AT21,2.1800186852614085
AT22,2.231373194853465
AT31,2.2877335580331937
DK05,2.5061839322249093
BE21,2.2718672772248585
BE22,2.451637820402781
ES43,1.0235740678451424
ES51,1.4306328095495702
ES52,0.9847033629814784
ES53,1.231886628749115
ES61,0.8896218862916742
ES62,0.8527871560305357
ES63,0.9330877641836802
ES64,0.5
CH02,2.3660519399813245
CH03,2.387276969353358
CH04,2.6447554836670557
CH05,2.2677863240242004
CH06,2.4578969200452168
CH07,1.8545284579197565
CY00,0.6057856480280558
CZ01,2.060542915761471
CZ02,2.0403756032387417
CZ03,2.2255634739995003
CZ04,2.2843194657138417
CZ05,2.313120825091998
CZ06,1.998361384868622
DE40,2.16856210231781
EL53,1.368224024772644
EL54,1.751719065507253
EL61,1.4522224739193916
EL62,1.7910802284876506
EL63,1.652784346540769
ES70,0.3749353970800127
ITC1,1.9414362822969755
ITC2,2.057627307517188
DE11,2.4297195345163347
DE12,2.676092251141866
DE13,2.540088951587677
DE14,2.3894864271084466
DE21,2.4318978658744266
DE22,2.1229766021172205
DE23,2.3273824036121367
DE24,2.38914299706618
DE25,2.418563759326935
DE26,2.3813573688268663
DE27,2.402087351679802
DE30,2.185471143041338
EL42,0.6701901699105899
LV00,2.8516627589861554
ME00,2.349250825246175
MK00,1.6904601228733858
MT00,1.300289271771908
NL11,2.8909578283627826
NL12,3.2313934485117595
EL64,1.271163142153195
EL65,0.9570789212094886
ES11,1.8728848139444987
ES12,2.1281060480645726
ES13,2.096153958638509
ES21,1.9545255643980843
ES22,1.6064891864856083
ES23,1.4406553182218755
ES24,1.128244821514402
ES30,1.3279295310378074
IE05,2.482452099521955
IE06,2.368962127218644
IS00,3.4935949643452964
ITC3,1.8860398004452388
FI19,2.452533131837845
FI1B,2.676414219538371
FI1C,2.7719372669855753
DEA1,2.4406050900618235
DEA2,2.609371379283922
DEA3,2.5117524320880573
DEA4,2.5942692985137303
DEA5,2.5218301127354303
DEB1,2.3224224776029585
DEB2,2.2521220246950784
DEB3,2.4266361196835837
DEC0,2.3814665732284386
DED2,2.560544385441712
DED4,2.4236256182193756
DED5,2.226898794727666
DEE0,2.1016036053498586
DEF0,2.747611199816068
DEG0,2.2490283866723377
DK01,2.770507949590683
DK02,2.7540846268335977
DK03,2.8065883040428163
DK04,2.6852867702643075
ES41,1.4213928997516632
ES42,1.0400243803237876
HU23,1.9121744722127914
HU31,1.8548109659126826
HU32,2.0494412476817767
HU33,1.8096528748671215
IE04,3.151112393538157
EE00,3.101719605922699
EL30,0.7070409948627154
EL41,0.8860321617374818
EL43,0.8316082951923212
EL51,1.282977023658653
EL52,1.4925200683729989
FI20,2.91134469807148
FR10,2.1963578363259635
FRB0,2.14131737947464
FRC1,2.087652951478958
FRC2,2.3008727381626763
FRD1,2.352644507090251
FRD2,2.6157879339797154
