nuts,February Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2011 - 2040)
DE50,0.6860759809613228
DE60,0.5001643935839335
DE71,0.5722299312551816
DE72,0.6077006300290425
DE73,0.644797216479977
DE80,0.6653938248132666
DE91,0.6875155714650949
BG41,0.553361396988233
BG42,0.460727446526289
CH01,0.7442011781036854
AT32,0.728917782753706
AT33,0.7839842536797126
AT34,0.7069326490163803
BE10,0.7584897910555204
BE23,0.7795115006466706
BE24,0.6918976314365863
BE25,0.7686876351634662
BE31,0.7499889254570007
BE32,0.7766049298147361
BE33,0.7682440680762131
BE34,0.6981886263936758
BE35,0.7197835306326549
BG31,0.4619309475645423
BG32,0.49051960023740926
BG33,0.47090810127556326
BG34,0.4828048100695014
DE92,0.7144498708968361
DE93,0.6247686825692653
DE94,0.6290720686937372
CZ07,0.7497720919549465
CZ08,0.6984673660248518
AL01,0.8394327191015084
AL02,0.7573894778887431
AL03,0.7701050418739518
AT11,0.538296627253294
AT12,0.5457214332496126
AT13,0.49188975195089973
AT21,0.6101122150818507
AT22,0.6401420726130406
AT31,0.7353667847191294
DK05,0.5724295665820439
BE21,0.6782951419552167
BE22,0.6838115130861601
ES43,0.4400063518124322
ES51,0.46694932617247104
ES52,0.2673617562899987
ES53,0.32599527562657993
ES61,0.40046574735703566
ES62,0.2704455189406872
ES63,0.42230407198270165
ES64,0.23333333333333334
CH02,0.8670954252282779
CH03,0.8368658766150474
CH04,0.6665434539318085
CH05,0.6837063446640969
CH06,0.8230946720888217
CH07,0.606207138299942
CY00,0.5347472590704759
CZ01,0.5334725479284922
CZ02,0.544201672449708
CZ03,0.5234749423960845
CZ04,0.5841566267733772
CZ05,0.7377297511324287
CZ06,0.6239290851478775
DE40,0.6548428015162547
EL53,0.6251237638294697
EL54,0.7940201081335545
EL61,0.6801290690898896
EL62,0.7571843919654687
EL63,0.7892538582906127
ES70,0.17512237826983135
ITC1,0.4131471953044335
ITC2,0.6378661846121152
DE11,0.6332265364627043
DE12,0.6337544976423184
DE13,0.7318837465718389
DE14,0.7341436838110288
DE21,0.8015332761531074
DE22,0.642423864081502
DE23,0.6182937697197001
DE24,0.7007678784430027
DE25,0.49486851369341217
DE26,0.5172711588442326
DE27,0.7383519782374303
DE30,0.5793088033795357
EL42,0.532781740029653
LV00,0.6494857443496584
ME00,0.841164150647819
MK00,0.6467389201124509
MT00,0.5500788976748784
NL11,0.5532967785994212
NL12,0.5520726005236308
EL64,0.6305038530379534
EL65,0.5234532262509067
ES11,0.5509379255274932
ES12,0.7282821455349525
ES13,0.7647889822721481
ES21,0.808506856734554
ES22,0.6690365911150972
ES23,0.6046113487333059
ES24,0.4615686928232511
ES30,0.4652779970318079
IE05,0.7648701938490073
IE06,0.6449035454541445
IS00,0.987370943526427
ITC3,0.4448124056061109
FI19,0.4639246955513954
FI1B,0.5194432667767008
FI1C,0.48342559961602094
DEA1,0.7430064141750335
DEA2,0.8252561510850985
DEA3,0.7794223234057427
DEA4,0.7681582810978095
DEA5,0.7975901938974858
DEB1,0.6311594101289908
DEB2,0.7130206905305385
DEB3,0.5691016846646865
DEC0,0.5512527614831925
DED2,0.6945467499395211
DED4,0.7105688242862622
DED5,0.6321085910002391
DEE0,0.6062443527082603
DEF0,0.5625130767002702
DEG0,0.5683448535700639
DK01,0.6395686250180006
DK02,0.5727671721329292
DK03,0.6233930853505929
DK04,0.6515943520391981
ES41,0.5224643519458672
ES42,0.4024838088080287
HU23,0.6817975495010614
HU31,0.5991057836761077
HU32,0.737019359258314
HU33,0.6428811044742664
IE04,0.813230159630378
EE00,0.5994504385317365
EL30,0.4192655476431052
EL41,0.6171808866163094
EL43,0.5576509260882934
EL51,0.44491303426524004
EL52,0.5525977691014607
FI20,0.5405532571176688
FR10,0.546187433352073
FRB0,0.732939435231189
FRC1,0.7606822588170569
FRC2,0.7707452160616716
FRD1,0.68540586506327
FRD2,0.6474171557153264
FRE1,0.7238013404731949
FRE2,0.596043010490636
FRF1,0.6732648036132256
NL13,0.5700465137759845
NL21,0.6117009783784548
NL22,0.6941098925968011
NL23,0.5308705295125643
NL31,0.6585670838753382
NL32,0.559503656377395
ITG2,0.4299179577579101
ITH1,0.6169936515390873
ITH2,0.49501958191394807
FRI3,0.7322079047560692
FRJ1,0.5171191688627005
FRJ2,0.6157094868520896
FRK1,0.7273841241995493
FRK2,0.6536618690937758
FRL0,0.40225032238910596
FRM0,0.4570474669337273
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.6135551563153664
TR32,0.6240228017171224
TR33,0.5792868076513211
HR03,0.635802685127904
HR02,0.6593293957412243
HU11,0.6670617361863455
HU12,0.6812428207447131
HU21,0.6419843347743154
HU22,0.5690850605567296
PT16,0.5124268388996521
PT17,0.4555720244844755
FRF2,0.6497572394708793
FRF3,0.654449635806183
FRG0,0.578584632401665
FRH0,0.7109294238500297
FRI1,0.656183003137509
FRI2,0.7677036106586457
ITC4,0.4350140261774262
ITF1,0.4837466002131502
ITF2,0.4711204249411821
ITF3,0.7058404183636109
ITF4,0.5497268478696545
ITF5,0.5725248331824938
ITF6,0.7325648579746484
ITG1,0.6244634407882889
LT01,0.6087052901585897
LT02,0.6926282960921526
LU00,0.5914368020991484
PL22,0.8133754720290501
PL41,0.6269369939963023
PL42,0.7338556358901163
PT18,0.4719590612997611
PT20,0.0
PT30,0.0
RO11,0.7590303319195907
RO12,0.5935763721043865
RO21,0.5646858125925064
RO22,0.32734660695617396
RO31,0.4975273563526571
RO32,0.4797280984620253
ITH3,0.46928422823548316
ITH4,0.5744131614764532
ITH5,0.37907088979457815
ITI1,0.5503092639148235
ITI2,0.5934512160718441
ITI3,0.43150241325298944
ITI4,0.6497429378951589
LI00,0.6665100117524465
FI1D,0.5406082453827064
TR82,0.6792709200022121
TR83,0.6605473338626325
TR90,0.7471523037180304
TRA1,0.7185849925192694
TRA2,0.7495535721381505
PL43,0.6634338075915972
PL51,0.8149004480491082
PL52,0.7113991618156433
PL61,0.6735584409286578
PL62,0.6934389824668566
PL63,0.7329188895101348
PL71,0.6792807129522165
PL72,0.6838051852459709
PL81,0.7163130956391494
PL82,0.7995778469368815
PL84,0.7418784126639366
PL91,0.6045895164211591
PL92,0.6817598149801294
PT11,0.5434505465130012
PT15,0.44983672462403773
TRB1,0.6433141514038047
TRB2,0.5607199197014173
TRC1,0.6964615553617477
RS12,0.5490376088768244
RS21,0.6722102927354475
RS22,0.6330595149348179
SE11,0.549154716419677
SE12,0.5225880866559843
NL33,0.6464906394481659
NL34,0.694556392977635
NL41,0.6963587284088135
NL42,0.7611036511758963
PL21,0.8263908977309863
UKM6,0.9988664150238037
TR22,0.7117684207856655
TRC2,0.6884590726345777
TRC3,0.6021991295119127
UKC1,0.7133604871730009
UKC2,0.6390577840308348
UKD1,0.7685606051236391
UKD3,0.8008855516711871
UKD4,0.7946712049345176
UKD6,0.8334220287700495
UKD7,0.8777342756589254
UKE1,0.5524889213343461
UKE2,0.6115848431984584
UKE3,0.5699113592505455
RO41,0.4835258826613426
