nuts,December Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.6666666651765506
DE60,0.6941913430889447
DE71,0.7600415429721276
DE72,0.75607865229249
DE73,0.7574432200441757
DE80,0.6472357007364432
DE91,0.726628948499759
BG41,0.5635976509501537
BG42,0.5264129516979058
CH01,0.7276406136651834
AT32,0.7611098815997441
AT33,0.7211784774437546
AT34,0.7428107254207135
BE10,0.6750223497549693
BE23,0.6692052076260249
BE24,0.6861334602038066
BE25,0.6831472930808862
BE31,0.695863817135493
BE32,0.6843632757663727
BE33,0.7942197094360988
BE34,0.7814223486930132
BE35,0.7597210216025512
BG31,0.5100670406594873
BG32,0.464074115951856
BG33,0.46601943572362264
BG34,0.5156003812948863
DE92,0.6992664620280266
DE93,0.6729665988435348
DE94,0.705248998105526
CZ07,0.6607058977087339
CZ08,0.6905007263024648
AL01,0.73219513297081
AL02,0.6869277519484361
AL03,0.7038900085414449
AT11,0.496366323530674
AT12,0.6137805754939715
AT13,0.5416869481404623
AT21,0.5518511338780324
AT22,0.641478144004941
AT31,0.753644723755618
DK05,0.7085542526096106
BE21,0.6762126763661702
BE22,0.7195615212122599
ES43,0.5014590165577829
ES51,0.39208588761587937
ES52,0.355554900256296
ES53,0.434324407701691
ES61,0.4692582292171816
ES62,0.3187102943658829
ES63,0.6554970820744832
ES64,0.3333333333333333
CH02,0.7512794453029831
CH03,0.7466729924082756
CH04,0.7185968461136023
CH05,0.6904704224318265
CH06,0.7616714446494977
CH07,0.5783917595942815
CY00,0.4814170268674692
CZ01,0.5933542162179947
CZ02,0.6281039485086998
CZ03,0.6613532814507683
CZ04,0.6821367871637146
CZ05,0.7140655684595306
CZ06,0.5911155266066392
DE40,0.6501161611328522
EL53,0.6068495570371548
EL54,0.7441577044626076
EL61,0.6429378652945161
EL62,0.7898600609352191
EL63,0.7428854155043761
ES70,0.32851381997267404
ITC1,0.5350849937647582
ITC2,0.6643455912669499
DE11,0.7595618509377042
DE12,0.7815260802706082
DE13,0.7569761452575524
DE14,0.7233260713517666
DE21,0.729162285476923
DE22,0.7203256517648697
DE23,0.7276404840871692
DE24,0.7746298188964525
DE25,0.7369632255285978
DE26,0.7644832164049149
DE27,0.72236202750355
DE30,0.6333333283662796
EL42,0.5995603719726205
LV00,0.7027246714880069
ME00,0.7342637757460276
MK00,0.5828167367105682
MT00,0.6416798119743665
NL11,0.7086579198638598
NL12,0.7872714551786582
EL64,0.6438687456771731
EL65,0.6327140064289173
ES11,0.7606184440044065
ES12,0.7752215832471847
ES13,0.7331321787089109
ES21,0.738362950583299
ES22,0.6114314436912537
ES23,0.5928594657530387
ES24,0.43781734388321636
ES30,0.4972900270173947
IE05,0.7797099415212869
IE06,0.7032368099937837
IS00,0.9632971189916134
ITC3,0.5756152734160424
FI19,0.6072109957846502
FI1B,0.717500241783758
FI1C,0.686637066071853
DEA1,0.7407940254857143
DEA2,0.7904863439500331
DEA3,0.7207890823483467
DEA4,0.7398015489180882
DEA5,0.8001290669043859
DEB1,0.7559725244219104
DEB2,0.7629296192278464
DEB3,0.727901894475023
DEC0,0.7589793615043163
DED2,0.728958860039711
DED4,0.7614139686028163
DED5,0.7063922134538492
DEE0,0.6684953718135754
DEF0,0.6797431823487083
DEG0,0.7425241202736894
DK01,0.7039739934106668
DK02,0.6598910888656974
DK03,0.6616591017693281
DK04,0.674717161556085
ES41,0.5667089531198144
ES42,0.4640639826655388
HU23,0.5065424185867111
HU31,0.5006026169285178
HU32,0.5202306517089407
HU33,0.49938118942081927
IE04,0.8714754607528448
EE00,0.7028479029424488
EL30,0.508208234483997
EL41,0.6405921210845311
EL43,0.6352814042319854
EL51,0.5353043997039397
EL52,0.5431486057738463
FI20,0.7707173825552066
FR10,0.6522369772195816
FRB0,0.6518788699060678
FRC1,0.7274005467072129
FRC2,0.7744788796951373
FRD1,0.7315662159894903
FRD2,0.6995804666851958
FRE1,0.6906597569584847
FRE2,0.6726447890202204
FRF1,0.7744135271757842
NL13,0.6750440508127212
NL21,0.6961033518115679
NL22,0.6869145897527535
NL23,0.7229018996159235
NL31,0.6874883155028025
NL32,0.7921803042292594
ITG2,0.5657689040526748
ITH1,0.584911451737086
ITH2,0.46525641083717345
FRI3,0.6398027976353963
FRJ1,0.5407834905199707
FRJ2,0.6399511579424143
FRK1,0.7034608482072751
FRK2,0.6501362979412079
FRL0,0.4904420016954342
FRM0,0.627483656257391
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.6403849888592958
TR32,0.5828870877623558
TR33,0.5288145635277033
HR03,0.6619169992705186
HR02,0.5746490055074295
HU11,0.4749802430470785
HU12,0.48883810577293235
HU21,0.507371041799585
HU22,0.49181024910261234
PT16,0.5999601356995602
PT17,0.594433031976223
FRF2,0.7339276803657413
FRF3,0.7679131836009522
FRG0,0.642439603805542
FRH0,0.7487938759227594
FRI1,0.6537833608376483
FRI2,0.7210268955677748
ITC4,0.4757288833769659
ITF1,0.6535121594866117
ITF2,0.6529549664507309
ITF3,0.6993938649694125
ITF4,0.5807135415573915
ITF5,0.584011601905028
ITF6,0.6995590147872766
ITG1,0.6386436638732751
LT01,0.6962688871969779
LT02,0.6841163277315597
LU00,0.7511310497919719
PL22,0.6987564014891784
PL41,0.6321344869211316
PL42,0.6686531487852335
PT18,0.5219048488885164
PT20,0.0
PT30,0.5990120247006416
RO11,0.6291090546175837
RO12,0.5729798305469255
RO21,0.47949271040658153
RO22,0.40105510636543235
RO31,0.4333861019772788
RO32,0.409971409291029
