nuts,March Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.747619125743707
DE60,0.7276567623019219
DE71,0.761061738183101
DE72,0.7788238340367873
DE73,0.7833246472602089
DE80,0.6613806463157137
DE91,0.7678749353314439
BG41,0.6186547289292018
BG42,0.5596383171156049
CH01,0.7868854025999705
AT32,0.8729142734160026
AT33,0.8385816656053067
AT34,0.8499329760670662
BE10,0.7583556920289993
BE23,0.712886490424474
BE24,0.7583556878070037
BE25,0.6976199445625146
BE31,0.7708693573872248
BE32,0.7545562701920668
BE33,0.841262008373936
BE34,0.814755754172802
BE35,0.8140852322181066
BG31,0.5491809012989203
BG32,0.5170530234153072
BG33,0.5016899665196737
BG34,0.5206321743627389
DE92,0.762817565475901
DE93,0.7378286004687349
DE94,0.7548361103360851
CZ07,0.6699786254515251
CZ08,0.7047863354285558
AL01,0.6560149051249027
AL02,0.6166065185020367
AL03,0.6260216391955813
AT11,0.5630752836664518
AT12,0.6764886231472095
AT13,0.6083536148071289
AT21,0.6528590018550555
AT22,0.7420690601070722
AT31,0.8221596835801999
DK05,0.652000684166948
BE21,0.7333980036278566
BE22,0.788943673670292
ES43,0.347706415442129
ES51,0.4215090716878573
ES52,0.31424661974112195
ES53,0.29242902658879755
ES61,0.3478245098764698
ES62,0.2780459258705378
ES63,0.4221988320350647
ES64,0.3333333333333333
CH02,0.8152737298980355
CH03,0.8066698268055916
CH04,0.7852986916899681
CH05,0.7600365120296677
CH06,0.8366637113193671
CH07,0.6177393103639285
CY00,0.3753139610091845
CZ01,0.6467293078700701
CZ02,0.6686070735255877
CZ03,0.7183382146060466
CZ04,0.7086335747192304
CZ05,0.7224782282486558
CZ06,0.622861367960771
DE40,0.6752392197648684
EL53,0.5901005660494169
EL54,0.6511532383660475
EL61,0.5713501043617726
EL62,0.5650926458338896
EL63,0.6331576322515805
ES70,0.22363651605943838
ITC1,0.5405836505504946
ITC2,0.6998606945077578
DE11,0.7675796737894416
DE12,0.7804204452782869
DE13,0.7961821778987844
DE14,0.7834330558776855
DE21,0.7973928599928816
DE22,0.745355486869812
DE23,0.7397327011451125
DE24,0.7688553481052319
DE25,0.7407122064381838
DE26,0.7558839015662671
DE27,0.7937618475407362
DE30,0.6708333392937978
EL42,0.3774044432987769
LV00,0.6162515337268512
ME00,0.6963099870830775
MK00,0.5731360183407863
MT00,0.3166666681567828
NL11,0.7421599544584752
NL12,0.7402851146956285
EL64,0.5577016959587733
EL65,0.512262996720771
ES11,0.638963339664042
ES12,0.7171179595092932
ES13,0.6966404447952906
ES21,0.6944108155866464
ES22,0.5638061386843523
ES23,0.534977213665843
ES24,0.3956836540872852
ES30,0.38240193426609037
IE05,0.796759309899062
IE06,0.7657663697376847
IS00,0.9707696075240771
ITC3,0.5088399441291889
FI19,0.5042473478863637
FI1B,0.5223801843822002
FI1C,0.5252711837490399
DEA1,0.7885575001438458
DEA2,0.8286114189773798
DEA3,0.7759382555882136
DEA4,0.7903324330846468
DEA5,0.8398517648379008
DEB1,0.7861558593809604
DEB2,0.7887605469673872
DEB3,0.7376107595860958
DEC0,0.7640824327866237
DED2,0.7423234522342682
DED4,0.7800656906018655
DED5,0.7126478765159845
DEE0,0.7032053805887699
DEF0,0.706672589480877
DEG0,0.7565441049014529
DK01,0.6104392856359482
DK02,0.6158411457513769
DK03,0.6855161264538765
DK04,0.6695517347504695
ES41,0.4766132426292946
ES42,0.3710082399037977
HU23,0.5082235721250375
HU31,0.48441788318256535
HU32,0.5010456518580516
HU33,0.48682705108076335
IE04,0.9433291301131248
EE00,0.5681488757176946
EL30,0.3937504328787327
EL41,0.41037972941994666
EL43,0.4387006898721059
EL51,0.5145327773566047
EL52,0.5186784395327171
FI20,0.46273542381823063
FR10,0.6675310579439004
FRB0,0.6387890294194222
FRC1,0.7090612957254052
FRC2,0.7779560795674721
FRD1,0.6843894397219022
FRD2,0.7032778205970923
FRE1,0.7203228638196985
FRE2,0.7138227015733719
FRF1,0.7878915832688411
NL13,0.7333333358168602
NL21,0.7431974858045578
NL22,0.7449036081631978
NL23,0.7461538250247638
NL31,0.7333099544048309
NL32,0.7352248194317023
ITG2,0.453893874771893
ITH1,0.6621773501237234
ITH2,0.5547144626577695
FRI3,0.5917475732664267
FRJ1,0.5097914266089598
FRJ2,0.6428642916182677
FRK1,0.6878632058699926
FRK2,0.6645727969706059
FRL0,0.4424293840614458
FRM0,0.4774773212770621
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.4761488231519858
TR32,0.4987104375536243
TR33,0.535727009177208
HR03,0.5851645536720753
HR02,0.5791915239145359
HU11,0.47498024503389996
