nuts,January Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2011 - 2040)
DE50,0.8566145420074462
DE60,0.7891087825099627
DE71,0.873436531672875
DE72,0.8058811580141385
DE73,0.9122834303726752
DE80,0.7298169242218137
DE91,0.7831699692333738
BG41,0.4827620040625334
BG42,0.4329619749138753
CH01,0.8868529586742322
AT32,0.822168272609512
AT33,0.7059424760440985
AT34,0.9515037340422471
BE10,0.7163537422815959
BE23,0.7769177404542764
BE24,0.6944891455272834
BE25,0.8499681338667869
BE31,0.6959524840116501
BE32,0.8196913311878841
BE33,0.91039882140855
BE34,0.8653825064500172
BE35,0.795260551571846
BG31,0.4702304743230343
BG32,0.4056309284021457
BG33,0.48204881194978955
BG34,0.484875388070941
DE92,0.7096650997797648
DE93,0.7661116076012452
DE94,0.7677829885855317
CZ07,0.7404382831106583
CZ08,0.8608816499511401
AL01,0.6878016717731953
AL02,0.5847761784990628
AL03,0.6386782607063651
AT11,0.6127476945519448
AT12,0.7194399577255051
AT13,0.575141966342926
AT21,0.6643269112954537
AT22,0.7717518915732702
AT31,0.9107955788572629
DK05,0.7477169902995229
BE21,0.7329579778015614
BE22,0.6915690161287784
ES43,0.4317479738344749
ES51,0.3199225534995397
ES52,0.2387880699709058
ES53,0.39245994873344897
ES61,0.31228692618509135
ES62,0.2530462067574263
ES63,0.32219882905483244
ES64,0.4
CH02,0.9636973672236006
CH03,1.0864706128835677
CH04,1.1077740661799909
CH05,0.7726921396950881
CH06,0.8270786811908086
CH07,0.653521810968717
CY00,0.5506612423807382
CZ01,0.7402227352062861
CZ02,0.8175221958508094
CZ03,0.8532501191521684
CZ04,0.8726476114864151
CZ05,0.8220505988225341
CZ06,0.758639894425869
DE40,0.6550690980628133
EL53,0.4931468519071738
EL54,0.5549572209517161
EL61,0.566502358391881
EL62,0.6345193203538656
EL63,0.6368736654520035
ES70,0.15004080533981323
ITC1,0.6398684723923603
ITC2,0.7688980047901471
DE11,0.8157055877149105
DE12,0.8794531429807345
DE13,0.8977219216525555
DE14,0.9155483186244965
DE21,0.8563735621670882
DE22,0.8990189775824546
DE23,0.8491476332147916
DE24,0.9148464200397333
DE25,0.8307143285870552
DE26,0.8935678926606972
DE27,0.7879199696083864
DE30,0.7205491046110789
EL42,0.6671570962294936
LV00,0.9337752088904381
ME00,0.8245990805327892
MK00,0.4597298204898834
MT00,0.6333596274256706
NL11,0.8995591176052888
NL12,1.0118719168007373
EL64,0.6091471043104927
EL65,0.5035315424824754
ES11,0.7441253619268536
ES12,0.7547979394594828
ES13,0.7457133933901787
ES21,0.7984627379725376
ES22,0.7134263670692841
ES23,0.5766145012030999
ES24,0.3787535532998542
ES30,0.44297082324822745
IE05,0.9598126349349817
IE06,0.7722362762317061
IS00,1.0932641724745433
ITC3,0.4893570444236199
FI19,0.7717804213364919
FI1B,0.8388310352961222
FI1C,0.8115140157441298
DEA1,0.762946580350399
DEA2,0.9152165551980337
DEA3,0.690425942838192
DEA4,0.7581104869643848
DEA5,1.0183491551627715
DEB1,0.7919888216381271
DEB2,0.8481758491446575
DEB3,0.7199285469949246
DEC0,0.7716004180411498
DED2,0.9594907534619173
DED4,0.9108906853944063
DED5,0.7436652611941099
DEE0,0.7418998199204604
DEF0,0.9714525348817309
DEG0,0.882921460395058
DK01,0.8263418631007274
