nuts,May Extreme Precipitation Days (days) (1981 - 2010)
TRB2,0.8543082437167565
TRC1,0.41681458465754984
RS12,0.5944840571532647
RS21,0.7307646308404704
RS22,0.683379294226567
SE11,0.4465918343514204
SE12,0.5404859587394942
NL33,0.662289164463679
NL34,0.6750532793502013
NL41,0.7000477095444997
NL42,0.7001254369815191
PL21,0.812045292245845
UKM6,0.7807116586094102
TR22,0.3299176327573756
TRC2,0.4106231599735717
TRC3,0.5305802044458687
UKC1,0.7133607101937135
UKC2,0.7056406738857428
UKD1,0.7756547953933477
UKD3,0.7532743255297343
UKD4,0.7582556271304687
UKD6,0.7241813883185386
UKD7,0.7333550930023194
UKE1,0.6392940655350685
UKE2,0.7042343955487013
UKE3,0.67593631396691
RO41,0.7061873409897089
RO42,0.7653465555980802
RS11,0.6180776474376519
TR41,0.4879362503066659
TR42,0.5752092318609356
TR51,0.5348731825128198
TR52,0.5050850003957749
TR61,0.4689070093135039
TR62,0.5768088381737471
TR63,0.5113541236768167
TR71,0.567610384337604
TR72,0.7431664610902469
TR81,0.6315709326416254
UKK1,0.6826555270701646
UKK2,0.6517794162034989
UKK3,0.6678418281177679
UKK4,0.6806669221570094
UKL1,0.7554229062671463
UKL2,0.7656063954035441
UKM5,0.7425503127276898
UKM7,0.7831880458941062
UKM8,0.797454338769118
UKM9,0.7411380688349406
UKN0,0.7776034906506538
SE21,0.567956732523938
SE22,0.574357962111632
SE23,0.604501665259401
SE31,0.602361715088288
SE32,0.64824225405852
SE33,0.6182268482865766
SI03,0.7094928248474995
SI04,0.7555452225108942
SK01,0.5878422250350316
SK02,0.6568009099612634
SK03,0.803318573286136
SK04,0.7852862472335498
TR10,0.3333142399787903
TR21,0.3929519252230724
UKE4,0.7103021691242853
UKF1,0.6815832455952963
UKF2,0.6600113593041896
UKF3,0.6416520062834025
UKG1,0.6881020159771045
UKG2,0.7130336003998915
UKG3,0.6833017413814862
UKH1,0.604775455283622
UKH2,0.631041913976272
UKH3,0.6061965674161911
UKI3,0.6
UKI4,0.6
UKI5,0.6066446388761203
UKI6,0.6167121767997742
UKI7,0.611070332924525
UKJ1,0.6586333462347587
UKJ2,0.5970556495090326
UKJ3,0.618254066631198
UKJ4,0.6078645338614782
NO09,0.6472729318464796
NO0A,0.7773925108214219
NO0B,0.4777778203288714
HR05,0.6222138663132986
HR06,0.6115132257963221
NO02,0.7058498913422226
NO06,0.8317811548709869
NO07,0.7990755495925744
NO08,0.6283951735744874
