nuts,May Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.6428014571468036
DE60,0.6500329986214638
DE71,0.7133771207183599
DE72,0.7242416877299547
DE73,0.7375777922570705
DE80,0.6222924762095015
DE91,0.6861781521389881
BG41,0.8101611406852801
BG42,0.6959784482916196
CH01,0.952695771989723
AT32,0.9903775691986084
AT33,1.045911206677556
AT34,1.0381003921230634
BE10,0.7167113666733106
BE23,0.7051878000299135
BE24,0.7194817053774992
BE25,0.6810366729895274
BE31,0.7375138570864995
BE32,0.7387526233990988
BE33,0.7785285378495852
BE34,0.7915998554478089
BE35,0.7720602091401816
BG31,0.6778144701073567
BG32,0.6267502658069134
BG33,0.5634453769773244
BG34,0.5744166529426972
DE92,0.6567921809231242
DE93,0.6443885454287132
DE94,0.6554860364024838
CZ07,0.7339764750252168
CZ08,0.7794031225144863
AL01,0.6651682135338585
AL02,0.6146380454301834
AL03,0.5322501756250858
AT11,0.6526992030441761
AT12,0.7250911350051562
AT13,0.6417275071144104
AT21,0.9072384981438517
AT22,0.8871731193736195
AT31,0.8481502391397953
DK05,0.5379769541944067
BE21,0.7095330812036991
BE22,0.725037328650554
ES43,0.4360445943350593
ES51,0.5677441390852134
ES52,0.41675583651910225
ES53,0.26902630378802617
ES61,0.3809427957360943
ES62,0.32155970185995103
ES63,0.2889005810022354
ES64,0.26666666666666666
CH02,0.9710788366074363
CH03,0.9467046082019805
CH04,0.9112990121046702
CH05,0.9721797009930014
CH06,1.001657484844327
CH07,0.9209742767115434
CY00,0.1481560586641232
CZ01,0.6800278430183728
CZ02,0.703717005935808
CZ03,0.7673990483085315
CZ04,0.7519006601224343
CZ05,0.7415189882119496
CZ06,0.6786855615675449
DE40,0.6326273119697968
EL53,0.5820519872009754
EL54,0.5306151306877533
EL61,0.3961959498624007
EL62,0.23896425018707912
EL63,0.42855477953950566
ES70,0.10822990362842878
ITC1,0.8361609869015714
ITC2,0.9377764721711477
DE11,0.7896751447270314
DE12,0.7955214330305656
DE13,0.8774078495800495
DE14,0.865699443841974
DE21,0.8795723350097736
DE22,0.7711724014331897
DE23,0.7656639909992615
DE24,0.7493553965042035
DE25,0.749441163490216
DE26,0.7398160020510356
DE27,0.8900788171216846
DE30,0.6249999607602755
EL42,0.11082547046244144
LV00,0.5891300480191907
ME00,0.7410590541859468
MK00,0.6702531279375156
MT00,0.09167981545130412
NL11,0.6578400442997615
NL12,0.6196075070649385
EL64,0.34437814969569447
EL65,0.26977547568579513
ES11,0.7819232503262659
ES12,0.9173102002590895
ES13,0.8793210420757532
ES21,0.8119164742529392
ES22,0.7254348086814085
ES23,0.7474189605563879
ES24,0.5898034829025467
ES30,0.5649379791071018
IE05,0.7839717033629616
IE06,0.7627709291875362
IS00,0.7469949497530858
ITC3,0.6330072574317456
FI19,0.5384147692471742
FI1B,0.48589038029313086
FI1C,0.5147133112729837
DEA1,0.6942392153044542
DEA2,0.7442231792956591
DEA3,0.6748026149968306
DEA4,0.686705149213473
DEA5,0.7571885292728742
DEB1,0.7291089145466685
DEB2,0.7740823282549779
DEB3,0.7112672415872415
DEC0,0.7614852661887804
DED2,0.7158046887566646
DED4,0.7602950558066368
DED5,0.6396458726376295
DEE0,0.6391913780321677
DEF0,0.6136043169846137
DEG0,0.714993532312413
DK01,0.5291574756304424
DK02,0.5410247350111603
DK03,0.5866608881081145
DK04,0.5816485146681468
ES41,0.6636437406142552
ES42,0.5157575448974967
HU23,0.5821356141318877
HU31,0.6852690955003102
HU32,0.6600334252541263
HU33,0.6043406212702394
IE04,0.8274365602371593
EE00,0.5222835313528776
EL30,0.1708640335748593
EL41,0.15379012028376263
EL43,0.15548719950020312
EL51,0.5243564798807104
EL52,0.5029887681826949
FI20,0.37644248033563293
FR10,0.6756862935920557
FRB0,0.7132289320851366
FRC1,0.7688756674528122
FRC2,0.8741681079069773
FRD1,0.6799496192485094
FRD2,0.7086986203988394
FRE1,0.7080129700402419
FRE2,0.7113618063429992
FRF1,0.8261427049835522
NL13,0.666666663189729
NL21,0.6745713673532009
NL22,0.6854804421464602
NL23,0.674446503072977
NL31,0.6875116904576619
NL32,0.611411493519942
ITG2,0.3492895064254602
ITH1,1.0038721069693566
ITH2,1.0173026544352373
FRI3,0.7018945321751138
FRJ1,0.6130147255957127
FRJ2,0.7913545663158099
FRK1,0.8217015188187361
FRK2,0.8071566060185432
FRL0,0.5945241773501039
FRM0,0.39520422120889026
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.2761930615330736
TR32,0.33435701997950673
TR33,0.45823670346289874
HR03,0.5512133381329477
HR02,0.6289161580925187
HU11,0.616627162694931
HU12,0.6442904767890771
HU21,0.6063454635441303
HU22,0.6016016518697143
PT16,0.5323074057698249
PT17,0.36938688655694324
FRF2,0.7467400532526275
FRF3,0.7872069199879964
FRG0,0.6783986706907551
FRH0,0.665405494098862
FRI1,0.7593266447385152
FRI2,0.818174704660972
ITC4,0.7751572151357929
ITF1,0.6122243906681736
ITF2,0.5276215435316165
ITF3,0.46333229492108025
ITF4,0.31724407930547993
ITF5,0.4127525582909584
ITF6,0.3611669041837255
ITG1,0.2369807853673895
LT01,0.6761179640889168
LT02,0.625472923181951
LU00,0.7793699284394582
PL22,0.7633020495374997
PL41,0.6181401509791613
PL42,0.6237554777413606
PT18,0.39153224093218647
PT20,0.0
PT30,0.3101146956284841
RO11,0.8339683307955662
RO12,0.8810638360679149
RO21,0.721246138587594
RO22,0.5469426816950241
RO31,0.6612858131838342
