nuts,Spring Extreme Precipitation Days (days) (1981 - 2010)
UKL1,2.3117846960822743
UKL2,2.2466692393024763
UKM5,2.3356913601358733
UKM7,2.3998694360256194
UKM8,2.494831696152687
UKM9,2.3518973767757414
UKN0,2.434005465110143
SE21,1.5813816780845324
SE22,1.6460584660371145
SE23,1.707609947770834
SE31,1.604074635108312
SE32,1.758691265185674
SE33,1.6778183102607727
SI03,1.938791917761167
SI04,2.0541010985771817
SK01,1.6180804148316383
SK02,1.7565319562951724
SK03,2.079602275292079
SK04,2.034716487924258
TR10,1.2999807794888814
TR21,1.3100506450980902
UKE4,2.1822038556138676
UKF1,2.078015168259541
UKF2,1.9816909164190293
UKF3,1.9465211113293965
UKG1,2.014030909538269
UKG2,2.1471473703781765
UKG3,2.0498736013968784
UKH1,1.8791968819995721
UKH2,1.9310049990812936
UKH3,1.8603314265608788
UKI3,1.8666666666666667
UKI4,1.8666666666666667
UKI5,1.8866006006797156
UKI6,1.8833788255850474
UKI7,1.8776758273442586
UKJ1,1.9571385075648626
UKJ2,1.7954110379020374
UKJ3,1.851408048470815
UKJ4,1.8352942749857903
NO09,1.9790660083293914
NO0A,2.4740596478184065
NO0B,2.188748304049174
HR05,1.7444775482018788
HR06,1.710707033177217
NO02,1.9364651560783386
NO06,2.3928259243567784
NO07,2.2302151719729104
NO08,1.7975686809668938
