nuts,June Extreme Precipitation Days (days) (1981 - 2010)
TRB2,0.43876229288677376
TRC1,0.15985935510446628
RS12,0.6140060106913249
RS21,0.7205247859160105
RS22,0.6395791439339519
SE11,0.548249866751333
SE12,0.6431090313320359
NL33,0.6421999412278334
NL34,0.6306037204960983
NL41,0.6797927688807249
NL42,0.7129374444484711
PL21,0.8425068459783991
UKM6,0.786436025549968
TR22,0.2409474492073059
TRC2,0.1356287338460485
TRC3,0.16907057370990514
UKC1,0.7356331095099449
UKC2,0.7295254959414402
UKD1,0.8012776155024767
UKD3,0.7799410124619802
UKD4,0.7915889331450064
UKD6,0.7422908586760362
UKD7,0.7592520626882712
UKE1,0.649006467188398
UKE2,0.7246181870500247
UKE3,0.6819968918959299
RO41,0.6782436087727547
RO42,0.7551849252233903
RS11,0.6231482163071632
TR41,0.3714397625376781
TR42,0.5125564064830541
TR51,0.3723847317198912
TR52,0.2799850050049523
TR61,0.25211465650548537
TR62,0.35424881291886173
TR63,0.26003983709961176
TR71,0.3352309527496497
TR72,0.43730334949990113
TR81,0.591135581706961
UKK1,0.5961962980528672
UKK2,0.5838095503548781
UKK3,0.6071674698342879
UKK4,0.6189916466673215
UKL1,0.7162308692932129
UKL2,0.7062065094709397
UKM5,0.7334242664277554
UKM7,0.7632211659103632
UKM8,0.792731889585654
UKM9,0.7660330360134443
UKN0,0.7658196041981379
SE21,0.6317142377297084
SE22,0.6530786562711001
SE23,0.6888776022940875
SE31,0.6839828768124183
SE32,0.7160708568990231
SE33,0.6905228713139271
SI03,0.7418800047288339
SI04,0.7780587468296289
SK01,0.6302530037860076
SK02,0.6595915781334043
SK03,0.7883408173297842
SK04,0.7857918933033943
TR10,0.3183088183403015
TR21,0.3640989695986112
UKE4,0.7231226998070875
UKF1,0.6731917317956686
UKF2,0.6249172544727722
UKF3,0.6399708868314823
UKG1,0.6260966379195452
UKG2,0.6806925319135189
UKG3,0.6444128319621086
UKH1,0.6178727840383847
UKH2,0.5977333456277847
UKH3,0.5894837528467178
UKI3,0.5666666666666667
UKI4,0.5666666666666667
UKI5,0.5666299536824226
UKI6,0.5666970034440358
UKI7,0.5777370055516561
UKJ1,0.5972166291127602
UKJ2,0.526181930800279
UKJ3,0.5424205400049686
UKJ4,0.5607523951679468
NO09,0.6642745348314444
NO0A,0.8198046631800632
NO0B,0.3260198290149371
HR05,0.6444028894106547
HR06,0.6437251443664233
NO02,0.7910475308385988
NO06,0.8690748773515224
NO07,0.8077525765945514
NO08,0.7092385762060682
