nuts,February Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.6000000064571699
DE60,0.6165346384048462
DE71,0.5944645543893178
DE72,0.6014803721259038
DE73,0.6259596552699804
DE80,0.5861735541373492
DE91,0.6415457103401423
BG41,0.4957573600113392
BG42,0.4597503705571095
CH01,0.6535603522633513
AT32,0.6869044688840708
AT33,0.6497238366554181
AT34,0.6547219740847746
BE10,0.5833780313531558
BE23,0.56927436987559
BE24,0.5944742433726787
BE25,0.5666153281927109
BE31,0.6083610455195109
BE32,0.5983388206611077
BE33,0.6804276051620642
BE34,0.6565067047874132
BE35,0.6456728264689445
BG31,0.43977880316476026
BG32,0.4350881348053614
BG33,0.43423191433151564
BG34,0.44543664827942847
DE92,0.6375485040868322
DE93,0.6143405196567376
DE94,0.607170155333976
CZ07,0.5866973912343383
CZ08,0.6350053079426289
AL01,0.6206949148327112
AL02,0.5758236320068438
AL03,0.5853282017012437
AT11,0.4226238947361708
AT12,0.5289986569434404
AT13,0.4583536158005396
AT21,0.47371645967165626
AT22,0.5618243740250667
AT31,0.6521039118990302
DK05,0.5912864841520786
BE21,0.5857328064739704
BE22,0.6278873786330224
ES43,0.407148163796713
ES51,0.36931838154171903
ES52,0.31707270865639053
ES53,0.3714124048749606
ES61,0.39096137693462274
ES62,0.2979121419290702
ES63,0.533333330353101
ES64,0.36666666666666664
CH02,0.672070397498707
CH03,0.6433617879947027
CH04,0.6297196562091509
CH05,0.6003157672782738
CH06,0.6766730333367984
CH07,0.5148081118861835
CY00,0.45679904942711197
CZ01,0.5200417627890904
CZ02,0.5404435604810714
CZ03,0.5643333592762549
CZ04,0.5869742147624493
CZ05,0.6057041313499212
CZ06,0.5043589703117808
DE40,0.5745018869638443
EL53,0.5290675281236569
EL54,0.6190975413968166
EL61,0.5735222324728966
EL62,0.6364311238129934
EL63,0.6509173780679702
ES70,0.24069188957413037
ITC1,0.4443167048195998
ITC2,0.5865711505214374
DE11,0.6289716622481744
DE12,0.642150766775012
DE13,0.6427506744861603
DE14,0.622245439266165
DE21,0.6355643021563689
DE22,0.601817944397529
DE23,0.5990347953513264
DE24,0.620639152949055
DE25,0.6110902121911447
DE26,0.6043218745539586
DE27,0.6224614542598526
DE30,0.5666666597127914
EL42,0.5433917663991451
LV00,0.5559825029224157
ME00,0.6528828925763567
MK00,0.4952093865101536
MT00,0.4416798164447149
NL11,0.5954439083735148
NL12,0.6206856845567624
EL64,0.5759701309725642
EL65,0.5672992803156376
ES11,0.6393158128795524
ES12,0.6894682629033924
ES13,0.6743747767060995
ES21,0.6757280915975571
ES22,0.5406500501558185
ES23,0.5209263267616431
ES24,0.3716052954085171
ES30,0.38740146631995837
IE05,0.6884355340152979
IE06,0.6306748062993089
IS00,0.8739972154299418
ITC3,0.42948941253125666
FI19,0.4641060248638193
FI1B,0.5109583988785744
FI1C,0.5006201536549876
DEA1,0.637806582202514
DEA2,0.6726311442752679
DEA3,0.6265189938247204
DEA4,0.6630810211102168
DEA5,0.6795450338472923
DEB1,0.6122675744195779
DEB2,0.6239910451074441
DEB3,0.5862617099036773
DEC0,0.612816442300876
DED2,0.6500543648997943
DED4,0.6679783889402946
DED5,0.6064035934706529
DEE0,0.5885168877740701
DEF0,0.6087748602032661
DEG0,0.6167338679234187
DK01,0.5634731315076351
DK02,0.5493124200031161
DK03,0.5963156095395485
DK04,0.5896952599287033
