nuts,March Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2071 - 2100)
DE50,1.1000830600659053
DE60,1.0556432594855627
DE71,0.9925927539666494
DE72,1.157445639371872
DE73,1.126198429490129
DE80,0.992743605064849
DE91,1.0862406695882478
BG41,0.9631496583422025
BG42,0.7353307028611501
CH01,0.8729519016783813
AT32,1.1118786359826724
AT33,1.0585694573154407
AT34,1.0804060898721217
BE10,1.2845058749461997
BE23,1.1792382528739316
BE24,1.2059876655538877
BE25,1.2200146441658337
BE31,1.3750831197415079
BE32,1.2353135597492968
BE33,1.2300232961773871
BE34,1.3985252595196167
BE35,1.425276632855336
BG31,0.8129412195334832
BG32,0.716173538689812
BG33,0.6703000549227
BG34,0.6927676168109836
DE92,1.2039094048327412
DE93,1.0590477854013443
DE94,1.1663075596094132
CZ07,1.0899096543590228
CZ08,1.2138337664306165
AL01,0.8257109689792352
AL02,0.772394094740351
AL03,0.7638908935089906
AT11,0.7935536685089271
AT12,1.0166344633946816
AT13,0.8125217365367072
AT21,0.8423164057234923
AT22,0.9949433258424203
AT31,1.1134865541011094
DK05,0.862548737352093
BE21,1.198915823761906
BE22,1.0771454898961659
ES43,0.4910765493909518
ES51,0.5572889934293925
ES52,0.3312008546665311
ES53,0.3355124207834403
ES61,0.3751213609861831
ES62,0.2953259156617735
ES63,0.32223391433556875
ES64,0.3
CH02,1.0144050643468896
CH03,1.2264579569300016
CH04,1.2380968034267426
CH05,0.9946788579358586
CH06,0.9811894063438688
CH07,0.8632806561887264
CY00,0.34083456061780454
CZ01,0.9535491178433101
CZ02,1.0068959231798849
CZ03,0.9553870156407356
CZ04,1.0378694072365762
CZ05,1.1326268861691158
CZ06,1.104820301135381
DE40,1.065018257747094
EL53,0.6845190611534885
EL54,0.6428336905581611
EL61,0.5728004014740388
EL62,0.6317981054385503
EL63,0.7134247730175655
ES70,0.058333293596903486
ITC1,0.6691420409562332
ITC2,0.8376773166159789
DE11,0.8863010841111342
DE12,0.9378393990298112
DE13,1.0460768279929955
DE14,1.0444398687354155
DE21,1.156948323920369
DE22,0.9314474403858185
DE23,0.9788631713017821
DE24,1.0659425699462493
DE25,0.9338932746400436
DE26,0.9656786286625368
DE27,1.0728128721316657
DE30,1.0338313361008962
EL42,0.4123988761256138
LV00,1.306361799687147
ME00,0.8705565908302864
MK00,0.7042441677435168
MT00,0.24178500572840372
NL11,1.3632359830983753
NL12,1.2079861223697663
EL64,0.5451339535415173
EL65,0.5084058792019884
ES11,0.8304809107755621
ES12,0.7309099413454533
ES13,0.7259905678885323
ES21,0.6081881793836753
ES22,0.7023311865826448
ES23,0.7582578737288713
ES24,0.6184730536925296
ES30,0.6870698844393094
IE05,1.2311219389860828
IE06,1.287089537580808
IS00,1.352766181031863
ITC3,0.5820008439322313
FI19,0.9579888538147012
FI1B,1.0434965673705627
FI1C,0.8657842334359884
DEA1,1.0820056404918432
DEA2,1.0921800496677558
DEA3,1.1527053266763687
DEA4,1.0812094683448474
DEA5,1.098683346191357
DEB1,1.085776373744011
DEB2,1.1066379914681117
DEB3,1.0984563957899809
DEC0,1.104047424842914
DED2,1.152289615323146
DED4,1.0719842920700708
DED5,1.0810841027647258
DEE0,1.0471119094640016
DEF0,1.0693839040895303
DEG0,1.0762335566182932
DK01,0.8469837951163451
DK02,0.8038562713190913
DK03,0.9565620426859321
DK04,0.9139825290068984
ES41,0.7221276492811739
ES42,0.5512409805164983
HU23,0.8451884556561708
HU31,0.735669965793689
HU32,0.8442604364827275
HU33,0.9696323379617313
IE04,1.3334118713935217
EE00,1.138405938136081
EL30,0.4158777789523204
EL41,0.4906267928580443
EL43,0.32999339724580445
EL51,0.630603868017594
EL52,0.6188408246796046
FI20,0.7704999418929219
