nuts,June Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,0.8434684365987778
DE60,0.9835981786251068
DE71,0.9301858047644297
DE72,0.9377827356259029
DE73,0.9590167179703712
DE80,0.9488101811148226
DE91,1.0389414995908737
BG41,0.8487351221342881
BG42,0.4774998363107443
CH01,1.5942939397479807
AT32,1.5235477606455485
AT33,1.642537089685599
AT34,1.5878886997699737
BE10,1.0831098213791848
BE23,0.9199763188759486
BE24,0.9939837615404811
BE25,0.8184637479484081
BE31,0.8304105848073959
BE32,0.9095897622672575
BE33,1.1741280580560367
BE34,1.011307810300163
BE35,1.0373392361881477
BG31,0.5689713668699066
BG32,0.6024035713324944
BG33,0.6321354388569792
BG34,0.5218441763271888
DE92,1.0739629363020262
DE93,0.9037400322034955
DE94,0.938391425088048
CZ07,1.2017821863825833
CZ08,1.4889981165528297
AL01,0.7170231035600106
AL02,0.7094320077449083
AL03,0.5033472395235938
AT11,1.167731644709905
AT12,1.087194137275219
AT13,0.9582319259643555
AT21,1.5471116105715434
AT22,1.3821377774079642
AT31,1.2382693653305372
DK05,0.7398240403582652
BE21,1.1269047155976295
BE22,1.1687835733095804
ES43,0.14922265140339733
ES51,0.5034023781307042
ES52,0.20393113971998295
ES53,0.08506133990983168
ES61,0.11355096279709999
ES62,0.13708720103438413
ES63,0.022268996636072794
ES64,0.03333333333333333
CH02,1.5932077010472616
CH03,1.480686184267203
CH04,1.5661021893223126
CH05,1.4893110295136769
CH06,1.6621089354157448
CH07,1.231954883535703
CY00,0.05433875235418479
CZ01,0.9448260026318687
CZ02,1.0370316090683143
CZ03,1.0638204443135433
CZ04,1.1641445383429527
CZ05,1.137731918444236
CZ06,1.0774701818823815
DE40,0.8299323330322902
EL53,0.33146419788577725
EL54,0.3894592112551133
EL61,0.1897599055742224
EL62,0.14497548009135894
EL63,0.23339523947132484
ES70,0.07506120800971985
ITC1,1.1102005113226672
ITC2,1.2486755130191645
DE11,1.1579003239671388
DE12,1.1779077628006538
DE13,1.3370586073646942
DE14,1.5900481204191843
DE21,1.448361623287201
DE22,1.1722162254775563
DE23,0.9976936457678676
DE24,0.9656420448528868
DE25,0.9932113079975049
DE26,0.8610606282949448
DE27,1.5097493757804235
DE30,0.6607142841177327
EL42,0.05573652448753516
LV00,0.9752511382102966
ME00,0.8624286064257224
MK00,0.6165116908649604
MT00,0.04460059532097408
NL11,0.9444170507291952
NL12,0.8722573474049569
EL64,0.21532005642851193
EL65,0.11784726977348328
ES11,0.3448467945147838
ES12,0.6543075778211157
ES13,0.510762765382727
ES21,0.685386402780811
ES22,0.5662069184705615
ES23,0.4197699853529533
ES24,0.3664832036321362
ES30,0.2513621826966604
IE05,0.6724228889370958
IE06,0.8163148827850819
IS00,0.7983121028436082
ITC3,0.621545641993483
FI19,0.7260240921129782
FI1B,0.6685090828686953
FI1C,0.7948993850499392
DEA1,0.9982490828881662
DEA2,1.0476348655564445
DEA3,0.894224951043725
DEA4,0.9249289418260257
DEA5,0.9335076714555423
DEB1,1.0730134737988313
DEB2,1.0622460223734378
DEB3,1.0367830646534761
DEC0,0.98489988570412
DED2,0.9728080925842126
DED4,1.0172326031274028
DED5,0.7127054442784616
DEE0,0.8873913253524474
DEF0,0.9864243662605683
DEG0,0.7752537354826927
DK01,0.8399613946676254
DK02,0.998225695391496
DK03,0.8800616764773925
DK04,0.9000590743497014
ES41,0.37558021442964673
ES42,0.25778057221323253
HU23,0.9262242659926414
HU31,1.0633528636147578
HU32,0.9631356609364351
HU33,0.8507963263740143
IE04,0.7611061041864257
EE00,0.8320262513899555
EL30,0.08724390827119351
EL41,0.10766515483458837
EL43,0.08882723699013392
EL51,0.3707448398694396
EL52,0.30971637095014254
FI20,0.470820021815598
FR10,0.7570151654382546
FRB0,0.6759069509804249
FRC1,0.8753729475041231
FRC2,1.092104928319653
FRD1,0.6152126924445231
FRD2,0.6663237902025382
FRE1,0.8859747206526143
FRE2,0.8148047357797623
FRF1,1.0777879563470683
NL13,0.991605972747008
NL21,1.0370745932062466
NL22,1.1250210958222548
NL23,0.9492422963182131
NL31,1.153991343577703
NL32,0.9564258741835753
ITG2,0.19952709339559077
ITH1,1.3919289896885554
ITH2,1.4563497367004554
FRI3,0.6830744857589404
FRJ1,0.5380459283788999
FRJ2,0.6981836285442113
FRK1,0.7845447055995465
FRK2,1.0105015422616686
FRL0,0.6118589059760173
FRM0,0.4329924030850331
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.1884497326488296
TR32,0.20369077967479826
TR33,0.3119804318373402
HR03,0.5529882823427518
HR02,0.8955663457512856
HU11,0.8165876418352127
HU12,0.9296181509892146
HU21,0.9542964718615016
HU22,1.0014358457177877
PT16,0.2380315680677692
PT17,0.07500242739915848
FRF2,0.8459222064043085
FRF3,0.9762794430057208
FRG0,0.5261927923808495
FRH0,0.48691122519473234
FRI1,0.6507911707585057
FRI2,0.7272471303741137
ITC4,0.9562937345355749
ITF1,0.6455904078359406
ITF2,0.4883244505772988
ITF3,0.407115719653666
ITF4,0.34749480777730546
ITF5,0.3878216166049242
ITF6,0.4164521951849262
ITG1,0.17228675313914815
LT01,1.1120851642585226
LT02,1.072426890422191
LU00,1.1216027893658196
PL22,1.3517644237726927
PL41,0.9482659724851449
PL42,0.8804285434385141
PT18,0.113253654136012
PT20,0.0
PT30,0.0
RO11,1.2486680308977762
RO12,1.1821269621451695
RO21,0.9373907397190729
RO22,0.6193475180615982
RO31,0.824223656890293
