nuts,April Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.9183797463774681
DE60,0.900231221318245
DE71,0.8098305245240529
DE72,0.8980426955968142
DE73,0.945327703654766
DE80,0.8321898847818374
DE91,1.0382183171808719
BG41,0.7367414973676205
BG42,0.6013515325884025
CH01,1.0536626699070135
AT32,1.4167818198601405
AT33,1.295096862812837
AT34,1.1256723200281462
BE10,0.9087580015261968
BE23,0.7561943550904592
BE24,0.908370594928662
BE25,0.7141522991160552
BE31,1.0047568877538045
BE32,0.9493684014926355
BE33,0.9355336505919695
BE34,1.0066746061046918
BE35,0.9716394575933616
BG31,0.643798844392101
BG32,0.6185331916436553
BG33,0.5321531660854817
BG34,0.5932185843586921
DE92,0.9425948570171993
DE93,0.9386641772463917
DE94,0.9416657133027911
CZ07,0.7988602987180153
CZ08,1.0892393293480078
AL01,0.6807847313582898
AL02,0.6571719328562419
AL03,0.6567963130772114
AT11,0.8843478842327992
AT12,0.993608271330595
AT13,0.8582724869251251
AT21,0.9864296351869901
AT22,1.1595496694246927
AT31,1.3540419849256675
DK05,0.7537638957301775
BE21,0.9099599167704582
BE22,0.8997458554804325
ES43,0.2982719459881385
ES51,0.6056782033294439
ES52,0.48535234791537124
ES53,0.38744699644545716
ES61,0.26612675758078697
ES62,0.3434606486931443
ES63,0.3999298353989919
ES64,0.13333333333333333
CH02,1.0857825184861818
CH03,1.1230993350346883
CH04,1.2890877311428388
CH05,1.1046880261351666
CH06,1.0930350365738073
CH07,0.9457747429609299
CY00,0.19758133987585705
CZ01,1.0934586306413014
CZ02,1.1718575018147628
CZ03,1.0187811471521855
CZ04,0.9279732560118039
CZ05,1.0628870295981565
CZ06,0.7446162252376477
DE40,0.8645703865215182
EL53,0.6898363407701253
EL54,0.4946836988131205
EL61,0.4393245428179701
EL62,0.3790172247836987
EL63,0.5461030387630065
ES70,0.016625861326853435
ITC1,0.9464796108504137
ITC2,1.047011145701011
DE11,0.9937626505891483
DE12,0.8820271118233601
DE13,1.1367495263616243
DE14,1.0700974735120932
DE21,1.164534504711628
DE22,1.0655667612950006
DE23,0.9590856454024712
DE24,0.806998182584842
DE25,0.8540986449768145
DE26,0.8807218881944815
DE27,1.1416053214420876
DE30,0.8416197165846825
EL42,0.22223100994403164
LV00,0.9076477157572905
ME00,0.8003018798927466
MK00,0.70732743528982
MT00,0.2249868522087733
NL11,0.8423288019994895
NL12,0.8306364270548026
EL64,0.48312421267231304
EL65,0.3624493012825648
ES11,0.8435439926261703
ES12,0.837063590499262
ES13,0.899590955177943
ES21,0.992436729868253
ES22,0.8086310304701328
ES23,0.7378190727283557
ES24,0.594050885240237
ES30,0.5042515906194845
IE05,0.8258567538112402
IE06,0.8632390979056557
IS00,1.1441067069768907
ITC3,0.8279196709394455
FI19,0.6374260184355081
FI1B,0.6167232384284337
FI1C,0.7427899333337943
DEA1,1.030993056918184
DEA2,0.9247360662867625
DEA3,0.8945449734727542
DEA4,1.0733352879683176
DEA5,1.0918543234467506
DEB1,0.835697628557682
DEB2,0.8483955431729555
DEB3,0.7961264053980509
DEC0,0.8458495584626993
DED2,0.8679800437142452
DED4,0.8524411097168922
DED5,0.9298042640089988
DEE0,0.9699068250755469
DEF0,0.8287939178446929
DEG0,0.8440361602231861
DK01,0.7892678007483482
DK02,0.6920133465901017
DK03,0.9037473442653815
DK04,0.8837034764389197
ES41,0.5933778052218258
ES42,0.5664442355744541
HU23,0.6230868024130662
HU31,0.7129469645520051
HU32,0.7870973720525701
HU33,0.6625623754536112
