nuts,April Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2041 - 2070)
DE50,0.7613756636778514
DE60,0.7448842431108157
DE71,0.6518931176513434
DE72,0.7762262379129727
DE73,0.7113593146825831
DE80,0.6452407613396645
DE91,0.6348574121793111
BG41,0.8447326971838872
BG42,0.6936984291300178
CH01,0.9081554047142466
AT32,0.9774952042847872
AT33,1.0042289199928442
AT34,0.9237667873501778
BE10,0.6081768731276195
BE23,0.7407143898308277
BE24,0.6833035327494145
BE25,0.8356752519806226
BE31,0.7045352031787236
BE32,0.7195341599484285
BE33,0.7159091865022977
BE34,0.7623316876590251
BE35,0.7732268467545509
BG31,0.8299198700115085
BG32,0.7832112597922484
BG33,0.731879648566246
BG34,0.6882237035781145
DE92,0.7873856602236629
DE93,0.8486967756102483
DE94,0.617187041292588
CZ07,0.7931126626829307
CZ08,0.9268493754168351
AL01,0.8554770656550924
AL02,0.8624898970127106
AL03,0.6487897767374913
AT11,0.6760159358382225
AT12,0.7975111395120621
AT13,0.650121682882309
AT21,1.013097253193458
AT22,1.0573786586523055
AT31,1.0181319442888102
DK05,0.6911769323671858
BE21,0.7831456271310647
BE22,0.6661730043590068
ES43,0.45894005298614504
ES51,0.5566559696570039
ES52,0.365237917813162
ES53,0.2786243384083112
ES61,0.34291135682724416
ES62,0.3653153380999962
ES63,0.3221637517213821
ES64,0.26666666666666666
CH02,0.9625027157366276
CH03,1.0407462557156881
CH04,0.94792823245128
CH05,0.8578579157590867
CH06,0.9619061122337977
CH07,0.7691003893812497
CY00,0.23218946966032186
CZ01,0.6935978353023529
CZ02,0.6866723309581478
CZ03,0.800420206412673
CZ04,0.749372692592442
CZ05,0.8429043441389997
CZ06,0.6797085961947839
DE40,0.5716152359421055
EL53,0.5612997990101576
EL54,0.5725003523131211
EL61,0.48705882132053374
EL62,0.35807763909300167
EL63,0.5415420275181532
ES70,0.008312930663426718
ITC1,0.6993623743454616
ITC2,0.7620243007938067
DE11,0.6968288296212752
DE12,0.6509593781083822
DE13,0.9271411781509717
DE14,0.8640840833385786
DE21,0.9024511266499757
DE22,0.8727690493067105
DE23,0.7134619489312172
DE24,0.6904536147912343
DE25,0.6185634601861238
DE26,0.6197002104173104
DE27,0.8577023703604937
DE30,0.6458338598410288
EL42,0.33130748610322674
LV00,0.7859373018145561
ME00,0.8453428914149602
MK00,0.6839987490947048
MT00,0.2416798119743665
NL11,0.7115910078088442
NL12,0.6463611817608277
EL64,0.4615515487268567
EL65,0.3905391439795494
ES11,0.7381225535025199
ES12,0.7305438397452235
ES13,0.832014720638593
ES21,0.8952406413853169
ES22,0.7649071678519249
ES23,0.632538923372825
ES24,0.49433445700754725
ES30,0.47924887351691725
IE05,0.7147954989845554
IE06,0.7385341087977092
IS00,0.9822721796731154
ITC3,0.6726607599606117
FI19,0.6376733912155033
FI1B,0.5774846381197373
FI1C,0.6294746869709342
DEA1,0.6629833567887544
DEA2,0.678456091384093
DEA3,0.7554185873518388
DEA4,0.6614736087620259
DEA5,0.8619670033454895
DEB1,0.7273313397541642
DEB2,0.7311773779491584
DEB3,0.6598962218811114
DEC0,0.6200470554331938
DED2,0.6036804541945457
DED4,0.7064200013875961
DED5,0.5479336003462474
DEE0,0.6670104886094729
DEF0,0.8255653058489164
DEG0,0.5908982258910934
DK01,0.602652965982755
DK02,0.5324308267484109
DK03,0.7889074186484019
DK04,0.7163911138971647
ES41,0.6147515156616767
ES42,0.5084600215312094
HU23,0.653830571162204
HU31,0.6272745594382286
HU32,0.7464569395408034
HU33,0.7292140355333686
IE04,0.9013537044326464
EE00,0.7569376626672845
EL30,0.25836307915548484
EL41,0.36281105938057107
EL43,0.2531726911664009
EL51,0.5171977967644731
EL52,0.4689620556930701
FI20,0.47442497486869495
FR10,0.5629298452287912
FRB0,0.7050421859448155
FRC1,0.8684336919337511
FRC2,0.7875332414483031
FRD1,0.7447626209507386
FRD2,0.7701220501214265
FRE1,0.8176357090473175
FRE2,0.7460475035011769
