nuts,Summer Extreme Precipitation Days (days) (1981 - 2010)
DE50,2.194904168446859
DE60,2.149603886405627
DE71,1.9431051289041836
DE72,2.0604871779680254
DE73,2.139494578540325
DE80,1.9572391927242279
DE91,2.0885885899265606
BG41,1.776886131366094
BG42,1.4832103778918584
CH01,2.726992473999659
AT32,3.0886978109677634
AT33,3.1752011020978292
AT34,3.0098706742127734
BE10,1.975111762682597
BE23,1.91283122052749
BE24,2.0056598375240964
BE25,1.8427253435055415
BE31,2.050077590346336
BE32,1.9706752707560857
BE33,2.2669782638549805
BE34,2.169217855731646
BE35,2.147437139848868
BG31,1.60981784115235
BG32,1.564244994521141
BG33,1.432433450470368
BG34,1.3248446623484293
DE92,2.0993287437284986
DE93,2.1121544698874155
DE94,2.1998544732729592
CZ07,2.098979281882445
CZ08,2.228546061863502
AL01,1.3234445846329133
AL02,1.140344944720467
AL03,0.904952757122616
AT11,1.8407043471932412
AT12,2.1587850908438364
AT13,1.866747792561849
AT21,2.7097591241200765
AT22,2.6660881717999776
AT31,2.631088310976823
DK05,1.7157187572369972
BE21,1.9952012101809184
BE22,2.077932087580363
ES43,0.39063618462532756
ES51,1.2811083227396012
ES52,0.7294342016490797
ES53,0.3133128255605698
ES61,0.3236843288720896
ES62,0.40778315253555775
ES63,0.16666666368643443
ES64,0.16666666666666666
CH02,2.752864283323288
CH03,2.6135293970505398
CH04,2.533914566040039
CH05,2.8002551396687827
CH06,2.987154471874237
CH07,2.450135205934445
CY00,0.08147798130909602
CZ01,1.9734168668588004
CZ02,2.055129259824753
CZ03,2.292890328168869
CZ04,2.182199122508367
CZ05,2.1781537264585493
CZ06,1.986528076728185
DE40,1.8649896929661434
EL53,0.9774735553810994
EL54,0.8064637703200181
EL61,0.6915694651504357
EL62,0.2629973823825518
EL63,0.5630856403460105
ES70,0.1545466954509417
ITC1,2.1463098973035812
ITC2,2.715193263689677
DE11,2.20172360142072
DE12,2.149579171339671
DE13,2.377042462428411
DE14,2.4927754372358324
DE21,2.6230452239513395
DE22,2.3304001202185947
DE23,2.262848472595215
DE24,2.2064881175756454
DE25,2.155846292649706
DE26,2.052602452536424
DE27,2.59372961918513
DE30,1.812523638208707
EL42,0.04196634938319524
LV00,2.096228940288226
ME00,1.6632176399230958
MK00,1.2761396206915379
MT00,0.06666666766007741
NL11,2.2374874989191693
NL12,2.108482703566551
EL64,0.5408810703704755
EL65,0.3077206534643968
ES11,1.2620012819767
ES12,1.9714225632448992
ES13,1.9197667906681697
ES21,1.7454715273032586
ES22,1.4046096896131834
ES23,1.3211355139811833
ES24,1.1616553001105785
ES30,0.6754936431845029
IE05,2.1773274138569834
IE06,2.1850260349611443
IS00,2.356071694691976
ITC3,1.4312153314550717
FI19,2.021189334988594
FI1B,1.8470410972833633
FI1C,1.9448423027992248
DEA1,2.1058404544989267
DEA2,2.2132981499036153
DEA3,2.120724813143412
DEA4,2.1783479978640874
DEA5,2.31206640402476
DEB1,2.0386502886811892
DEB2,2.0901574244101844
DEB3,1.880859022339185
DEC0,1.9562905232111614
DED2,2.083971208333969
DED4,2.2500817984342576
DED5,1.923229455947876
DEE0,1.9034443413217863
DEF0,2.075004384915034
DEG0,2.084642477830251
DK01,1.777087885638078
DK02,1.8070502571761609
DK03,1.969506526986758
DK04,1.881389140834411
ES41,0.9892098883787791
ES42,0.6222520048419634
HU23,1.5302090292175612
HU31,1.7167844253281752
HU32,1.6800503815213839
HU33,1.49920068072776
IE04,2.6103541870911915
EE00,2.0462067221601803
EL30,0.1613784243663152
EL41,0.09370507150888444
