nuts,Summer Extreme Precipitation Days (days) ensemble median - RCP4.5 - (2071 - 2100)
DE50,2.599895467715604
DE60,2.8168649931748706
DE71,2.269137080510457
DE72,2.219965213537216
DE73,2.343564148743947
DE80,2.817162807498659
DE91,2.6924703642725945
BG41,1.933397168914477
BG42,1.4621202908456326
CH01,2.873085037867228
AT32,3.5735971013704937
AT33,3.4214568376541137
AT34,2.9034135739008584
BE10,2.610009676218033
BE23,2.0798985809087753
BE24,2.3279118970036508
BE25,1.9613165959715844
BE31,2.521301631132762
BE32,2.272350791309561
BE33,2.3290385782718657
BE34,2.165926408270995
BE35,2.272941798965136
BG31,1.6029785225788753
BG32,1.6519554108381271
BG33,1.4448071733117103
BG34,1.2758309215307235
DE92,2.6660897604056766
DE93,2.6856414888586317
DE94,2.759513175913266
CZ07,2.6753793001174926
CZ08,2.9271452873945236
AL01,1.4277646427353223
AL02,1.375706304662994
AL03,0.9443170013172286
AT11,2.980507457256317
AT12,2.7857466425214494
AT13,2.4728014298847745
AT21,2.999863772590955
AT22,3.491000270843506
AT31,3.0959053218364714
DK05,2.432042920589447
BE21,2.7275913963715235
BE22,2.3511445810397467
ES43,0.26371248699724675
ES51,1.2332515155275663
ES52,0.5517542903621991
ES53,0.2656577778359254
ES61,0.2118232412263751
ES62,0.30177114424960955
ES63,0.10003508130709331
ES64,0.1
CH02,3.102227662007014
CH03,3.114339901400464
CH04,2.8440506875514986
CH05,2.893234928448995
CH06,3.411602783203125
CH07,2.278531183355621
CY00,0.06914606827000777
CZ01,2.260020850102107
CZ02,2.3346594378352163
CZ03,2.548964297771454
CZ04,2.41297534207503
CZ05,2.781560568014781
CZ06,2.550597616036733
DE40,2.3336648384730023
EL53,0.9179562365015348
EL54,0.7195936510605472
EL61,0.601566876151732
EL62,0.25551494484146436
EL63,0.5160647305349509
ES70,0.0982361478464944
ITC1,2.153092594941457
ITC2,2.430943594376246
DE11,2.65445916056633
DE12,2.4575815896193185
DE13,2.7005188345909117
DE14,3.065888758500417
DE21,3.105192518234253
DE22,2.76209401289622
DE23,2.5312514106432595
DE24,2.2490139732758205
DE25,2.547749542764255
DE26,2.148848951856295
DE27,2.8173887451489765
DE30,2.1456197917461397
EL42,0.05662938418487708
LV00,2.7872907082239786
ME00,1.6819280952215194
MK00,1.2777508934338888
MT00,0.06242956380758967
NL11,2.9475743217127666
NL12,2.397786534825961
EL64,0.49261660913803745
EL65,0.3168938764681419
ES11,0.8411548318962256
ES12,1.6693475618958473
ES13,1.6038474053144456
ES21,1.7132995808497071
ES22,1.4311852263907592
ES23,1.2297101403276125
ES24,1.0105886220932008
ES30,0.6244827333305564
IE05,2.458054778831346
IE06,2.2958039820194243
IS00,3.0172386050224302
ITC3,1.2687852334231138
FI19,2.672292858362198
FI1B,2.231727667649587
FI1C,2.462336724996567
DEA1,2.5216956277688345
DEA2,2.721235928932826
DEA3,2.400801283121109
DEA4,2.711221230881555
DEA5,2.643741816814457
DEB1,2.2512270867824555
DEB2,2.247933264573415
DEB3,2.379305229584376
DEC0,2.3122695301969847
DED2,2.379473610648087
DED4,2.532987666130066
DED5,2.0909742866953214
DEE0,2.4785582614796504
DEF0,2.423845201730728
DEG0,2.081972122192383
DK01,3.0093424320220947
DK02,2.767775019009908
DK03,2.3217915460467338
DK04,2.7200955430666607
ES41,0.8622953221201897
ES42,0.5690949725608031
HU23,1.8696004141654288
HU31,2.037032115459442
HU32,1.7117222597201665
HU33,1.6467637479305268
IE04,2.986651527881622
EE00,2.2393273174762727
EL30,0.19917289974788824
EL41,0.1798414818942547
EL43,0.1421470786134402
EL51,0.9643398118515809
EL52,0.8537603626648586
FI20,1.6508526369929313
FR10,1.803745408143316
FRB0,1.6535038941850264
FRC1,1.8801889653716768
FRC2,2.359365367889404
FRD1,1.794075494011243
FRD2,1.8979430869221687
FRE1,2.0081305662790934
FRE2,1.9685344685401236
FRF1,2.8049996813138325
NL13,2.7727527703557695
NL21,2.55897407780091
NL22,2.514932308346033
NL23,2.6555362651745478
NL31,2.3452372660239535
NL32,2.2048900643984477
ITG2,0.4173290651025517
ITH1,3.214989229043325
ITH2,3.4228606522083282
FRI3,1.4698712853093943
FRJ1,1.1807621816794078
FRJ2,1.6811332943538824
FRK1,1.8127327018550463
FRK2,1.8663415253162383
FRL0,1.0580544524959155
FRM0,0.783477742757116
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.32419903116921583
TR32,0.3269332939138015
TR33,0.4674261428415775
HR03,1.0758804035683474
HR02,2.088532500465711
HU11,1.785587300147329
HU12,1.9607918372998634
HU21,2.0921527643998465
HU22,2.546488489707311
PT16,0.5632590180196401
PT17,0.21651577999194463
FRF2,2.1035397393362865
FRF3,2.1990072667598723
FRG0,1.4170187165339787
FRH0,1.462682244181633
FRI1,1.7108309030532838
FRI2,1.8469334947211402
ITC4,2.032831933101018
ITF1,1.2018648877739906
ITF2,1.0704568783442179
ITF3,0.8148180481844715
ITF4,0.6075628619641066
ITF5,0.9396840470532576
ITF6,0.6959351055057985
ITG1,0.31373732977857194
LT01,2.654893380403519
LT02,2.6854961599622453
LU00,2.246205458541711
PL22,2.859658109290259
PL41,2.4369223724518503
PL42,2.5118689606587092
PT18,0.22972926416744788
PT20,0.0
PT30,0.0
RO11,2.8663657287756603
RO12,2.99679270585378
RO21,2.362859357396762
RO22,1.4923684572180111
RO31,1.9634758392969767
RO32,2.22294766108195
ITH3,2.450560603539149
ITH4,2.6135836144288382
ITH5,1.296472969864096
ITI1,0.981047264734904
ITI2,1.1802040730913481
ITI3,1.1372425981930323
ITI4,0.9770012468099594
LI00,3.40086161394914
FI1D,2.8006045897801717
TR82,1.2484161503612996
TR83,0.9278981090833743
