nuts,August Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.7188806807001432
DE60,0.7331352571646372
DE71,0.6087520283957323
DE72,0.6560301502545675
DE73,0.6749702530602614
DE80,0.655984763118128
DE91,0.6597077549124758
BG41,0.508722364033262
BG42,0.3920610993479689
CH01,0.8768567455932498
AT32,0.9926452911148469
AT33,1.0245350673794746
AT34,0.9668014444410801
BE10,0.6333780323465665
BE23,0.6153973688681921
BE24,0.641703923791647
BE25,0.5998846098780632
BE31,0.6541694422562917
BE32,0.6299739060302575
BE33,0.7295351717621088
BE34,0.6980589461823304
BE35,0.6929991092532873
BG31,0.4523587438588341
BG32,0.41339146364480256
BG33,0.3788611321399609
BG34,0.3549009975045919
DE92,0.6717637928202749
DE93,0.7021637891108791
DE94,0.7303049921989441
CZ07,0.6488065517197052
CZ08,0.6857140346119801
AL01,0.4067868854229649
AL02,0.3461725908021132
AL03,0.2831648531680306
AT11,0.5895581338554621
AT12,0.6718903083354235
AT13,0.5667072306076686
AT21,0.8737262944380443
AT22,0.8525074516733487
AT31,0.8297769223029415
DK05,0.6484252362201611
BE21,0.6380674881239732
BE22,0.6639212171236674
ES43,0.10847767094771067
ES51,0.47417850882435836
ES52,0.300492941091458
ES53,0.1344666694601377
ES61,0.10409961380064488
ES62,0.16442572219918172
ES63,0.06666666666666667
ES64,0.06666666666666667
CH02,0.8884747095406056
CH03,0.8534218678871791
CH04,0.8261235867937405
CH05,0.8954669040938218
CH06,0.9751480559508006
CH07,0.8056832186877727
CY00,0.03208993896842003
CZ01,0.6133611708879471
CZ02,0.6440558560813466
CZ03,0.7177436623722315
CZ04,0.7038636585697532
CZ05,0.6884262988343834
CZ06,0.6182711030667026
DE40,0.6088343475013971
EL53,0.2988131456077099
EL54,0.24981141202151774
EL61,0.2357783591374755
EL62,0.10118683328231176
EL63,0.1866113437960545
ES70,0.05692347021152576
ITC1,0.7151928634693225
ITC2,0.8687888585031033
DE11,0.6836639227966468
DE12,0.6684225976467133
DE13,0.7526863848169645
DE14,0.784643429517746
DE21,0.8374651798978447
DE22,0.7453461927051346
DE23,0.722136109136045
DE24,0.7090305658678214
DE25,0.6778572537004948
DE26,0.638618199278911
DE27,0.8198633477091789
DE30,0.5958333084980647
EL42,0.02592908755565683
LV00,0.727226993922765
ME00,0.5188656240701676
MK00,0.374553068789343
MT00,0.03333333432674408
NL11,0.7686659353474776
NL12,0.7471480374534925
EL64,0.18407039679586887
EL65,0.11925916423400243
ES11,0.3936610742782553
ES12,0.6627801987032096
ES13,0.6472553423295418
ES21,0.5968688726425171
ES22,0.48496892067293323
ES23,0.4280668988823891
ES24,0.41152550065889953
ES30,0.20708642490208148
IE05,0.7491338450461626
IE06,0.7396152509376407
IS00,0.8616670342783134
ITC3,0.5035237460086743
FI19,0.7192003760486841
FI1B,0.6923281672100227
FI1C,0.7079266535739104
DEA1,0.6666826397180557
DEA2,0.7024275849262873
DEA3,0.6712799467146396
DEA4,0.6915667037169139
DEA5,0.7398635552575191
DEB1,0.6465110662082831
DEB2,0.6609075034658114
DEB3,0.5903762155522903
DEC0,0.615361433972915
DED2,0.6757469138751427
DED4,0.7335613664239645
DED5,0.6271913667519887
DEE0,0.6167611766606569
DEF0,0.718693149338166
DEG0,0.6649848962202668
DK01,0.6398195544878642
DK02,0.6439175587768357
DK03,0.7054509982466698
DK04,0.6903189362337192
ES41,0.30130831023367743
ES42,0.19883285108953713
HU23,0.48616380939881004
HU31,0.5402211130907139
HU32,0.5109121605753899
HU33,0.4634591069072485
IE04,0.9118045412624876
EE00,0.7601266610125701
EL30,0.06495445420344671
EL41,0.0355902586132288
EL43,0.03886149960259597
EL51,0.268213419119517
EL52,0.2979060869043072
FI20,0.6038266132275264
FR10,0.5134355255092183
FRB0,0.49607985044519104
FRC1,0.5842144542684158
FRC2,0.7027303682640195
FRD1,0.5523618638515473
FRD2,0.5768120660757025
FRE1,0.5939823314547539
FRE2,0.581607933404545
FRF1,0.6960471549381813
NL13,0.7221046477556229
NL21,0.6960143287976582
NL22,0.6766892521331708
NL23,0.7255681564410528
NL31,0.6916199107964833
NL32,0.7204018360624711
ITG2,0.12339127846062184
ITH1,0.9276604733119408
ITH2,0.9347017106910547
FRI3,0.45622737190375723
FRJ1,0.45509741082787514
FRJ2,0.5920202925801277
FRK1,0.6123895268266399
FRK2,0.6135481008638938
FRL0,0.3902274417380492
FRM0,0.21410482389231522
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.06507378965616226
